date_obj,Barb%20bolttips price
2015-03-26,47
2015-03-27,47
2015-03-28,47
2015-03-29,47
2015-03-30,47
2015-03-31,47
2015-04-01,47
2015-04-02,47
2015-04-03,47
2015-04-04,47
2015-04-05,47
2015-04-06,47
2015-04-07,47
2015-04-08,47
2015-04-09,47
2015-04-10,47
2015-04-11,47
2015-04-12,47
2015-04-13,47
2015-04-14,47
2015-04-15,44
2015-04-16,44
2015-04-17,44
2015-04-18,44
2015-04-19,44
2015-04-20,44
2015-04-21,44
2015-04-22,44
2015-04-23,44
2015-04-24,44
2015-04-25,44
2015-04-26,44
2015-04-27,44
2015-04-28,44
2015-04-29,44
2015-04-30,44
2015-05-01,44
2015-05-02,44
2015-05-03,44
2015-05-04,44
2015-05-05,44
2015-05-06,44
2015-05-07,44
2015-05-08,44
2015-05-09,44
2015-05-10,44
2015-05-11,44
2015-05-12,44
2015-05-13,44
2015-05-14,44
2015-05-15,44
2015-05-16,44
2015-05-17,41
2015-05-18,41
2015-05-19,41
2015-05-20,41
2015-05-21,41
2015-05-22,41
2015-05-23,41
2015-05-24,41
2015-05-25,41
2015-05-26,41
2015-05-27,41
2015-05-28,41
2015-05-29,41
2015-05-30,41
2015-05-31,41
2015-06-01,41
2015-06-02,41
2015-06-03,41
2015-06-04,38
2015-06-05,38
2015-06-06,38
2015-06-07,38
2015-06-08,38
2015-06-09,38
2015-06-10,38
2015-06-11,38
2015-06-12,38
2015-06-13,38
2015-06-14,38
2015-06-15,38
2015-06-16,38
2015-06-17,38
2015-06-18,38
2015-06-19,38
2015-06-20,38
2015-06-21,38
2015-06-22,38
2015-06-23,38
2015-06-24,38
2015-06-25,38
2015-06-26,38
2015-06-27,38
2015-06-28,38
2015-06-29,38
2015-06-30,38
2015-07-01,36
2015-07-02,36
2015-07-03,36
2015-07-04,36
2015-07-05,36
2015-07-06,36
2015-07-07,36
2015-07-08,36
2015-07-09,36
2015-07-10,36
2015-07-11,36
2015-07-12,36
2015-07-13,36
2015-07-14,36
2015-07-15,36
2015-07-16,36
2015-07-17,36
2015-07-18,36
2015-07-19,36
2015-07-20,36
2015-07-21,36
2015-07-22,36
2015-07-23,36
2015-07-24,36
2015-07-25,36
2015-07-26,36
2015-07-27,36
2015-07-28,34
2015-07-29,34
2015-07-30,34
2015-07-31,34
2015-08-01,34
2015-08-02,34
2015-08-03,34
2015-08-04,34
2015-08-05,34
2015-08-06,34
2015-08-07,34
2015-08-08,34
2015-08-09,34
2015-08-10,34
2015-08-11,34
2015-08-12,34
2015-08-13,34
2015-08-14,34
2015-08-15,34
2015-08-16,34
2015-08-17,34
2015-08-18,34
2015-08-19,33
2015-08-20,33
2015-08-21,33
2015-08-22,33
2015-08-23,33
2015-08-24,33
2015-08-25,33
2015-08-26,33
2015-08-27,33
2015-08-28,33
2015-08-29,33
2015-08-30,33
2015-08-31,33
2015-09-01,33
2015-09-02,33
2015-09-03,33
2015-09-04,33
2015-09-05,33
2015-09-06,33
2015-09-07,33
2015-09-08,33
2015-09-09,33
2015-09-10,33
2015-09-11,33
2015-09-12,33
2015-09-13,31
2015-09-14,31
2015-09-15,31
2015-09-16,31
2015-09-17,31
2015-09-18,31
2015-09-19,31
2015-09-20,31
2015-09-21,31
2015-09-22,31
2015-09-23,31
2015-09-24,31
2015-09-25,31
2015-09-27,31
2015-09-28,31
2015-09-29,31
2015-09-30,31
2015-10-05,31
2015-10-06,31
2015-10-07,31
2015-10-08,31
2015-10-09,29
2015-10-10,29
2015-10-11,29
2015-10-12,29
2015-10-13,29
2015-10-14,29
