date_obj,Brown%20apron price
2015-03-26,205
2015-03-27,205
2015-03-28,215
2015-03-29,215
2015-03-30,226
2015-03-31,226
2015-04-01,237
2015-04-02,237
2015-04-03,247
2015-04-04,260
2015-04-05,260
2015-04-06,272
2015-04-07,272
2015-04-08,284
2015-04-09,284
2015-04-10,296
2015-04-11,296
2015-04-12,303
2015-04-13,303
2015-04-14,315
2015-04-15,315
2015-04-16,327
2015-04-17,327
2015-04-18,335
2015-04-19,335
2015-04-20,343
2015-04-21,343
2015-04-22,358
2015-04-23,358
2015-04-24,361
2015-04-25,361
2015-04-26,367
2015-04-27,367
2015-04-28,368
2015-04-29,368
2015-04-30,376
2015-05-01,388
2015-05-02,403
2015-05-03,403
2015-05-04,410
2015-05-05,410
2015-05-06,420
2015-05-07,420
2015-05-08,440
2015-05-09,440
2015-05-10,441
2015-05-11,441
2015-05-12,426
2015-05-13,426
2015-05-14,404
2015-05-15,404
2015-05-16,393
2015-05-17,385
2015-05-18,385
2015-05-19,394
2015-05-20,394
2015-05-21,394
2015-05-22,404
2015-05-23,404
2015-05-24,418
2015-05-25,418
2015-05-26,425
2015-05-27,425
2015-05-28,442
2015-05-29,442
2015-05-30,446
2015-05-31,446
2015-06-01,435
2015-06-02,435
2015-06-03,435
2015-06-04,435
2015-06-05,442
2015-06-06,442
2015-06-07,446
2015-06-08,446
2015-06-09,442
2015-06-10,442
2015-06-11,419
2015-06-12,419
2015-06-13,398
2015-06-14,398
2015-06-15,393
2015-06-16,393
2015-06-17,384
2015-06-18,384
2015-06-19,389
2015-06-20,389
2015-06-21,398
2015-06-22,398
2015-06-23,391
2015-06-24,385
2015-06-25,385
2015-06-26,370
2015-06-27,370
2015-06-28,361
2015-06-29,361
2015-06-30,347
2015-07-01,347
2015-07-02,340
2015-07-03,338
2015-07-04,338
2015-07-05,322
2015-07-06,322
2015-07-07,305
2015-07-08,305
2015-07-09,294
2015-07-10,294
2015-07-11,292
2015-07-12,292
2015-07-13,288
2015-07-14,288
2015-07-15,282
2015-07-16,282
2015-07-17,285
2015-07-18,285
2015-07-19,270
2015-07-20,270
2015-07-21,256
2015-07-22,243
2015-07-23,243
2015-07-24,231
2015-07-25,231
2015-07-26,219
2015-07-27,219
2015-07-28,213
2015-07-29,216
2015-07-30,216
2015-07-31,223
2015-08-01,223
2015-08-02,232
2015-08-03,232
2015-08-04,243
2015-08-05,251
2015-08-06,251
2015-08-07,259
2015-08-08,259
2015-08-09,268
2015-08-10,268
2015-08-11,275
2015-08-12,275
2015-08-13,281
2015-08-14,288
2015-08-15,288
2015-08-16,289
2015-08-17,289
2015-08-18,298
2015-08-19,298
2015-08-20,306
2015-08-21,306
2015-08-22,316
2015-08-23,316
2015-08-24,316
2015-08-25,316
2015-08-26,316
2015-08-27,312
2015-08-28,312
2015-08-29,319
2015-08-30,319
2015-08-31,329
2015-09-01,329
2015-09-02,330
2015-09-03,330
2015-09-04,328
2015-09-05,328
2015-09-06,328
2015-09-07,330
2015-09-08,330
2015-09-09,334
2015-09-10,334
2015-09-11,335
2015-09-12,335
2015-09-13,339
2015-09-14,339
2015-09-15,341
2015-09-16,341
2015-09-17,344
2015-09-18,344
2015-09-19,345
2015-09-20,345
2015-09-21,348
2015-09-22,348
2015-09-23,351
2015-09-24,351
2015-09-25,351
2015-09-27,356
2015-09-28,347
2015-09-29,347
2015-09-30,346
2015-10-05,362
2015-10-06,362
2015-10-07,363
2015-10-08,363
2015-10-09,362
2015-10-10,362
2015-10-11,346
2015-10-12,346
2015-10-13,341
2015-10-14,341
2015-10-15,326
2015-10-16,326
2015-10-17,326
2015-10-18,323
2015-10-19,323
2015-10-20,328
2015-10-22,328
2015-10-23,339
2015-10-24,339
2015-10-25,343
2015-10-26,343
2015-10-27,351
2015-10-29,345
2015-10-30,345
2015-10-31,337
2015-11-01,337
2015-11-02,323
2015-11-03,323
2015-11-04,323
2015-11-05,306
2015-11-06,306
2015-11-07,298
2015-11-08,298
2015-11-09,298
2015-11-10,300
2015-11-11,300
2015-11-12,297
2015-11-13,297
2015-11-14,297
2015-11-15,300
2015-11-16,300
2015-11-17,300
2015-11-18,300
2015-11-19,295
2015-11-20,295
2015-11-21,295
2015-11-22,287
2015-11-23,287
2015-11-24,287
2015-11-25,290
2015-11-26,290
2015-11-27,295
2015-11-28,295
2015-11-29,298
2015-11-30,298
2015-12-01,302
2015-12-02,302
2015-12-03,307
2015-12-04,307
2015-12-05,312
2015-12-06,312
2015-12-07,310
2015-12-08,310
2015-12-09,306
2015-12-10,306
2015-12-11,317
2015-12-12,317
2015-12-13,329
2015-12-14,329
2015-12-15,318
2015-12-16,318
2015-12-17,302
2015-12-18,302
2015-12-19,286
2015-12-20,271
2015-12-21,271
2015-12-22,259
2015-12-23,259
2015-12-24,263
2015-12-25,263
2015-12-26,251
2015-12-27,256
2015-12-28,256
2015-12-29,265
2015-12-30,265
2015-12-31,270
2016-01-01,270
2016-01-02,281
2016-01-03,289
2016-01-04,300
2016-01-05,300
2016-01-06,301
2016-01-07,301
2016-01-08,297
2016-01-09,297
2016-01-10,293
2016-01-11,293
2016-01-12,297
2016-01-13,297
2016-01-14,312
2016-01-15,312
2016-01-16,325
2016-01-17,325
2016-01-18,315
2016-01-19,315
2016-01-20,313
2016-01-21,313
2016-01-22,297
2016-01-23,297
2016-01-24,286
2016-01-25,282
2016-01-26,282
2016-01-27,282
2016-01-28,282
2016-01-29,282
2016-01-30,282
2016-01-31,280
2016-02-01,283
2016-02-02,283
2016-02-03,284
2016-02-04,284
2016-02-05,281
2016-02-06,268
2016-02-07,268
2016-02-08,262
2016-02-09,262
2016-02-10,272
2016-02-11,272
2016-02-12,273
2016-02-13,275
2016-02-14,275
2016-02-15,276
2016-02-16,276
2016-02-17,282
2016-02-18,282
2016-02-19,289
2016-02-20,299
2016-02-21,308
2016-02-22,308
2016-02-23,315
2016-02-24,315
2016-02-25,318
2016-02-26,318
2016-02-27,323
2016-02-28,323
2016-02-29,319
2016-03-01,315
2016-03-02,315
2016-03-03,308
2016-03-04,299
