date_obj,Iron%20plateskirt price
2015-03-26,975
2015-03-27,975
2015-03-28,975
2015-03-29,975
2015-03-30,928
2015-03-31,928
2015-04-01,928
2015-04-02,928
2015-04-03,881
2015-04-04,881
2015-04-05,881
2015-04-06,836
2015-04-07,836
2015-04-08,836
2015-04-09,836
2015-04-10,794
2015-04-11,794
2015-04-12,794
2015-04-13,756
2015-04-14,756
2015-04-15,756
2015-04-16,720
2015-04-17,720
2015-04-18,720
2015-04-19,684
2015-04-20,684
2015-04-21,684
2015-04-22,650
2015-04-23,650
2015-04-24,650
2015-04-25,619
2015-04-26,619
2015-04-27,590
2015-04-28,590
2015-04-29,590
2015-04-30,560
2015-05-01,560
2015-05-02,532
2015-05-03,532
2015-05-04,532
2015-05-05,505
2015-05-06,505
2015-05-07,480
2015-05-08,480
2015-05-09,456
2015-05-10,456
2015-05-11,434
2015-05-12,434
2015-05-13,414
2015-05-14,414
2015-05-15,395
2015-05-16,395
2015-05-17,376
2015-05-18,376
2015-05-19,376
2015-05-20,358
2015-05-21,358
2015-05-22,358
2015-05-23,341
2015-05-24,341
2015-05-25,334
2015-05-26,334
2015-05-27,334
2015-05-28,333
2015-05-29,333
2015-05-30,318
2015-05-31,318
2015-06-01,303
2015-06-02,303
2015-06-03,303
2015-06-04,290
2015-06-05,290
2015-06-06,285
2015-06-07,285
2015-06-08,285
2015-06-09,270
2015-06-10,270
2015-06-11,270
2015-06-12,263
2015-06-13,263
2015-06-14,263
2015-06-15,257
2015-06-16,257
2015-06-17,257
2015-06-18,246
2015-06-19,246
2015-06-20,234
2015-06-21,234
2015-06-22,224
2015-06-23,224
2015-06-24,213
2015-06-25,213
2015-06-26,203
2015-06-27,203
2015-06-28,193
2015-06-29,193
2015-06-30,193
2015-07-01,184
2015-07-02,184
2015-07-03,184
2015-07-04,176
2015-07-05,176
2015-07-06,176
2015-07-07,170
2015-07-08,170
2015-07-09,170
2015-07-10,162
2015-07-11,162
2015-07-12,162
2015-07-13,155
2015-07-14,155
2015-07-15,155
2015-07-16,148
2015-07-17,148
2015-07-18,148
2015-07-19,141
2015-07-20,141
2015-07-21,137
2015-07-22,137
2015-07-23,137
2015-07-24,136
2015-07-25,136
2015-07-26,136
2015-07-27,133
2015-07-28,133
2015-07-29,138
2015-07-30,138
2015-07-31,138
2015-08-01,134
2015-08-02,134
2015-08-03,128
2015-08-04,128
2015-08-05,122
2015-08-06,122
2015-08-07,122
2015-08-08,128
2015-08-09,128
2015-08-10,124
2015-08-11,124
2015-08-12,124
2015-08-13,119
2015-08-14,119
2015-08-15,116
2015-08-16,116
2015-08-17,121
2015-08-18,121
2015-08-19,125
2015-08-20,125
2015-08-21,127
2015-08-22,127
2015-08-23,127
2015-08-24,127
2015-08-25,127
2015-08-26,123
2015-08-27,123
2015-08-28,120
2015-08-29,120
2015-08-30,120
2015-08-31,115
2015-09-01,115
2015-09-02,115
2015-09-03,109
2015-09-04,109
2015-09-05,104
2015-09-06,104
2015-09-07,99
2015-09-08,99
2015-09-09,97
2015-09-10,97
2015-09-11,95
2015-09-12,95
2015-09-13,95
2015-09-14,93
