date_obj,Fremennik%20purple%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,9673
2015-03-07,9673
2015-03-08,9673
2015-03-09,9673
2015-03-10,9673
2015-03-11,9673
2015-03-12,9673
2015-03-13,9673
2015-03-14,9673
2015-03-15,9673
2015-03-16,9200
2015-03-17,9200
2015-03-18,9200
2015-03-19,9200
2015-03-20,9200
2015-03-21,9200
2015-03-22,9200
2015-03-23,9200
2015-03-24,9200
2015-03-25,8744
2015-03-26,8744
2015-03-27,8744
2015-03-28,8744
2015-03-29,8744
2015-03-30,8744
2015-03-31,8744
2015-04-01,8744
2015-04-02,8744
2015-04-03,8312
2015-04-04,8312
2015-04-05,8312
2015-04-06,8312
2015-04-07,8312
2015-04-08,8312
2015-04-09,8312
2015-04-10,8312
2015-04-11,8312
2015-04-12,7917
2015-04-13,7917
2015-04-14,7917
2015-04-15,7917
2015-04-16,7917
2015-04-17,7917
2015-04-18,7917
2015-04-19,7917
2015-04-20,7917
2015-04-21,7527
2015-04-22,7527
2015-04-23,7527
2015-04-24,7527
2015-04-25,7527
2015-04-26,7527
2015-04-27,7527
2015-04-28,7527
2015-04-29,7527
2015-04-30,7527
2015-05-01,7157
2015-05-02,7157
2015-05-03,7157
2015-05-04,7157
2015-05-05,7157
2015-05-06,7157
2015-05-07,7157
2015-05-08,7157
2015-05-09,6807
2015-05-10,6807
2015-05-11,6807
2015-05-12,6807
2015-05-13,6807
2015-05-14,6807
2015-05-15,6807
2015-05-16,6807
2015-05-17,6470
2015-05-18,6470
2015-05-19,6470
2015-05-20,6470
2015-05-21,6470
2015-05-22,6470
2015-05-23,6470
2015-05-24,6470
2015-05-25,6470
2015-05-26,6470
2015-05-27,6153
2015-05-28,6153
2015-05-29,6153
2015-05-30,6153
2015-05-31,6153
2015-06-01,5851
2015-06-02,5851
2015-06-03,5851
2015-06-04,5851
2015-06-05,5851
2015-06-06,5851
2015-06-07,5563
2015-06-08,5563
2015-06-09,5563
2015-06-10,5563
2015-06-11,5563
2015-06-12,5563
2015-06-13,5289
2015-06-14,5289
2015-06-15,5289
2015-06-16,5289
2015-06-17,5289
2015-06-18,5289
2015-06-19,5289
2015-06-20,5024
2015-06-21,5024
2015-06-22,5024
2015-06-23,5024
2015-06-24,5024
2015-06-25,5024
2015-06-26,4781
2015-06-27,4781
2015-06-28,4781
2015-06-29,4781
2015-06-30,4781
2015-07-01,4781
2015-07-02,4552
2015-07-03,4552
2015-07-04,4552
2015-07-05,4552
2015-07-06,4552
2015-07-07,4552
2015-07-08,4398
2015-07-09,4398
2015-07-10,4398
2015-07-11,4398
2015-07-12,4398
2015-07-13,4398
2015-07-14,4398
2015-07-15,4305
2015-07-16,4305
2015-07-17,4305
2015-07-18,4305
2015-07-19,4305
2015-07-20,4305
2015-07-21,4163
2015-07-22,4163
2015-07-23,4163
2015-07-24,4163
2015-07-25,4163
2015-07-26,4163
2015-07-27,3954
2015-07-28,3954
2015-07-29,3954
2015-07-30,3954
2015-07-31,3954
2015-08-01,3954
2015-08-02,3758
2015-08-03,3758
2015-08-04,3758
2015-08-05,3758
2015-08-06,3758
2015-08-07,3575
2015-08-08,3575
2015-08-09,3575
2015-08-10,3575
2015-08-11,3575
2015-08-12,3402
2015-08-13,3402
2015-08-14,3402
2015-08-15,3402
2015-08-16,3402
2015-08-17,3260
2015-08-18,3260
2015-08-19,3260
2015-08-20,3260
2015-08-21,3260
2015-08-22,3260
2015-08-23,3151
2015-08-24,3151
2015-08-25,3151
2015-08-26,3151
2015-08-27,3151
2015-08-28,3151
2015-08-29,3062
2015-08-30,3062
2015-08-31,3062
2015-09-02,3062
2015-09-07,2911
2015-09-08,2911
2015-09-10,2911
2015-09-14,2778
2015-09-16,2778
2015-09-22,2643
2015-09-23,2517
2015-09-24,2517
2015-09-25,2517
2015-09-27,2517
2015-09-28,2517
2015-09-29,2517
2015-09-30,2391
2015-10-05,2391
2015-10-06,2391
2015-10-07,2288
2015-10-08,2288
2015-10-09,2288
2015-10-10,2288
2015-10-11,2288
2015-10-12,2288
2015-10-13,2288
2015-10-14,2244
2015-10-15,2244
2015-10-16,2244
2015-10-17,2244
2015-10-18,2244
2015-10-19,2244
2015-10-20,2244
2015-10-22,2178
2015-10-23,2178
2015-10-24,2178
2015-10-25,2178
2015-10-26,2178
2015-10-27,2178
2015-10-29,2077
2015-10-30,2077
2015-10-31,2077
2015-11-01,2077
2015-11-02,2077
2015-11-03,2077
2015-11-04,2077
2015-11-05,2077
2015-11-06,1977
2015-11-07,1977
2015-11-08,1977
