date_obj,Bronze%20pickaxe price
2015-03-26,29
2015-03-27,29
2015-03-28,31
2015-03-29,31
2015-03-30,32
2015-03-31,32
2015-04-01,32
2015-04-02,31
2015-04-03,30
2015-04-04,28
2015-04-05,27
2015-04-06,26
2015-04-07,25
2015-04-08,25
2015-04-09,24
2015-04-10,22
2015-04-11,21
2015-04-12,21
2015-04-13,22
2015-04-14,22
2015-04-15,21
2015-04-16,21
2015-04-17,22
2015-04-18,23
2015-04-19,23
2015-04-20,23
2015-04-21,22
2015-04-22,22
2015-04-23,22
2015-04-24,22
2015-04-25,22
2015-04-26,22
2015-04-27,21
2015-04-28,19
2015-04-29,19
2015-04-30,19
2015-05-01,19
2015-05-02,19
2015-05-03,19
2015-05-04,18
2015-05-05,18
2015-05-06,18
2015-05-07,18
2015-05-08,18
2015-05-09,18
2015-05-10,18
2015-05-11,18
2015-05-12,18
2015-05-13,18
2015-05-14,19
2015-05-15,19
2015-05-16,20
2015-05-17,21
2015-05-18,20
2015-05-19,20
2015-05-20,21
2015-05-21,21
2015-05-22,23
2015-05-23,23
2015-05-24,23
2015-05-25,23
2015-05-26,23
2015-05-27,22
2015-05-28,23
2015-05-29,24
2015-05-30,25
2015-05-31,26
2015-06-01,27
2015-06-02,27
2015-06-03,27
2015-06-04,28
2015-06-05,29
2015-06-06,30
2015-06-07,30
2015-06-08,30
2015-06-09,31
2015-06-10,30
2015-06-11,30
2015-06-12,30
2015-06-13,31
2015-06-14,31
2015-06-15,32
2015-06-16,33
2015-06-17,34
2015-06-18,36
2015-06-19,36
2015-06-20,38
2015-06-21,39
2015-06-22,38
2015-06-23,36
2015-06-24,35
2015-06-25,35
2015-06-26,35
2015-06-27,35
2015-06-28,33
2015-06-29,32
2015-06-30,33
2015-07-01,34
2015-07-02,34
2015-07-03,34
2015-07-04,33
2015-07-05,32
2015-07-06,31
2015-07-07,30
2015-07-08,30
2015-07-09,30
2015-07-10,31
2015-07-11,32
2015-07-12,32
2015-07-13,32
2015-07-14,32
2015-07-15,33
2015-07-16,34
2015-07-17,36
2015-07-18,36
2015-07-19,36
2015-07-20,37
2015-07-21,36
2015-07-22,36
2015-07-23,36
2015-07-24,35
2015-07-25,33
2015-07-26,33
2015-07-27,32
2015-07-28,31
2015-07-29,31
2015-07-30,31
2015-07-31,33
2015-08-01,33
2015-08-02,33
2015-08-03,32
2015-08-04,31
2015-08-05,29
2015-08-06,27
2015-08-07,27
2015-08-08,26
2015-08-09,25
2015-08-10,24
2015-08-11,23
2015-08-12,23
