date_obj,Teak%20armour%20case%20(flatpack) price
2015-03-05,60
2015-03-06,60
2015-03-07,60
2015-03-08,60
2015-03-09,60
2015-03-10,60
2015-03-11,60
2015-03-12,60
2015-03-13,60
2015-03-14,60
2015-03-15,60
2015-03-16,60
2015-03-17,60
2015-03-18,60
2015-03-19,60
2015-03-20,60
2015-03-21,60
2015-03-22,60
2015-03-23,60
2015-03-24,60
2015-03-25,60
2015-03-26,60
2015-03-27,60
2015-03-28,60
2015-03-29,60
2015-03-30,60
2015-03-31,60
2015-04-01,60
2015-04-02,60
2015-04-03,60
2015-04-04,60
2015-04-05,60
2015-04-06,60
2015-04-07,60
2015-04-08,60
2015-04-09,60
2015-04-10,60
2015-04-11,60
2015-04-12,60
2015-04-13,60
2015-04-14,60
2015-04-15,60
2015-04-16,60
2015-04-17,60
2015-04-18,60
2015-04-19,60
2015-04-20,60
2015-04-21,60
2015-04-22,60
2015-04-23,60
2015-04-24,60
2015-04-25,60
2015-04-26,60
2015-04-27,60
2015-04-28,60
2015-04-29,60
2015-04-30,60
2015-05-01,60
2015-05-02,60
2015-05-03,60
2015-05-04,60
2015-05-05,60
2015-05-06,60
2015-05-07,60
2015-05-08,60
2015-05-09,60
2015-05-10,60
2015-05-11,60
2015-05-12,60
2015-05-13,60
2015-05-14,60
2015-05-15,60
2015-05-16,60
2015-05-17,60
2015-05-18,60
2015-05-19,60
2015-05-20,60
2015-05-21,60
2015-05-22,60
2015-05-23,60
2015-05-24,60
2015-05-25,60
2015-05-26,60
2015-05-27,60
2015-05-28,60
2015-05-29,60
2015-05-30,60
2015-05-31,60
2015-06-01,60
2015-06-02,60
2015-06-03,60
2015-06-04,60
2015-06-05,60
2015-06-06,60
2015-06-07,60
2015-06-08,60
2015-06-09,60
2015-06-10,60
2015-06-11,60
2015-06-12,60
2015-06-13,60
2015-06-14,60
2015-06-15,60
2015-06-16,60
2015-06-17,60
2015-06-18,60
2015-06-19,60
2015-06-20,60
2015-06-21,60
2015-06-22,60
2015-06-23,60
2015-06-24,60
2015-06-25,60
2015-06-26,60
2015-06-27,60
2015-06-28,60
2015-06-29,60
2015-06-30,60
2015-07-01,60
2015-07-02,60
2015-07-03,60
2015-07-04,60
2015-07-05,60
2015-07-06,60
2015-07-07,60
2015-07-08,60
2015-07-09,60
2015-07-10,60
2015-07-11,60
2015-07-12,60
2015-07-13,60
2015-07-14,60
2015-07-15,60
2015-07-16,60
2015-07-17,60
2015-07-18,60
2015-07-19,60
2015-07-20,60
2015-07-21,60
2015-07-22,60
2015-07-23,60
2015-07-24,60
2015-07-25,60
2015-07-26,60
2015-07-27,60
2015-07-28,60
2015-07-29,60
2015-07-30,60
2015-07-31,60
2015-08-01,60
2015-08-02,60
2015-08-03,60
2015-08-04,60
2015-08-05,60
2015-08-06,60
2015-08-07,60
2015-08-08,60
2015-08-09,60
2015-08-10,60
2015-08-11,60
2015-08-12,60
2015-08-13,60
2015-08-14,60
2015-08-15,60
2015-08-16,60
2015-08-17,60
2015-08-18,60
2015-08-19,60
2015-08-20,60
2015-08-21,60
2015-08-22,60
2015-08-23,60
2015-08-24,60
2015-08-25,60
2015-08-26,60
2015-08-27,60
2015-08-28,60
2015-08-29,60
2015-08-30,60
2015-08-31,60
2015-09-02,60
2015-09-07,60
2015-09-08,60
2015-09-10,60
2015-09-14,60
2015-09-16,60
2015-09-22,60
2015-09-23,60
2015-09-24,60
2015-09-25,60
2015-09-27,60
2015-09-28,60
2015-09-29,60
