date_obj,Red%20firelighter price
2015-03-26,215
2015-03-27,206
2015-03-28,206
2015-03-29,206
2015-03-30,197
2015-03-31,197
2015-04-01,197
2015-04-02,188
2015-04-03,188
2015-04-04,179
2015-04-05,179
2015-04-06,170
2015-04-07,170
2015-04-08,170
2015-04-09,162
2015-04-10,162
2015-04-11,154
2015-04-12,154
2015-04-13,154
2015-04-14,147
2015-04-15,147
2015-04-16,147
2015-04-17,139
2015-04-18,139
2015-04-19,132
2015-04-20,132
2015-04-21,132
2015-04-22,132
2015-04-23,125
2015-04-24,125
2015-04-25,125
2015-04-26,118
2015-04-27,118
2015-04-28,112
2015-04-29,112
2015-04-30,112
2015-05-01,106
2015-05-02,106
2015-05-03,106
2015-05-04,100
2015-05-05,100
2015-05-06,95
2015-05-07,95
2015-05-08,95
2015-05-09,90
2015-05-10,90
2015-05-11,90
2015-05-12,85
2015-05-13,85
2015-05-14,80
2015-05-15,80
2015-05-16,80
2015-05-17,76
2015-05-18,76
2015-05-19,76
2015-05-20,72
2015-05-21,72
2015-05-22,68
2015-05-23,68
2015-05-24,65
2015-05-25,65
2015-05-26,63
2015-05-27,63
2015-05-28,62
2015-05-29,62
2015-05-30,59
2015-05-31,59
2015-06-01,56
2015-06-02,56
2015-06-03,56
2015-06-04,53
2015-06-05,53
2015-06-06,50
2015-06-07,50
2015-06-08,47
2015-06-09,47
2015-06-10,46
2015-06-11,46
2015-06-12,46
2015-06-13,46
2015-06-14,46
2015-06-15,44
2015-06-16,44
2015-06-17,45
2015-06-18,45
2015-06-19,47
2015-06-20,47
2015-06-21,48
2015-06-22,48
2015-06-23,48
2015-06-24,48
2015-06-25,48
2015-06-26,48
2015-06-27,49
2015-06-28,49
2015-06-29,48
2015-06-30,48
2015-07-01,46
2015-07-02,46
2015-07-03,45
2015-07-04,45
2015-07-05,45
2015-07-06,44
2015-07-07,44
2015-07-08,43
2015-07-09,43
2015-07-10,43
2015-07-11,43
2015-07-12,43
2015-07-13,43
2015-07-14,43
2015-07-15,43
2015-07-16,43
2015-07-17,42
2015-07-18,42
2015-07-19,42
2015-07-20,40
2015-07-21,40
2015-07-22,38
2015-07-23,38
2015-07-24,38
2015-07-25,36
2015-07-26,36
2015-07-27,36
2015-07-28,34
2015-07-29,34
2015-07-30,32
2015-07-31,32
2015-08-01,32
2015-08-02,30
2015-08-03,30
2015-08-04,30
2015-08-05,28
2015-08-06,28
2015-08-07,28
2015-08-08,26
2015-08-09,26
2015-08-10,26
2015-08-11,26
2015-08-12,26
2015-08-13,27
2015-08-14,27
2015-08-15,29
2015-08-16,29
2015-08-17,30
2015-08-18,30
2015-08-19,30
2015-08-20,30
2015-08-21,31
2015-08-22,31
2015-08-23,31
2015-08-24,30
2015-08-25,30
2015-08-26,30
2015-08-27,29
2015-08-28,29
2015-08-29,29
2015-08-30,30
2015-08-31,30
2015-09-01,30
2015-09-02,30
2015-09-03,30
2015-09-04,31
2015-09-05,31
2015-09-06,31
2015-09-07,32
2015-09-08,32
2015-09-09,33
2015-09-10,33
2015-09-11,33
2015-09-12,33
2015-09-13,32
2015-09-14,32
2015-09-15,31
2015-09-16,31
2015-09-17,31
2015-09-18,32
2015-09-19,32
