date_obj,Willow%20shield price
2018-02-01,121
2018-02-02,115
2018-02-03,109
2018-02-04,103
2018-02-05,97
2018-02-06,92
2018-02-07,87
2018-02-08,82
2018-02-09,77
2018-02-10,73
2018-02-11,69
2018-02-12,65
2018-02-13,61
2018-02-14,57
2018-02-15,54
2018-02-16,52
2018-02-17,52
2018-02-18,51
2018-02-19,50
2018-02-20,50
2018-02-21,50
2018-02-22,50
2018-02-23,49
2018-02-24,49
2018-02-25,49
2018-02-26,49
2018-02-27,48
2018-02-28,48
2018-03-01,47
2018-03-02,46
2018-03-03,46
2018-03-04,44
2018-03-05,44
2018-03-06,43
2018-03-07,43
2018-03-08,44
2018-03-09,44
2018-03-10,42
2018-03-11,42
2018-03-12,40
2018-03-13,40
2018-03-14,39
2018-03-15,39
2018-03-16,39
2018-03-17,39
2018-03-18,39
2018-03-20,39
2018-03-21,39
2018-03-23,39
2018-03-24,39
2018-03-26,38
2018-03-27,37
2018-03-28,37
2018-03-29,36
2018-03-30,36
2018-03-31,36
2018-04-01,36
2018-04-02,36
2018-04-03,35
2018-04-04,35
2018-04-05,35
2018-04-06,35
2018-04-08,35
2018-04-09,36
2018-04-10,36
2018-04-11,36
2018-04-12,36
2018-04-13,37
2018-04-14,37
2018-04-16,37
2018-04-17,37
2018-04-18,36
2018-04-19,36
2018-04-20,36
2018-04-21,36
2018-04-22,36
2018-04-23,36
2018-04-24,37
2018-04-25,37
2018-04-26,37
2018-04-27,37
2018-04-28,37
2018-04-29,35
2018-04-30,35
2018-05-02,34
2018-05-03,34
2018-05-04,34
2018-05-05,34
2018-05-06,34
2018-05-07,34
2018-05-08,34
2018-05-09,34
2018-05-10,34
2018-05-11,34
2018-05-12,34
2018-05-13,34
2018-05-14,34
2018-05-15,34
2018-05-16,34
2018-05-17,35
2018-05-18,35
2018-05-19,34
2018-05-20,34
2018-05-21,34
2018-05-22,34
2018-05-23,34
2018-05-24,34
2018-05-25,34
2018-05-26,35
2018-05-27,35
2018-05-28,34
2018-05-29,34
2018-05-30,34
2018-05-31,34
2018-06-01,34
2018-06-02,34
2018-06-03,34
2018-06-04,34
2018-06-05,34
2018-06-06,34
2018-06-07,34
2018-06-08,35
2018-06-09,35
2018-06-10,35
2018-06-11,34
2018-06-12,34
2018-06-13,34
2018-06-14,34
2018-06-15,34
2018-06-16,35
2018-06-17,35
2018-06-18,35
2018-06-19,35
2018-06-20,35
2018-06-21,35
2018-06-22,35
2018-06-23,35
2018-06-24,34
2018-06-25,34
2018-06-26,34
2018-06-27,33
2018-06-28,33
2018-06-29,33
2018-06-30,32
2018-07-01,32
2018-07-02,32
2018-07-03,31
2018-07-04,31
2018-07-05,31
2018-07-06,31
2018-07-07,31
2018-07-08,30
2018-07-09,30
2018-07-10,30
2018-07-11,30
2018-07-12,30
2018-07-13,31
2018-07-14,31
2018-07-15,31
2018-07-16,31
2018-07-17,32
2018-07-18,32
2018-07-19,31
2018-07-20,31
2018-07-21,32
2018-07-22,32
2018-07-23,31
2018-07-24,31
2018-07-25,30
2018-07-26,30
2018-07-27,29
2018-07-28,29
2018-07-29,28
2018-07-30,28
2018-07-31,26
2018-08-01,26
2018-08-02,24
2018-08-03,24
2018-08-04,22
2018-08-05,20
2018-08-06,20
2018-08-07,19
2018-08-08,19
2018-08-09,19
2018-08-10,19
2018-08-11,19
2018-08-12,19
2018-08-14,19
2018-08-16,19
2018-08-17,19
2018-08-18,19
2018-08-19,19
2018-08-20,19
2018-08-21,19
2018-08-22,19
2018-08-23,19
2018-08-24,20
2018-08-25,21
2018-08-26,21
2018-08-27,22
2018-08-28,23
2018-08-29,23
2018-08-30,25
2018-08-31,25
2018-09-01,26
2018-09-02,26
2018-09-03,26
2018-09-04,27
2018-09-05,28
2018-09-06,28
2018-09-07,28
2018-09-08,27
2018-09-09,27
2018-09-10,27
2018-09-11,27
2018-09-12,27
2018-09-13,27
2018-09-14,26
2018-09-15,26
2018-09-16,26
2018-09-17,26
2018-09-18,26
2018-09-19,26
2018-09-20,26
2018-09-21,26
2018-09-22,26
2018-09-23,26
2018-09-24,27
2018-09-25,27
2018-09-26,28
2018-09-27,28
2018-09-28,28
2018-09-29,28
2018-09-30,28
2018-10-02,27
2018-10-03,28
2018-10-04,28
2018-10-05,28
2018-10-06,29
2018-10-07,29
2018-10-08,29
2018-10-09,29
2018-10-10,30
2018-10-11,30
2018-10-12,30
2018-10-13,30
2018-10-14,30
2018-10-15,29
2018-10-16,29
2018-10-17,29
2018-10-18,29
2018-10-19,29
2018-10-20,29
2018-10-21,29
2018-10-22,29
2018-10-23,29
2018-10-24,29
2018-10-25,29
2018-10-26,28
2018-10-27,28
2018-10-28,29
2018-10-29,29
2018-10-30,29
2018-10-31,28
2018-11-01,29
2018-11-03,29
2018-11-04,29
2018-11-05,29
2018-11-06,30
2018-11-07,30
2018-11-08,29
2018-11-09,29
2018-11-10,28
2018-11-11,27
2018-11-12,26
2018-11-13,25
2018-11-14,24
2018-11-15,24
2018-11-16,23
2018-11-17,22
2018-11-18,21
2018-11-19,20
2018-11-20,20
2018-11-21,20
2018-11-22,20
2018-11-23,19
2018-11-24,19
2018-11-25,19
2018-11-26,19
2018-11-27,19
2018-11-28,20
2018-11-29,19
2018-12-01,18
2018-12-02,18
2018-12-03,18
2018-12-04,19
2018-12-05,19
2018-12-07,19
2018-12-09,19
2018-12-10,19
2018-12-11,19
2018-12-12,19
2018-12-13,18
2018-12-14,18
2018-12-15,18
2018-12-16,18
2018-12-17,17
2018-12-18,17
