date_obj,Wool price
2015-03-26,429
2015-03-27,429
2015-03-28,429
2015-03-29,429
2015-03-30,418
2015-03-31,418
2015-04-01,418
2015-04-02,418
2015-04-03,415
2015-04-04,415
2015-04-05,415
2015-04-06,415
2015-04-07,405
2015-04-08,405
2015-04-09,405
2015-04-10,405
2015-04-11,395
2015-04-12,395
2015-04-13,395
2015-04-14,395
2015-04-15,381
2015-04-16,381
2015-04-17,381
2015-04-18,381
2015-04-19,361
2015-04-20,361
2015-04-21,361
2015-04-22,361
2015-04-23,342
2015-04-24,342
2015-04-25,342
2015-04-26,342
2015-04-27,324
2015-04-28,324
2015-04-29,324
2015-04-30,324
2015-05-01,307
2015-05-02,307
2015-05-03,307
2015-05-04,307
2015-05-05,291
2015-05-06,291
2015-05-07,291
2015-05-08,291
2015-05-09,276
2015-05-10,276
2015-05-11,276
2015-05-12,276
2015-05-13,262
2015-05-14,262
2015-05-15,262
2015-05-16,262
2015-05-17,248
2015-05-18,248
2015-05-19,248
2015-05-20,248
2015-05-21,248
2015-05-22,235
2015-05-23,235
2015-05-24,235
2015-05-25,235
2015-05-26,235
2015-05-27,223
2015-05-28,223
2015-05-29,223
2015-05-30,211
2015-05-31,211
2015-06-01,211
2015-06-02,200
2015-06-03,200
2015-06-04,200
2015-06-05,190
2015-06-06,190
2015-06-07,190
2015-06-08,180
2015-06-09,180
2015-06-10,180
2015-06-11,171
2015-06-12,171
2015-06-13,171
2015-06-14,163
2015-06-15,163
2015-06-16,163
2015-06-17,159
2015-06-18,159
2015-06-19,159
2015-06-20,153
2015-06-21,153
2015-06-22,153
2015-06-23,153
2015-06-24,152
2015-06-25,152
2015-06-26,152
2015-06-27,152
2015-06-28,146
2015-06-29,146
2015-06-30,146
2015-07-01,138
2015-07-02,138
2015-07-03,138
2015-07-04,138
2015-07-05,134
2015-07-06,134
2015-07-07,134
2015-07-08,134
2015-07-09,127
2015-07-10,127
2015-07-11,127
2015-07-12,127
2015-07-13,122
2015-07-14,122
2015-07-15,122
2015-07-16,122
2015-07-17,115
2015-07-18,115
2015-07-19,115
2015-07-20,110
2015-07-21,110
2015-07-22,110
2015-07-23,110
2015-07-24,108
2015-07-25,108
2015-07-26,108
2015-07-27,108
2015-07-28,108
2015-07-29,108
2015-07-30,110
2015-07-31,110
2015-08-01,110
2015-08-02,109
2015-08-03,109
