date_obj,Maple%20shortbow%20(u) price
2015-03-26,17
2015-03-27,17
2015-03-28,18
2015-03-29,18
2015-03-30,18
2015-03-31,18
2015-04-01,18
2015-04-02,18
2015-04-03,18
2015-04-04,18
2015-04-05,18
2015-04-06,18
2015-04-07,18
2015-04-08,18
2015-04-09,18
2015-04-10,18
2015-04-11,18
2015-04-12,19
2015-04-13,19
2015-04-14,19
2015-04-15,19
2015-04-16,19
2015-04-17,19
2015-04-18,19
2015-04-19,19
2015-04-20,19
2015-04-21,19
2015-04-22,19
2015-04-23,19
2015-04-24,19
2015-04-25,19
2015-04-26,19
2015-04-27,19
2015-04-28,19
2015-04-29,19
2015-04-30,19
2015-05-01,19
2015-05-02,19
2015-05-03,19
2015-05-04,19
2015-05-05,19
2015-05-06,19
2015-05-07,19
2015-05-08,19
2015-05-09,19
2015-05-10,19
2015-05-11,19
2015-05-12,19
2015-05-13,19
2015-05-14,19
2015-05-15,19
2015-05-16,19
2015-05-17,20
2015-05-18,20
2015-05-19,20
2015-05-20,20
2015-05-21,20
2015-05-22,20
2015-05-23,20
2015-05-24,20
2015-05-25,21
2015-05-26,21
2015-05-27,21
2015-05-28,22
2015-05-29,22
2015-05-30,22
2015-05-31,22
2015-06-01,23
2015-06-02,23
2015-06-03,23
2015-06-04,23
2015-06-05,24
2015-06-06,24
2015-06-07,26
2015-06-08,26
2015-06-09,27
2015-06-10,27
2015-06-11,29
2015-06-12,29
2015-06-13,30
2015-06-14,30
2015-06-15,31
2015-06-16,31
2015-06-17,32
2015-06-18,32
2015-06-19,32
2015-06-20,32
2015-06-21,31
2015-06-22,31
2015-06-23,30
2015-06-24,30
2015-06-25,30
2015-06-26,30
2015-06-27,31
2015-06-28,31
2015-06-29,31
2015-06-30,31
2015-07-01,31
2015-07-02,31
2015-07-03,31
2015-07-04,31
2015-07-05,31
2015-07-06,31
2015-07-07,30
2015-07-08,30
2015-07-09,30
2015-07-10,30
2015-07-11,30
2015-07-12,30
2015-07-13,30
2015-07-14,30
2015-07-15,30
2015-07-16,30
2015-07-17,30
2015-07-18,30
2015-07-19,30
2015-07-20,30
2015-07-21,30
2015-07-22,30
2015-07-23,30
2015-07-24,31
2015-07-25,31
2015-07-26,31
2015-07-27,31
2015-07-28,31
2015-07-29,31
2015-07-30,31
2015-07-31,31
2015-08-01,32
2015-08-02,32
2015-08-03,33
