date_obj,Harralander%20seed price
2015-03-05,331
2015-03-06,314
2015-03-07,298
2015-03-08,283
2015-03-09,268
2015-03-10,255
2015-03-11,243
2015-03-12,230
2015-03-13,218
2015-03-14,207
2015-03-15,196
2015-03-16,186
2015-03-17,176
2015-03-18,176
2015-03-19,167
2015-03-20,158
2015-03-21,151
2015-03-22,143
2015-03-23,143
2015-03-24,136
2015-03-25,132
2015-03-26,125
2015-03-27,125
2015-03-28,118
2015-03-29,118
2015-03-30,112
2015-03-31,106
2015-04-01,106
2015-04-02,100
2015-04-03,95
2015-04-04,91
2015-04-05,91
2015-04-06,89
2015-04-07,84
2015-04-08,84
2015-04-09,81
2015-04-10,77
2015-04-11,73
2015-04-12,73
2015-04-13,70
2015-04-14,70
2015-04-15,66
2015-04-16,66
2015-04-17,63
2015-04-18,59
2015-04-19,59
2015-04-20,56
2015-04-21,53
2015-04-22,53
2015-04-23,50
2015-04-24,50
2015-04-25,47
2015-04-26,47
2015-04-27,45
2015-04-28,45
2015-04-29,43
2015-04-30,40
2015-05-01,40
2015-05-02,38
2015-05-03,38
2015-05-04,36
2015-05-05,36
2015-05-06,34
2015-05-07,34
2015-05-08,32
2015-05-09,32
2015-05-10,30
2015-05-11,30
2015-05-12,29
2015-05-13,29
2015-05-14,28
2015-05-15,28
2015-05-16,28
2015-05-17,27
2015-05-18,27
2015-05-19,27
2015-05-20,27
2015-05-21,27
2015-05-22,27
2015-05-23,27
2015-05-24,27
2015-05-25,27
2015-05-26,28
2015-05-27,28
2015-05-28,27
2015-05-29,27
2015-05-30,28
2015-05-31,28
2015-06-01,28
2015-06-02,28
2015-06-03,29
2015-06-04,29
2015-06-05,29
2015-06-06,27
2015-06-07,27
2015-06-08,25
2015-06-09,24
2015-06-10,25
2015-06-11,25
2015-06-12,25
2015-06-13,26
2015-06-14,26
2015-06-15,27
2015-06-16,27
2015-06-17,27
2015-06-18,27
2015-06-19,27
2015-06-20,28
2015-06-21,28
