date_obj,Willow%20shortbow price
2015-03-26,41
2015-03-27,41
2015-03-28,38
2015-03-29,39
2015-03-30,37
2015-03-31,35
2015-04-01,35
2015-04-02,36
2015-04-03,36
2015-04-04,37
2015-04-05,37
2015-04-06,35
2015-04-07,37
2015-04-08,37
2015-04-09,37
2015-04-10,38
2015-04-11,40
2015-04-12,39
2015-04-13,37
2015-04-14,37
2015-04-15,35
2015-04-16,34
2015-04-17,33
2015-04-18,31
2015-04-19,30
2015-04-20,30
2015-04-21,30
2015-04-22,29
2015-04-23,30
2015-04-24,32
2015-04-25,34
2015-04-26,36
2015-04-27,38
2015-04-28,40
2015-04-29,40
2015-04-30,42
2015-05-01,45
2015-05-02,46
2015-05-03,46
2015-05-04,49
2015-05-05,49
2015-05-06,49
2015-05-07,49
2015-05-08,51
2015-05-09,50
2015-05-10,51
2015-05-11,51
2015-05-12,51
2015-05-13,53
2015-05-14,53
2015-05-15,53
2015-05-16,54
2015-05-17,55
2015-05-18,58
2015-05-19,61
2015-05-20,61
2015-05-21,62
2015-05-22,63
2015-05-23,64
2015-05-24,64
2015-05-25,66
2015-05-26,65
2015-05-27,65
2015-05-28,66
2015-05-29,70
2015-05-30,74
2015-05-31,72
2015-06-01,71
2015-06-02,71
2015-06-03,71
2015-06-04,70
2015-06-05,67
2015-06-06,67
2015-06-07,68
2015-06-08,70
2015-06-09,70
2015-06-10,70
2015-06-11,72
2015-06-12,73
2015-06-13,73
2015-06-14,76
2015-06-15,73
2015-06-16,73
2015-06-17,74
2015-06-18,74
2015-06-19,75
2015-06-20,75
2015-06-21,75
2015-06-22,75
2015-06-23,75
2015-06-24,75
2015-06-25,76
2015-06-26,77
2015-06-27,75
2015-06-28,76
2015-06-29,76
2015-06-30,79
2015-07-01,83
2015-07-02,83
2015-07-03,81
2015-07-04,80
2015-07-05,79
2015-07-06,80
2015-07-07,84
2015-07-08,80
2015-07-09,76
2015-07-10,75
2015-07-11,72
2015-07-12,69
2015-07-13,65
2015-07-14,61
2015-07-15,57
2015-07-16,54
2015-07-17,55
2015-07-18,52
2015-07-19,49
2015-07-20,47
2015-07-21,46
2015-07-22,43
2015-07-23,43
2015-07-24,43
2015-07-25,45
2015-07-26,47
2015-07-27,50
2015-07-28,52
2015-07-29,55
2015-07-30,58
2015-07-31,58
2015-08-01,59
2015-08-02,60
2015-08-03,62
2015-08-04,64
2015-08-05,67
2015-08-06,66
2015-08-07,64
2015-08-08,61
2015-08-09,61
2015-08-10,58
2015-08-11,57
2015-08-12,54
2015-08-13,54
2015-08-14,53
2015-08-15,50
2015-08-16,47
2015-08-17,46
2015-08-18,45
2015-08-19,48
2015-08-20,49
2015-08-21,48
2015-08-22,46
2015-08-23,43
2015-08-24,43
2015-08-25,43
2015-08-26,42
2015-08-27,40
2015-08-28,40
2015-08-29,41
2015-08-30,42
2015-08-31,41
2015-09-01,41
2015-09-02,41
2015-09-03,41
2015-09-04,39
2015-09-05,37
