date_obj,Banana price
2015-03-26,121
2015-03-27,121
2015-03-28,117
2015-03-29,112
2015-03-30,106
2015-03-31,101
2015-04-01,101
2015-04-02,95
2015-04-03,95
2015-04-04,94
2015-04-05,94
2015-04-06,93
2015-04-07,96
2015-04-08,96
2015-04-09,98
2015-04-10,102
2015-04-11,103
2015-04-12,103
2015-04-13,101
2015-04-14,101
2015-04-15,102
2015-04-16,102
2015-04-17,103
2015-04-18,108
2015-04-19,108
2015-04-20,111
2015-04-21,111
2015-04-22,114
2015-04-23,118
2015-04-24,118
2015-04-25,114
2015-04-26,114
2015-04-27,108
2015-04-28,102
2015-04-29,102
2015-04-30,96
2015-05-01,91
2015-05-02,86
2015-05-03,86
2015-05-04,85
2015-05-05,85
2015-05-06,84
2015-05-07,83
2015-05-08,83
2015-05-09,79
2015-05-10,76
2015-05-11,76
2015-05-12,72
2015-05-13,72
2015-05-14,69
2015-05-15,69
2015-05-16,72
2015-05-17,75
2015-05-18,78
2015-05-19,78
2015-05-20,82
2015-05-21,82
2015-05-22,87
2015-05-23,87
2015-05-24,89
2015-05-25,84
2015-05-26,84
2015-05-27,84
2015-05-28,85
2015-05-29,86
2015-05-30,85
2015-05-31,85
2015-06-01,86
2015-06-02,86
2015-06-03,88
2015-06-04,87
2015-06-05,87
2015-06-06,84
2015-06-07,79
2015-06-08,79
2015-06-09,75
2015-06-10,71
2015-06-11,71
2015-06-12,67
2015-06-13,64
2015-06-14,63
2015-06-15,67
2015-06-16,65
2015-06-17,66
2015-06-18,65
2015-06-19,65
2015-06-20,69
2015-06-21,69
2015-06-22,71
2015-06-23,71
2015-06-24,72
2015-06-25,72
2015-06-26,75
2015-06-27,75
2015-06-28,76
2015-06-29,76
2015-06-30,80
2015-07-01,81
2015-07-02,81
2015-07-03,81
2015-07-04,79
2015-07-05,79
2015-07-06,76
2015-07-07,75
2015-07-08,73
2015-07-09,73
2015-07-10,72
2015-07-11,72
2015-07-12,71
2015-07-13,67
2015-07-14,64
2015-07-15,62
2015-07-16,62
2015-07-17,62
2015-07-18,62
2015-07-19,65
2015-07-20,66
2015-07-21,66
2015-07-22,66
2015-07-23,66
2015-07-24,62
2015-07-25,62
2015-07-26,59
2015-07-27,59
2015-07-28,57
2015-07-29,55
2015-07-30,55
2015-07-31,55
2015-08-01,55
2015-08-02,55
2015-08-03,55
2015-08-04,57
2015-08-05,55
2015-08-06,52
2015-08-07,49
2015-08-08,47
2015-08-09,46
2015-08-10,45
2015-08-11,45
2015-08-12,45
2015-08-13,47
2015-08-14,49
2015-08-15,49
2015-08-16,51
2015-08-17,52
2015-08-18,52
2015-08-19,55
2015-08-20,55
2015-08-21,56
2015-08-22,54
2015-08-23,54
2015-08-24,54
2015-08-25,54
2015-08-26,57
2015-08-27,60
2015-08-28,60
2015-08-29,63
2015-08-30,63
2015-08-31,66
2015-09-01,70
2015-09-02,70
2015-09-03,74
2015-09-04,78
2015-09-05,78
2015-09-06,81
2015-09-07,78
2015-09-08,77
2015-09-09,77
2015-09-10,78
2015-09-11,76
2015-09-12,77
2015-09-13,76
2015-09-14,76
2015-09-15,73
2015-09-16,73
2015-09-17,70
2015-09-18,70
2015-09-19,71
2015-09-20,71
2015-09-21,68
2015-09-22,65
2015-09-23,62
2015-09-24,62
2015-09-25,58
2015-09-27,53
2015-09-28,56
2015-09-29,56
2015-09-30,56
2015-10-05,55
2015-10-06,54
2015-10-07,54
2015-10-08,53
2015-10-09,55
2015-10-10,55
2015-10-11,57
2015-10-12,59
2015-10-13,59
2015-10-14,58
2015-10-15,59
2015-10-16,61
2015-10-17,61
2015-10-18,60
2015-10-19,58
2015-10-20,57
2015-10-22,58
2015-10-23,56
2015-10-24,56
2015-10-25,54
2015-10-26,51
2015-10-27,51
2015-10-28,48
2015-10-29,48
2015-10-30,45
2015-10-31,44
2015-11-01,44
2015-11-02,41
2015-11-03,41
2015-11-04,38
2015-11-05,38
2015-11-06,38
2015-11-07,39
2015-11-08,39
2015-11-09,41
2015-11-10,41
2015-11-11,43
2015-11-12,43
2015-11-13,45
2015-11-14,45
2015-11-15,45
2015-11-16,45
2015-11-17,46
2015-11-18,46
2015-11-19,49
2015-11-20,52
2015-11-21,52
2015-11-22,51
2015-11-23,51
2015-11-24,51
2015-11-25,50
2015-11-26,50
2015-11-27,51
2015-11-28,51
2015-11-29,49
2015-11-30,52
2015-12-01,52
2015-12-02,55
2015-12-03,58
2015-12-04,58
2015-12-05,59
2015-12-06,58
2015-12-07,58
2015-12-08,56
2015-12-09,53
2015-12-10,53
