date_obj,Bronze%20javelin%20heads price
2016-05-05,45
2016-05-06,45
2016-05-07,45
2016-05-08,45
2016-05-09,45
2016-05-10,45
2016-05-11,45
2016-05-12,45
2016-05-13,45
2016-05-14,45
2016-05-15,45
2016-05-16,45
2016-05-17,45
2016-05-18,45
2016-05-19,45
2016-05-22,46
2016-05-23,46
2016-05-24,46
2016-05-25,46
2016-05-26,46
2016-05-27,46
2016-05-28,46
2016-05-29,46
2016-05-30,46
2016-05-31,46
2016-06-01,46
2016-06-02,46
2016-06-03,46
2016-06-04,46
2016-06-05,46
2016-06-06,46
2016-06-07,46
2016-06-08,46
2016-06-09,46
2016-06-10,46
2016-06-11,46
2016-06-12,46
2016-06-13,46
2016-06-14,46
2016-06-15,46
2016-06-16,46
2016-06-17,46
2016-06-18,46
2016-06-19,46
2016-06-20,46
2016-06-21,46
2016-06-22,46
2016-06-23,46
2016-06-24,46
2016-06-25,46
2016-06-26,46
2016-06-27,46
2016-06-28,46
2016-06-29,46
2016-06-30,46
2016-07-01,46
2016-07-02,46
2016-07-03,46
2016-07-04,46
2016-07-05,46
2016-07-06,47
2016-07-07,47
2016-07-08,47
2016-07-09,47
2016-07-10,47
2016-07-11,47
2016-07-12,47
2016-07-13,47
2016-07-14,47
2016-07-15,47
2016-07-16,47
2016-07-17,47
2016-07-18,47
2016-07-23,47
2016-07-24,47
2016-07-25,47
2016-07-26,47
2016-07-27,47
2016-07-28,47
2016-07-29,47
2016-07-30,47
2016-07-31,47
2016-08-01,47
2016-08-02,47
2016-08-03,47
2016-08-04,47
2016-08-05,47
2016-08-06,47
2016-08-07,47
2016-08-08,47
2016-08-09,47
2016-08-10,47
2016-08-11,47
2016-08-12,47
2016-08-13,47
2016-08-14,47
2016-08-15,47
2016-08-16,47
2016-08-17,47
2016-08-18,47
2016-08-19,47
2016-08-20,47
2016-08-21,47
2016-08-22,47
2016-08-23,47
2016-08-24,47
2016-08-25,47
2016-08-26,47
2016-08-28,47
2016-08-31,47
2016-09-01,47
2016-09-02,47
2016-09-03,47
2016-09-04,47
2016-09-05,47
2016-09-06,47
2016-09-07,47
2016-09-08,47
2016-09-09,47
2016-09-10,47
2016-09-11,47
2016-09-12,47
2016-09-13,47
2016-09-14,47
2016-09-15,47
2016-09-16,47
2016-09-17,47
2016-09-18,47
2016-09-19,47
2016-09-20,47
2016-09-21,47
2016-09-22,47
2016-09-23,47
2016-09-24,47
2016-09-25,47
2016-09-26,47
2016-09-27,47
2016-09-28,47
2016-09-29,47
2016-09-30,47
2016-10-01,47
2016-10-02,47
2016-10-03,47
2016-10-04,47
2016-10-05,47
2016-10-06,47
2016-10-07,47
2016-10-08,47
2016-10-09,47
2016-10-10,47
2016-10-11,47
2016-10-12,47
2016-10-13,47
2016-10-14,47
2016-10-15,47
2016-10-16,47
2016-10-17,47
2016-10-18,47
2016-10-19,47
2016-10-20,47
2016-10-21,47
2016-10-22,47
2016-10-23,47
2016-10-24,47
2016-10-25,47
2016-10-26,47
2016-10-27,47
2016-10-28,47
2016-10-29,47
2016-10-30,47
2016-10-31,47
2016-11-01,47
2016-11-02,47
2016-11-03,47
2016-11-04,47
2016-11-05,47
2016-11-06,47
2016-11-07,47
2016-11-08,47
2016-11-09,47
2016-11-10,47
2016-11-11,47
