date_obj,Bolt%20rack price
2015-03-26,66
2015-03-27,68
2015-03-28,69
2015-03-29,72
2015-03-30,75
2015-03-31,79
2015-04-01,83
2015-04-02,87
2015-04-03,91
2015-04-04,92
2015-04-05,89
2015-04-06,84
2015-04-07,79
2015-04-08,76
2015-04-09,74
2015-04-10,74
2015-04-11,78
2015-04-12,81
2015-04-13,84
2015-04-14,84
2015-04-15,82
2015-04-16,81
2015-04-17,81
2015-04-18,82
2015-04-19,82
2015-04-20,83
2015-04-21,83
2015-04-22,83
2015-04-23,83
2015-04-24,83
2015-04-25,83
2015-04-26,83
2015-04-27,83
2015-04-28,83
2015-04-29,82
2015-04-30,82
2015-05-01,83
2015-05-02,87
2015-05-03,85
2015-05-04,87
2015-05-05,89
2015-05-06,91
2015-05-07,93
2015-05-08,96
2015-05-09,98
2015-05-10,101
2015-05-11,101
2015-05-12,102
2015-05-13,101
2015-05-14,99
2015-05-15,97
2015-05-16,94
2015-05-17,91
2015-05-18,91
2015-05-19,93
2015-05-20,93
2015-05-21,93
2015-05-22,94
2015-05-23,94
2015-05-24,93
2015-05-25,91
2015-05-26,90
2015-05-27,89
2015-05-28,86
2015-05-29,84
2015-05-30,81
2015-05-31,79
2015-06-01,76
2015-06-02,74
2015-06-03,76
2015-06-04,79
2015-06-05,81
2015-06-06,82
2015-06-07,80
2015-06-08,78
2015-06-09,77
2015-06-10,76
2015-06-11,77
2015-06-12,78
2015-06-13,77
2015-06-14,78
2015-06-15,79
2015-06-16,79
2015-06-17,79
2015-06-18,79
2015-06-19,79
2015-06-20,80
2015-06-21,80
2015-06-22,79
2015-06-23,77
2015-06-24,76
2015-06-25,77
2015-06-26,78
2015-06-27,80
2015-06-28,82
2015-06-29,84
2015-06-30,87
2015-07-01,88
2015-07-02,88
2015-07-03,87
2015-07-04,87
2015-07-05,88
2015-07-06,87
2015-07-07,89
2015-07-08,90
2015-07-09,91
2015-07-10,90
2015-07-11,92
2015-07-12,93
2015-07-13,92
2015-07-14,93
2015-07-15,90
2015-07-16,87
2015-07-17,88
2015-07-18,87
2015-07-19,87
2015-07-20,86
2015-07-21,88
2015-07-22,88
2015-07-23,88
2015-07-24,86
2015-07-25,86
2015-07-26,87
2015-07-27,88
2015-07-28,87
2015-07-29,88
2015-07-30,88
2015-07-31,89
2015-08-01,87
2015-08-02,87
2015-08-03,88
2015-08-04,89
2015-08-05,90
2015-08-06,92
2015-08-07,93
2015-08-08,97
2015-08-09,100
2015-08-10,103
2015-08-11,101
2015-08-12,101
