date_obj,Ogre%20arrow%20shaft price
2015-03-26,27
2015-03-27,27
2015-03-28,27
2015-03-29,27
2015-03-30,27
2015-03-31,27
2015-04-01,27
2015-04-02,27
2015-04-03,27
2015-04-04,27
2015-04-05,27
2015-04-06,27
2015-04-07,27
2015-04-08,27
2015-04-09,27
2015-04-10,27
2015-04-11,27
2015-04-12,29
2015-04-13,29
2015-04-14,29
2015-04-15,29
2015-04-16,29
2015-04-17,29
2015-04-18,29
2015-04-19,29
2015-04-20,29
2015-04-21,29
2015-04-22,29
2015-04-23,29
2015-04-24,29
2015-04-25,29
2015-04-26,29
2015-04-27,29
2015-04-28,29
2015-04-29,29
2015-04-30,29
2015-05-01,29
2015-05-02,31
2015-05-03,31
2015-05-04,31
2015-05-05,31
2015-05-06,31
2015-05-07,31
2015-05-08,31
2015-05-09,31
2015-05-10,31
2015-05-11,31
2015-05-12,31
2015-05-13,31
2015-05-14,31
2015-05-15,31
2015-05-16,31
2015-05-17,31
2015-05-18,31
2015-05-19,31
2015-05-20,31
2015-05-21,31
2015-05-22,31
2015-05-23,33
2015-05-24,33
2015-05-25,33
2015-05-26,33
2015-05-27,33
2015-05-28,33
2015-05-29,33
2015-05-30,33
2015-05-31,33
2015-06-01,33
2015-06-02,33
2015-06-03,33
2015-06-04,33
2015-06-05,33
2015-06-06,33
2015-06-07,33
2015-06-08,33
2015-06-09,35
2015-06-10,35
2015-06-11,35
2015-06-12,35
2015-06-13,35
2015-06-14,35
2015-06-15,35
2015-06-16,35
2015-06-17,35
2015-06-18,35
2015-06-19,35
2015-06-20,35
2015-06-21,35
2015-06-22,35
2015-06-23,35
2015-06-24,35
2015-06-25,35
2015-06-26,36
2015-06-27,36
2015-06-28,36
2015-06-29,36
2015-06-30,36
2015-07-01,36
2015-07-02,36
2015-07-03,36
2015-07-04,36
2015-07-05,36
2015-07-06,36
2015-07-07,36
2015-07-08,36
2015-07-09,36
2015-07-10,36
2015-07-11,36
2015-07-12,36
2015-07-13,36
2015-07-14,36
2015-07-15,36
2015-07-16,36
2015-07-17,37
2015-07-18,37
2015-07-19,37
2015-07-20,37
2015-07-21,37
2015-07-22,37
2015-07-23,37
2015-07-24,37
2015-07-25,37
2015-07-26,37
2015-07-27,37
2015-07-28,37
2015-07-29,37
2015-07-30,37
2015-07-31,37
2015-08-01,37
2015-08-02,38
2015-08-03,38
2015-08-04,38
2015-08-05,38
2015-08-06,38
2015-08-07,38
2015-08-08,38
2015-08-09,38
2015-08-10,38
2015-08-11,38
2015-08-12,38
2015-08-13,38
2015-08-14,38
2015-08-15,38
2015-08-16,38
2015-08-17,38
2015-08-18,38
2015-08-19,40
2015-08-20,40
2015-08-21,40
2015-08-22,40
2015-08-23,40
2015-08-24,40
2015-08-25,40
