date_obj,Red%20flowers price
2015-03-04,2868
2015-03-05,2868
2015-03-06,2868
2015-03-07,2868
2015-03-08,2730
2015-03-09,2730
2015-03-10,2730
2015-03-11,2730
2015-03-12,2730
2015-03-13,2599
2015-03-14,2599
2015-03-15,2599
2015-03-16,2599
2015-03-17,2481
2015-03-18,2481
2015-03-19,2481
2015-03-20,2481
2015-03-21,2481
2015-03-22,2362
2015-03-23,2362
2015-03-24,2362
2015-03-25,2362
2015-03-26,2362
2015-03-27,2249
2015-03-28,2249
2015-03-29,2249
2015-03-30,2249
2015-03-31,2141
2015-04-01,2141
2015-04-02,2141
2015-04-03,2141
2015-04-04,2037
2015-04-05,2037
2015-04-06,2037
2015-04-07,2037
2015-04-08,2037
2015-04-09,1940
2015-04-10,1940
2015-04-11,1940
2015-04-12,1940
2015-04-13,1847
2015-04-14,1847
2015-04-15,1847
2015-04-16,1847
2015-04-17,1847
2015-04-18,1757
2015-04-19,1757
2015-04-20,1757
2015-04-21,1757
2015-04-22,1757
2015-04-23,1672
2015-04-24,1672
2015-04-25,1672
2015-04-26,1672
2015-04-27,1672
2015-04-28,1590
2015-04-29,1590
2015-04-30,1590
2015-05-01,1590
2015-05-02,1590
2015-05-03,1513
2015-05-04,1513
2015-05-05,1513
2015-05-06,1513
2015-05-07,1513
2015-05-08,1440
2015-05-09,1440
2015-05-10,1440
2015-05-11,1440
2015-05-12,1440
2015-05-13,1440
2015-05-14,1370
2015-05-15,1370
2015-05-16,1370
2015-05-17,1370
2015-05-18,1370
2015-05-19,1370
2015-05-20,1303
2015-05-21,1303
2015-05-22,1303
2015-05-23,1303
2015-05-24,1303
2015-05-25,1240
2015-05-26,1240
2015-05-27,1240
2015-05-28,1240
2015-05-29,1240
2015-05-30,1181
2015-05-31,1181
2015-06-01,1181
2015-06-02,1181
2015-06-03,1181
2015-06-04,1181
2015-06-05,1126
2015-06-06,1126
2015-06-07,1126
2015-06-08,1126
2015-06-09,1126
2015-06-10,1072
2015-06-11,1072
2015-06-12,1072
2015-06-13,1072
2015-06-14,1072
2015-06-15,1072
2015-06-16,1021
2015-06-17,1021
2015-06-18,1021
2015-06-19,1021
2015-06-20,1021
2015-06-21,971
2015-06-22,971
2015-06-23,971
2015-06-24,971
2015-06-25,971
2015-06-26,925
2015-06-27,925
2015-06-28,925
2015-06-29,925
2015-06-30,925
2015-07-01,880
2015-07-02,880
2015-07-03,880
2015-07-04,880
2015-07-05,880
2015-07-06,880
2015-07-07,838
2015-07-08,838
2015-07-09,838
2015-07-10,838
2015-07-11,838
2015-07-12,838
2015-07-13,798
2015-07-14,798
2015-07-15,798
2015-07-16,798
2015-07-17,798
2015-07-18,762
2015-07-19,762
2015-07-20,762
2015-07-21,762
2015-07-22,762
2015-07-23,726
2015-07-24,726
2015-07-25,726
2015-07-26,726
2015-07-27,726
2015-07-28,691
2015-07-29,691
2015-07-30,691
2015-07-31,691
2015-08-01,691
2015-08-02,658
2015-08-03,658
2015-08-04,658
2015-08-05,658
2015-08-06,658
2015-08-07,627
2015-08-08,627
2015-08-09,627
2015-08-10,627
2015-08-11,596
2015-08-12,596
2015-08-13,596
2015-08-14,596
2015-08-15,596
2015-08-16,596
2015-08-17,596
2015-08-18,596
2015-08-19,569
2015-08-20,569
2015-08-21,569
2015-08-22,569
2015-08-23,569
2015-08-24,569
2015-08-25,569
2015-08-26,569
2015-08-27,541
2015-08-28,541
2015-08-29,541
2015-08-30,541
2015-08-31,541
2015-09-02,541
2015-09-07,514
2015-09-08,514
2015-09-10,514
2015-09-14,489
2015-09-16,489
2015-09-22,466
2015-09-23,466
2015-09-24,466
2015-09-25,466
2015-09-27,466
2015-09-28,466
2015-09-29,466
2015-09-30,444
2015-10-05,444
2015-10-06,444
2015-10-07,444
2015-10-08,444
2015-10-09,444
2015-10-10,444
2015-10-11,423
2015-10-12,423
2015-10-13,423
2015-10-14,423
2015-10-15,423
2015-10-16,423
2015-10-17,423
2015-10-18,423
2015-10-19,423
2015-10-20,423
2015-10-22,403
2015-10-23,403
2015-10-24,403
2015-10-25,403
2015-10-26,403
2015-10-27,403
2015-10-29,403
2015-10-30,403
2015-10-31,403
2015-11-01,403
2015-11-02,383
2015-11-03,383
2015-11-04,383
2015-11-05,383
2015-11-06,383
2015-11-07,383
2015-11-08,383
2015-11-09,383
2015-11-10,383
2015-11-11,383
2015-11-12,383
2015-11-13,383
2015-11-14,364
2015-11-15,364
2015-11-16,364
2015-11-17,364
2015-11-18,364
2015-11-19,364
2015-11-20,364
2015-11-21,364
2015-11-22,364
2015-11-23,364
2015-11-24,364
2015-11-25,346
2015-11-26,346
2015-11-27,346
2015-11-28,346
2015-11-29,346
2015-11-30,346
2015-12-01,346
2015-12-02,346
2015-12-03,346
2015-12-04,346
2015-12-05,346
2015-12-06,329
2015-12-07,329
2015-12-08,329
2015-12-09,329
2015-12-10,329
2015-12-11,329
2015-12-12,329
2015-12-13,329
2015-12-14,329
2015-12-15,329
2015-12-16,313
2015-12-17,313
2015-12-18,313
2015-12-19,313
2015-12-20,313
2015-12-21,313
2015-12-22,313
2015-12-23,313
2015-12-24,313
2015-12-25,313
2015-12-26,298
2015-12-27,298
2015-12-28,298
2015-12-29,298
2015-12-30,298
2015-12-31,298
2016-01-01,298
2016-01-02,298
2016-01-03,298
2016-01-04,284
2016-01-05,284
2016-01-06,284
2016-01-07,284
2016-01-08,284
2016-01-09,284
2016-01-10,284
2016-01-11,284
2016-01-12,284
2016-01-13,284
2016-01-14,270
2016-01-15,270
2016-01-16,270
2016-01-17,270
2016-01-18,270
2016-01-19,270
2016-01-20,270
2016-01-21,270
2016-01-22,270
2016-01-23,270
2016-01-24,270
2016-01-25,257
2016-01-26,257
2016-01-27,257
2016-01-28,257
2016-01-29,257
2016-01-30,257
2016-01-31,257
2016-02-01,257
2016-02-02,257
2016-02-03,257
2016-02-04,245
2016-02-05,245
2016-02-06,245
2016-02-07,245
2016-02-08,245
2016-02-09,245
2016-02-10,245
2016-02-11,245
2016-02-12,245
2016-02-13,245
2016-02-14,234
2016-02-15,234
2016-02-16,234
2016-02-17,234
2016-02-18,234
2016-02-19,234
2016-02-20,234
2016-02-21,234
2016-02-22,234
2016-02-23,234
2016-02-24,234
2016-02-25,223
2016-02-26,223
2016-02-27,223
2016-02-28,223
2016-02-29,223
2016-03-01,223
2016-03-02,223
2016-03-03,223
2016-03-04,223
2016-03-05,223
2016-03-06,212
2016-03-07,212
2016-03-08,212
2016-03-09,212
2016-03-10,212
2016-03-11,212
2016-03-12,212
2016-03-13,212
2016-03-14,212
2016-03-15,212
2016-03-16,202
2016-03-17,202
2016-03-18,202
2016-03-19,202
2016-03-20,202
2016-03-21,202
2016-03-22,202
2016-03-23,202
2016-03-24,202
2016-03-25,202
2016-03-26,202
2016-03-27,192
2016-03-28,192
2016-03-29,192
2016-03-30,192
2016-03-31,192
2016-04-01,192
2016-04-02,192
2016-04-03,192
2016-04-04,192
2016-04-05,192
2016-04-06,192
2016-04-07,184
2016-04-08,184
2016-04-09,184
2016-04-10,184
2016-04-11,184
2016-04-12,184
2016-04-13,184
2016-04-14,184
2016-04-15,184
2016-04-16,175
2016-04-17,175
2016-04-18,175
2016-04-19,175
2016-04-20,175
2016-04-21,175
2016-04-22,175
2016-04-23,175
2016-04-24,175
2016-04-25,175
2016-04-26,167
2016-04-27,167
2016-04-28,167
2016-04-29,167
2016-04-30,167
2016-05-01,167
2016-05-02,167
2016-05-03,167
2016-05-04,167
2016-05-05,167
2016-05-06,167
2016-05-07,158
2016-05-08,158
2016-05-09,158
2016-05-10,158
2016-05-11,158
2016-05-12,158
2016-05-13,158
2016-05-14,158
2016-05-15,158
2016-05-16,158
2016-05-17,151
2016-05-18,151
2016-05-19,151
2016-05-22,151
2016-05-23,151
2016-05-24,151
2016-05-25,151
2016-05-26,151
2016-05-27,143
2016-05-28,143
2016-05-29,143
2016-05-30,143
2016-05-31,143
2016-06-01,143
2016-06-02,143
2016-06-03,143
2016-06-04,143
2016-06-05,136
2016-06-06,136
2016-06-07,136
2016-06-08,136
2016-06-09,136
2016-06-10,136
2016-06-11,136
2016-06-12,136
2016-06-13,130
2016-06-14,130
2016-06-15,130
2016-06-16,130
2016-06-17,130
2016-06-18,123
2016-06-19,123
2016-06-20,123
