date_obj,Fly%20fishing%20rod price
2015-03-26,228
2015-03-27,228
2015-03-28,240
2015-03-29,249
2015-03-30,256
2015-03-31,269
2015-04-01,269
2015-04-02,275
2015-04-03,280
2015-04-04,266
2015-04-05,266
2015-04-06,252
2015-04-07,260
2015-04-08,260
2015-04-09,249
2015-04-10,236
2015-04-11,230
2015-04-12,241
2015-04-13,246
2015-04-14,246
2015-04-15,242
2015-04-16,242
2015-04-17,229
2015-04-18,217
2015-04-19,210
2015-04-20,210
2015-04-21,199
2015-04-22,199
2015-04-23,197
2015-04-24,205
2015-04-25,200
2015-04-26,193
2015-04-27,201
2015-04-28,209
2015-04-29,209
2015-04-30,217
2015-05-01,227
2015-05-02,237
2015-05-03,237
2015-05-04,241
2015-05-05,244
2015-05-06,247
2015-05-07,257
2015-05-08,267
2015-05-09,279
2015-05-10,278
2015-05-11,278
2015-05-12,273
2015-05-13,273
2015-05-14,276
2015-05-15,276
2015-05-16,282
2015-05-17,291
2015-05-18,302
2015-05-19,302
2015-05-20,292
2015-05-21,292
2015-05-22,277
2015-05-23,277
2015-05-24,263
2015-05-25,250
2015-05-26,251
2015-05-27,251
2015-05-28,249
2015-05-29,250
2015-05-30,250
2015-05-31,237
2015-06-01,232
2015-06-02,232
2015-06-03,236
2015-06-04,243
2015-06-05,246
2015-06-06,243
2015-06-07,250
2015-06-08,256
2015-06-09,266
2015-06-10,263
2015-06-11,267
2015-06-12,274
2015-06-13,283
2015-06-14,291
2015-06-15,292
2015-06-16,290
2015-06-17,295
2015-06-18,286
2015-06-19,277
2015-06-20,273
2015-06-21,271
2015-06-22,270
2015-06-23,256
2015-06-24,245
2015-06-25,245
2015-06-26,243
2015-06-27,243
2015-06-28,235
2015-06-29,234
2015-06-30,234
2015-07-01,238
2015-07-02,238
2015-07-03,240
2015-07-04,243
2015-07-05,242
2015-07-06,242
2015-07-07,243
2015-07-08,240
2015-07-09,240
2015-07-10,239
2015-07-11,239
2015-07-12,231
2015-07-13,237
2015-07-14,237
2015-07-15,233
2015-07-16,232
2015-07-17,230
2015-07-18,227
2015-07-19,227
2015-07-20,226
2015-07-21,220
2015-07-22,214
2015-07-23,214
2015-07-24,209
2015-07-25,207
2015-07-26,208
2015-07-27,201
2015-07-28,207
2015-07-29,201
2015-07-30,191
2015-07-31,196
2015-08-01,189
2015-08-02,189
2015-08-03,187
2015-08-04,188
2015-08-05,186
2015-08-06,188
2015-08-07,186
2015-08-08,187
2015-08-09,187
2015-08-10,188
2015-08-11,187
2015-08-12,187
2015-08-13,185
2015-08-14,187
2015-08-15,187
2015-08-16,188
2015-08-17,180
2015-08-18,185
2015-08-19,182
2015-08-20,186
2015-08-21,187
2015-08-22,188
2015-08-23,188
2015-08-24,188
2015-08-25,188
2015-08-26,188
2015-08-27,188
2015-08-28,186
2015-08-29,188
2015-08-30,188
2015-08-31,188
2015-09-01,185
2015-09-02,185
2015-09-03,189
2015-09-04,185
2015-09-05,185
2015-09-06,188
2015-09-07,187
2015-09-08,183
2015-09-09,187
2015-09-10,188
2015-09-11,183
2015-09-12,188
2015-09-13,189
2015-09-14,188
2015-09-15,189
2015-09-16,189
2015-09-17,188
2015-09-18,188
2015-09-19,187
2015-09-20,188
2015-09-21,188
2015-09-22,184
2015-09-23,183
2015-09-24,183
2015-09-25,178
2015-09-27,173
2015-09-28,177
2015-09-29,177
2015-09-30,173
2015-10-05,168
2015-10-06,167
2015-10-07,167
2015-10-08,166
2015-10-09,162
2015-10-10,162
2015-10-11,164
2015-10-12,162
2015-10-13,162
2015-10-14,158
2015-10-15,158
2015-10-16,154
2015-10-17,154
2015-10-18,154
2015-10-19,154
2015-10-20,154
2015-10-22,147
2015-10-23,145
2015-10-24,143
2015-10-25,141
2015-10-26,136
2015-10-27,136
2015-10-29,135
2015-10-30,135
2015-10-31,135
2015-11-01,135
2015-11-02,135
2015-11-03,135
2015-11-04,135
2015-11-05,135
2015-11-06,135
2015-11-07,135
2015-11-08,135
2015-11-09,135
2015-11-10,135
2015-11-11,134
2015-11-12,134
2015-11-13,134
2015-11-14,131
2015-11-15,128
2015-11-16,126
2015-11-17,126
2015-11-18,125
2015-11-19,124
2015-11-20,120
2015-11-21,120
2015-11-22,119
2015-11-23,119
2015-11-24,124
2015-11-25,124
2015-11-26,124
2015-11-27,124
2015-11-28,120
2015-11-29,123
2015-11-30,124
2015-12-01,124
2015-12-02,124
2015-12-03,123
2015-12-04,123
