date_obj,Oak%20logs price
2015-03-26,26
2015-03-27,25
2015-03-28,26
2015-03-29,27
2015-03-30,28
2015-03-31,30
2015-04-01,32
2015-04-02,34
2015-04-03,36
2015-04-04,38
2015-04-05,40
2015-04-06,41
2015-04-07,44
2015-04-08,45
2015-04-09,45
2015-04-10,45
2015-04-11,46
2015-04-12,45
2015-04-13,45
2015-04-14,45
2015-04-15,45
2015-04-16,45
2015-04-17,43
2015-04-18,41
2015-04-19,39
2015-04-20,38
2015-04-21,40
2015-04-22,42
2015-04-23,45
2015-04-24,46
2015-04-25,47
2015-04-26,49
2015-04-27,51
2015-04-28,51
2015-04-29,49
2015-04-30,48
2015-05-01,47
2015-05-02,47
2015-05-03,48
2015-05-04,48
2015-05-05,48
2015-05-06,48
2015-05-07,49
2015-05-08,50
2015-05-09,49
2015-05-10,46
2015-05-11,44
2015-05-12,42
2015-05-13,39
2015-05-14,37
2015-05-15,35
2015-05-16,33
2015-05-17,32
2015-05-18,32
2015-05-19,31
2015-05-20,31
2015-05-21,32
2015-05-22,34
2015-05-23,36
2015-05-24,38
2015-05-25,39
2015-05-26,37
2015-05-27,36
2015-05-28,36
2015-05-29,35
2015-05-30,34
2015-05-31,33
2015-06-01,33
2015-06-02,33
2015-06-03,34
2015-06-04,35
2015-06-05,37
2015-06-06,39
2015-06-07,41
2015-06-08,43
2015-06-09,46
2015-06-10,49
2015-06-11,52
2015-06-12,51
2015-06-13,51
2015-06-14,50
2015-06-15,50
2015-06-16,48
2015-06-17,48
2015-06-18,46
2015-06-19,44
2015-06-20,44
2015-06-21,44
2015-06-22,44
2015-06-23,44
2015-06-24,45
2015-06-25,46
2015-06-26,46
2015-06-27,44
2015-06-28,42
2015-06-29,41
2015-06-30,39
2015-07-01,38
2015-07-02,38
2015-07-03,39
2015-07-04,40
2015-07-05,42
2015-07-06,41
2015-07-07,40
2015-07-08,38
2015-07-09,36
2015-07-10,35
2015-07-11,33
2015-07-12,32
2015-07-13,31
2015-07-14,30
2015-07-15,28
2015-07-16,26
2015-07-17,25
2015-07-18,25
2015-07-19,24
