date_obj,Mahogany%20bookcase%20(flatpack) price
2015-03-05,725
2015-03-06,725
2015-03-07,725
2015-03-08,725
2015-03-09,725
2015-03-10,725
2015-03-11,725
2015-03-12,725
2015-03-13,725
2015-03-14,725
2015-03-15,725
2015-03-16,725
2015-03-17,725
2015-03-18,725
2015-03-19,725
2015-03-20,725
2015-03-21,725
2015-03-22,725
2015-03-23,725
2015-03-24,725
2015-03-25,725
2015-03-26,725
2015-03-27,725
2015-03-28,725
2015-03-29,725
2015-03-30,725
2015-03-31,725
2015-04-01,725
2015-04-02,725
2015-04-03,725
2015-04-04,725
2015-04-05,725
2015-04-06,725
2015-04-07,725
2015-04-08,725
2015-04-09,725
2015-04-10,725
2015-04-11,725
2015-04-12,725
2015-04-13,725
2015-04-14,725
2015-04-15,725
2015-04-16,725
2015-04-17,725
2015-04-18,725
2015-04-19,725
2015-04-20,725
2015-04-21,725
2015-04-22,725
2015-04-23,725
2015-04-24,725
2015-04-25,725
2015-04-26,725
2015-04-27,725
2015-04-28,725
2015-04-29,725
2015-04-30,725
2015-05-01,725
2015-05-02,725
2015-05-03,725
2015-05-04,725
2015-05-05,725
2015-05-06,725
2015-05-07,725
2015-05-08,725
2015-05-09,725
2015-05-10,725
2015-05-11,725
2015-05-12,725
2015-05-13,725
2015-05-14,725
2015-05-15,725
2015-05-16,725
2015-05-17,725
2015-05-18,725
2015-05-19,725
2015-05-20,725
2015-05-21,725
2015-05-22,725
2015-05-23,725
2015-05-24,725
2015-05-25,725
2015-05-26,725
2015-05-27,725
2015-05-28,689
2015-05-29,689
2015-05-30,689
2015-05-31,689
2015-06-01,689
2015-06-02,689
2015-06-03,689
2015-06-04,689
2015-06-05,689
2015-06-06,689
2015-06-07,689
2015-06-08,689
2015-06-09,689
2015-06-10,689
2015-06-11,689
2015-06-12,689
2015-06-13,689
2015-06-14,689
2015-06-15,689
2015-06-16,689
2015-06-17,689
2015-06-18,689
2015-06-19,689
2015-06-20,689
2015-06-21,689
2015-06-22,689
2015-06-23,689
2015-06-24,689
2015-06-25,689
2015-06-26,689
2015-06-27,689
2015-06-28,689
2015-06-29,689
2015-06-30,689
2015-07-01,689
2015-07-02,689
2015-07-03,689
2015-07-04,689
2015-07-05,689
2015-07-06,689
2015-07-07,689
2015-07-08,689
2015-07-09,689
2015-07-10,689
2015-07-11,689
2015-07-12,689
2015-07-13,689
2015-07-14,689
2015-07-15,689
2015-07-16,689
2015-07-17,689
2015-07-18,689
2015-07-19,689
2015-07-20,689
2015-07-21,689
2015-07-22,689
2015-07-23,689
2015-07-24,689
2015-07-25,689
2015-07-26,689
2015-07-27,689
2015-07-28,689
2015-07-29,689
2015-07-30,689
2015-07-31,689
2015-08-01,689
2015-08-02,689
2015-08-03,689
2015-08-04,656
2015-08-05,656
2015-08-06,656
2015-08-07,656
2015-08-08,656
2015-08-09,656
2015-08-10,656
2015-08-11,656
2015-08-12,656
2015-08-13,656
2015-08-14,656
2015-08-15,656
2015-08-16,656
2015-08-17,656
2015-08-18,656
2015-08-19,656
2015-08-20,656
2015-08-21,656
2015-08-22,656
2015-08-23,656
2015-08-24,656
2015-08-25,656
2015-08-26,656
2015-08-27,656
2015-08-28,656
2015-08-29,656
2015-08-30,656
2015-08-31,656
2015-09-02,656
2015-09-07,656
2015-09-08,656
2015-09-10,656
2015-09-14,656
2015-09-16,656
2015-09-22,656
2015-09-23,656
2015-09-24,656
