date_obj,Poison%20ivy%20berries price
2015-03-26,2446
2015-03-27,2446
2015-03-28,2446
2015-03-29,2446
2015-03-30,2446
2015-03-31,2446
2015-04-01,2446
2015-04-02,2358
2015-04-03,2358
2015-04-04,2358
2015-04-05,2358
2015-04-06,2358
2015-04-07,2358
2015-04-08,2358
2015-04-09,2358
2015-04-10,2316
2015-04-11,2316
2015-04-12,2316
2015-04-13,2316
2015-04-14,2316
2015-04-15,2316
2015-04-16,2316
2015-04-17,2223
2015-04-18,2223
2015-04-19,2223
2015-04-20,2223
2015-04-21,2223
2015-04-22,2223
2015-04-23,2223
2015-04-24,2117
2015-04-25,2117
2015-04-26,2117
2015-04-27,2117
2015-04-28,2117
2015-04-29,2117
2015-04-30,2117
2015-05-01,2017
2015-05-02,2017
2015-05-03,2017
2015-05-04,2017
2015-05-05,2017
2015-05-06,2017
2015-05-07,2017
2015-05-08,1929
2015-05-09,1929
2015-05-10,1929
2015-05-11,1929
2015-05-12,1929
2015-05-13,1929
2015-05-14,1929
2015-05-15,1834
2015-05-16,1834
2015-05-17,1834
2015-05-18,1834
2015-05-19,1834
2015-05-20,1834
2015-05-21,1834
2015-05-22,1750
2015-05-23,1750
2015-05-24,1750
2015-05-25,1750
2015-05-26,1750
2015-05-27,1750
2015-05-28,1664
2015-05-29,1664
2015-05-30,1664
2015-05-31,1664
2015-06-01,1580
2015-06-02,1580
2015-06-03,1580
2015-06-04,1580
2015-06-05,1580
2015-06-06,1567
2015-06-07,1567
2015-06-08,1567
2015-06-09,1567
2015-06-10,1567
2015-06-11,1512
2015-06-12,1512
2015-06-13,1512
2015-06-14,1512
2015-06-15,1512
2015-06-16,1505
2015-06-17,1505
2015-06-18,1505
2015-06-19,1505
2015-06-20,1569
2015-06-21,1569
2015-06-22,1569
2015-06-23,1569
2015-06-24,1606
2015-06-25,1606
2015-06-26,1606
2015-06-27,1606
2015-06-28,1606
2015-06-29,1666
2015-06-30,1666
2015-07-01,1666
2015-07-02,1666
2015-07-03,1666
2015-07-04,1676
2015-07-05,1676
2015-07-06,1676
2015-07-07,1676
2015-07-08,1676
2015-07-09,1676
2015-07-10,1626
2015-07-11,1626
2015-07-12,1626
2015-07-13,1626
2015-07-14,1626
2015-07-15,1556
2015-07-16,1556
2015-07-17,1556
2015-07-18,1556
2015-07-19,1556
2015-07-20,1485
2015-07-21,1485
2015-07-22,1485
2015-07-23,1485
2015-07-24,1457
2015-07-25,1457
2015-07-26,1457
2015-07-27,1457
2015-07-28,1457
2015-07-29,1499
2015-07-30,1499
2015-07-31,1499
2015-08-01,1499
2015-08-02,1554
2015-08-03,1554
2015-08-04,1554
2015-08-05,1554
2015-08-06,1622
2015-08-07,1622
2015-08-08,1622
2015-08-09,1622
2015-08-10,1596
2015-08-11,1596
2015-08-12,1596
2015-08-13,1596
2015-08-14,1557
2015-08-15,1557
2015-08-16,1557
2015-08-17,1557
2015-08-18,1528
2015-08-19,1528
2015-08-20,1528
2015-08-21,1528
2015-08-22,1485
2015-08-23,1485
2015-08-24,1485
2015-08-25,1485
2015-08-26,1485
2015-08-27,1471
2015-08-28,1471
2015-08-29,1471
2015-08-30,1471
2015-08-31,1424
2015-09-01,1424
2015-09-02,1424
2015-09-03,1424
2015-09-04,1438
2015-09-05,1438
2015-09-06,1438
2015-09-07,1438
2015-09-08,1453
2015-09-09,1453
2015-09-10,1453
2015-09-11,1453
2015-09-12,1506
2015-09-13,1506
2015-09-14,1506
2015-09-15,1506
2015-09-16,1569
2015-09-17,1569
2015-09-18,1569
2015-09-19,1569
2015-09-20,1624
2015-09-21,1624
2015-09-22,1624
2015-09-23,1624
2015-09-24,1699
2015-09-25,1699
2015-09-27,1699
2015-09-28,1778
2015-09-29,1778
2015-09-30,1778
2015-10-05,1867
2015-10-06,1945
2015-10-07,1945
2015-10-08,1945
2015-10-09,1945
2015-10-10,1914
2015-10-11,1914
2015-10-12,1914
2015-10-13,1914
2015-10-14,1852
2015-10-15,1852
2015-10-16,1852
2015-10-17,1852
2015-10-18,1787
2015-10-19,1787
2015-10-20,1787
2015-10-22,1790
2015-10-23,1790
2015-10-24,1790
2015-10-25,1719
2015-10-26,1719
2015-10-27,1719
2015-10-29,1719
2015-10-30,1652
2015-10-31,1652
2015-11-01,1652
2015-11-02,1652
2015-11-03,1589
2015-11-04,1589
2015-11-05,1589
2015-11-06,1589
2015-11-07,1554
2015-11-08,1554
2015-11-09,1554
2015-11-10,1554
2015-11-11,1554
2015-11-12,1554
2015-11-13,1524
2015-11-14,1524
2015-11-15,1524
2015-11-16,1524
2015-11-17,1524
2015-11-18,1524
2015-11-19,1500
2015-11-20,1500
2015-11-21,1500
2015-11-22,1500
2015-11-23,1500
2015-11-24,1456
2015-11-25,1456
2015-11-26,1456
2015-11-27,1456
2015-11-28,1460
2015-11-29,1460
2015-11-30,1460
2015-12-01,1460
2015-12-02,1460
2015-12-03,1469
2015-12-04,1469
2015-12-05,1469
2015-12-06,1469
2015-12-07,1469
2015-12-08,1439
2015-12-09,1439
2015-12-10,1439
2015-12-11,1439
2015-12-12,1396
2015-12-13,1396
2015-12-14,1396
2015-12-15,1396
2015-12-16,1345
2015-12-17,1345
2015-12-18,1345
2015-12-19,1345
2015-12-20,1286
2015-12-21,1286
2015-12-22,1286
2015-12-23,1286
2015-12-24,1286
2015-12-25,1225
2015-12-26,1225
2015-12-27,1225
2015-12-28,1225
2015-12-29,1201
2015-12-30,1201
2015-12-31,1201
2016-01-01,1201
2016-01-02,1233
2016-01-03,1233
2016-01-04,1233
2016-01-05,1288
2016-01-06,1288
2016-01-07,1288
2016-01-08,1313
2016-01-09,1313
2016-01-10,1313
2016-01-11,1313
2016-01-12,1316
2016-01-13,1316
2016-01-14,1316
2016-01-15,1356
2016-01-16,1356
2016-01-17,1356
2016-01-18,1384
2016-01-19,1384
2016-01-20,1384
2016-01-21,1384
2016-01-22,1369
2016-01-23,1369
2016-01-24,1369
2016-01-25,1339
2016-01-26,1339
2016-01-27,1339
2016-01-28,1339
2016-01-29,1339
2016-01-30,1339
2016-01-31,1339
2016-02-01,1355
2016-02-02,1355
2016-02-03,1355
2016-02-04,1413
2016-02-05,1413
2016-02-06,1413
2016-02-07,1482
2016-02-08,1482
2016-02-09,1482
2016-02-10,1503
2016-02-11,1503
2016-02-12,1503
2016-02-13,1548
2016-02-14,1548
2016-02-15,1548
2016-02-16,1570
2016-02-17,1570
2016-02-18,1570
2016-02-19,1570
2016-02-20,1591
2016-02-21,1591
2016-02-22,1591
2016-02-23,1522
2016-02-24,1522
2016-02-25,1522
2016-02-26,1466
2016-02-27,1466
2016-02-28,1466
2016-02-29,1415
2016-03-01,1415
2016-03-02,1415
2016-03-03,1401
2016-03-04,1401
2016-03-05,1401
2016-03-06,1374
2016-03-07,1374
2016-03-08,1374
2016-03-09,1374
2016-03-10,1372
2016-03-11,1372
2016-03-12,1372
2016-03-13,1372
2016-03-14,1368
2016-03-15,1368
2016-03-16,1368
2016-03-17,1406
2016-03-18,1406
2016-03-19,1406
2016-03-20,1364
2016-03-21,1364
2016-03-22,1364
2016-03-23,1364
2016-03-24,1338
2016-03-25,1338
2016-03-26,1338
2016-03-27,1317
2016-03-28,1317
2016-03-29,1317
2016-03-30,1306
2016-03-31,1306
2016-04-01,1306
2016-04-02,1306
2016-04-03,1317
2016-04-04,1317
2016-04-05,1317
2016-04-06,1304
2016-04-07,1304
2016-04-08,1304
2016-04-09,1302
2016-04-10,1302
2016-04-11,1302
2016-04-12,1305
2016-04-14,1305
2016-04-15,1331
2016-04-16,1331
2016-04-17,1331
2016-04-18,1318
2016-04-19,1318
2016-04-20,1318
2016-04-21,1268
2016-04-22,1268
2016-04-23,1268
2016-04-24,1268
2016-04-25,1216
2016-04-26,1216
2016-04-27,1216
2016-04-28,1179
2016-04-29,1179
2016-04-30,1179
2016-05-01,1179
2016-05-02,1130
2016-05-03,1130
2016-05-04,1130
2016-05-05,1131
2016-05-06,1131
2016-05-07,1131
2016-05-08,1131
2016-05-09,1094
2016-05-10,1094
2016-05-11,1094
2016-05-12,1067
2016-05-13,1067
2016-05-14,1067
2016-05-15,1059
2016-05-16,1059
2016-05-17,1059
2016-05-18,1088
2016-05-19,1088
2016-05-22,1122
2016-05-23,1116
2016-05-24,1116
2016-05-25,1116
2016-05-26,1153
2016-05-27,1153
2016-05-28,1153
2016-05-29,1206
2016-05-30,1206
2016-05-31,1206
2016-06-01,1267
2016-06-02,1267
2016-06-03,1267
2016-06-04,1331
2016-06-05,1331
2016-06-06,1398
2016-06-07,1398
2016-06-08,1398
2016-06-09,1468
2016-06-10,1468
2016-06-11,1541
2016-06-12,1541
2016-06-13,1617
2016-06-14,1617
2016-06-15,1684
2016-06-16,1684
2016-06-17,1768
2016-06-18,1768
2016-06-19,1771
2016-06-20,1771
2016-06-21,1752
2016-06-22,1752
2016-06-23,1715
2016-06-24,1715
2016-06-25,1673
2016-06-26,1673
2016-06-27,1673
2016-06-28,1592
2016-06-29,1592
2016-06-30,1516
2016-07-01,1516
2016-07-02,1449
2016-07-03,1449
2016-07-04,1407
2016-07-05,1407
2016-07-06,1407
2016-07-07,1338
2016-07-08,1338
2016-07-09,1333
2016-07-10,1333
2016-07-11,1300
2016-07-12,1300
2016-07-13,1342
2016-07-14,1342
2016-07-15,1342
2016-07-16,1373
2016-07-17,1373
