date_obj,Necklace%20mould price
2015-03-26,763
2015-03-27,763
2015-03-28,763
2015-03-29,764
2015-03-30,764
2015-03-31,758
2015-04-01,758
2015-04-02,758
2015-04-03,721
2015-04-04,721
2015-04-05,717
2015-04-06,717
2015-04-07,697
2015-04-08,697
2015-04-09,697
2015-04-10,665
2015-04-11,665
2015-04-12,633
2015-04-13,633
2015-04-14,633
2015-04-15,601
2015-04-16,601
2015-04-17,570
2015-04-18,570
2015-04-19,541
2015-04-20,541
2015-04-21,541
2015-04-22,513
2015-04-23,513
2015-04-24,487
2015-04-25,487
2015-04-26,487
2015-04-27,483
2015-04-28,483
2015-04-29,483
2015-04-30,494
2015-05-01,494
2015-05-02,494
2015-05-03,494
2015-05-04,494
2015-05-05,490
2015-05-06,490
2015-05-07,481
2015-05-08,481
2015-05-09,477
2015-05-10,477
2015-05-11,477
2015-05-12,475
2015-05-13,475
2015-05-14,457
2015-05-15,457
2015-05-16,457
2015-05-17,461
2015-05-18,461
2015-05-19,461
2015-05-20,457
2015-05-21,457
2015-05-22,457
2015-05-23,457
2015-05-24,457
2015-05-25,463
2015-05-26,463
2015-05-27,463
2015-05-28,465
2015-05-29,465
2015-05-30,460
2015-05-31,460
2015-06-01,437
2015-06-02,437
2015-06-03,415
2015-06-04,415
2015-06-05,421
2015-06-06,421
2015-06-07,429
2015-06-08,429
2015-06-09,438
2015-06-10,438
2015-06-11,432
2015-06-12,432
2015-06-13,435
2015-06-14,435
2015-06-15,439
2015-06-16,439
2015-06-17,444
2015-06-18,444
2015-06-19,456
2015-06-20,456
2015-06-21,462
2015-06-22,462
2015-06-23,472
2015-06-24,472
2015-06-25,479
2015-06-26,479
2015-06-27,471
2015-06-28,471
2015-06-29,474
2015-06-30,474
2015-07-01,477
2015-07-02,477
2015-07-03,489
2015-07-04,489
2015-07-05,504
2015-07-06,504
2015-07-07,525
2015-07-08,525
2015-07-09,518
2015-07-10,518
2015-07-11,519
2015-07-12,519
2015-07-13,523
2015-07-14,523
2015-07-15,507
2015-07-16,507
2015-07-17,484
2015-07-18,484
2015-07-19,459
2015-07-20,459
2015-07-21,449
2015-07-22,447
2015-07-23,447
2015-07-24,425
2015-07-25,425
2015-07-26,403
2015-07-27,403
2015-07-28,382
2015-07-29,363
2015-07-30,363
2015-07-31,345
2015-08-01,345
2015-08-02,328
2015-08-03,328
2015-08-04,325
2015-08-05,325
2015-08-06,323
2015-08-07,323
2015-08-08,334
2015-08-09,334
2015-08-10,345
2015-08-11,345
2015-08-12,344
2015-08-13,344
2015-08-14,340
2015-08-15,340
2015-08-16,340
2015-08-17,344
2015-08-18,344
2015-08-19,343
2015-08-20,343
2015-08-21,343
2015-08-22,343
2015-08-23,346
2015-08-24,346
2015-08-25,346
2015-08-26,339
2015-08-27,339
2015-08-28,338
2015-08-29,338
2015-08-30,342
2015-08-31,342
2015-09-01,347
2015-09-02,347
2015-09-03,347
2015-09-04,344
2015-09-05,344
2015-09-06,344
2015-09-07,348
2015-09-08,348
2015-09-09,347
2015-09-10,347
2015-09-11,354
2015-09-12,354
2015-09-13,361
2015-09-14,361
2015-09-15,372
2015-09-16,372
2015-09-17,378
2015-09-18,378
2015-09-19,383
2015-09-20,383
2015-09-21,383
2015-09-22,386
2015-09-23,386
2015-09-24,386
2015-09-25,391
2015-09-27,384
2015-09-28,384
2015-09-29,385
2015-09-30,385
2015-10-05,392
2015-10-06,385
2015-10-07,385
2015-10-08,387
2015-10-09,387
2015-10-10,387
2015-10-11,394
2015-10-12,394
2015-10-13,394
2015-10-14,374
2015-10-15,374
2015-10-16,355
2015-10-17,355
2015-10-18,355
2015-10-19,337
2015-10-20,337
2015-10-22,320
2015-10-23,317
2015-10-24,317
2015-10-25,312
2015-10-26,312
2015-10-27,312
2015-10-29,313
2015-10-30,313
2015-10-31,311
2015-11-01,311
2015-11-02,311
2015-11-03,309
2015-11-04,309
2015-11-05,308
2015-11-06,308
2015-11-07,316
2015-11-08,316
2015-11-09,316
2015-11-10,325
2015-11-11,325
2015-11-12,340
2015-11-13,340
2015-11-14,340
2015-11-15,354
2015-11-16,354
2015-11-17,354
2015-11-18,360
2015-11-19,360
2015-11-20,353
2015-11-21,353
2015-11-22,355
2015-11-23,355
2015-11-24,355
2015-11-25,373
2015-11-26,373
2015-11-27,373
2015-11-28,392
2015-11-29,392
2015-11-30,402
2015-12-01,402
2015-12-02,402
2015-12-03,408
2015-12-04,408
2015-12-05,408
2015-12-06,420
2015-12-07,420
2015-12-08,415
2015-12-09,415
2015-12-10,400
