date_obj,Willow%20longbow%20(u) price
2015-03-26,13
2015-03-27,13
2015-03-28,13
2015-03-29,13
2015-03-30,13
2015-03-31,13
2015-04-01,13
2015-04-02,13
2015-04-03,13
2015-04-04,13
2015-04-05,13
2015-04-06,13
2015-04-07,13
2015-04-08,13
2015-04-09,13
2015-04-10,13
2015-04-11,13
2015-04-12,13
2015-04-13,13
2015-04-14,13
2015-04-15,13
2015-04-16,13
2015-04-17,13
2015-04-18,13
2015-04-19,13
2015-04-20,13
2015-04-21,13
2015-04-22,13
2015-04-23,13
2015-04-24,13
2015-04-25,13
2015-04-26,13
2015-04-27,13
2015-04-28,13
2015-04-29,13
2015-04-30,13
2015-05-01,13
2015-05-02,13
2015-05-03,13
2015-05-04,13
2015-05-05,13
2015-05-06,13
2015-05-07,13
2015-05-08,13
2015-05-09,13
2015-05-10,14
2015-05-11,14
2015-05-12,14
2015-05-13,14
2015-05-14,14
2015-05-15,14
2015-05-16,14
2015-05-17,14
2015-05-18,14
2015-05-19,14
2015-05-20,14
2015-05-21,14
2015-05-22,14
2015-05-23,14
2015-05-24,14
2015-05-25,14
2015-05-26,14
2015-05-27,14
2015-05-28,14
2015-05-29,14
2015-05-30,14
2015-05-31,14
2015-06-01,14
2015-06-02,14
2015-06-03,14
2015-06-04,14
2015-06-05,14
2015-06-06,14
2015-06-07,14
2015-06-08,14
2015-06-09,14
2015-06-10,15
2015-06-11,15
2015-06-12,15
2015-06-13,15
2015-06-14,15
2015-06-15,15
2015-06-16,14
2015-06-17,14
2015-06-18,14
2015-06-19,14
2015-06-20,14
2015-06-21,14
2015-06-22,14
2015-06-23,14
2015-06-24,14
2015-06-25,14
2015-06-26,14
2015-06-27,14
2015-06-28,14
2015-06-29,14
2015-06-30,14
2015-07-01,14
2015-07-02,14
2015-07-03,14
2015-07-04,14
2015-07-05,14
2015-07-06,14
2015-07-07,14
2015-07-08,14
2015-07-09,14
2015-07-10,14
2015-07-11,14
2015-07-12,14
2015-07-13,14
2015-07-14,14
2015-07-15,14
2015-07-16,14
2015-07-17,14
2015-07-18,14
2015-07-19,14
2015-07-20,14
2015-07-21,14
2015-07-22,14
2015-07-23,14
2015-07-24,14
2015-07-25,14
2015-07-26,14
2015-07-27,14
2015-07-28,14
2015-07-29,14
2015-07-30,14
2015-07-31,14
2015-08-01,14
2015-08-02,14
2015-08-03,14
2015-08-04,14
2015-08-05,14
2015-08-06,14
2015-08-07,14
2015-08-08,14
2015-08-09,14
2015-08-10,14
2015-08-11,14
2015-08-12,14
2015-08-13,14
2015-08-14,14
2015-08-15,14
2015-08-16,14
2015-08-17,13
2015-08-18,13
2015-08-19,13
2015-08-20,13
2015-08-21,13
2015-08-22,13
2015-08-23,13
