date_obj,Dragonstone%20bolts%20(e) price
2015-03-26,1766
2015-03-27,1778
2015-03-28,1838
2015-03-29,1878
2015-03-30,1922
2015-03-31,1940
2015-04-01,1902
2015-04-02,1827
2015-04-03,1811
2015-04-04,1855
2015-04-05,1828
2015-04-06,1842
2015-04-07,1853
2015-04-08,1847
2015-04-09,1814
2015-04-10,1781
2015-04-11,1767
2015-04-12,1798
2015-04-13,1782
2015-04-14,1742
2015-04-15,1727
2015-04-16,1670
2015-04-17,1624
2015-04-18,1554
2015-04-19,1489
2015-04-20,1423
2015-04-21,1431
2015-04-22,1432
2015-04-23,1457
2015-04-24,1464
2015-04-25,1454
2015-04-26,1504
2015-04-27,1559
2015-04-28,1632
2015-04-29,1714
2015-04-30,1800
2015-05-01,1890
2015-05-02,1969
2015-05-03,1951
2015-05-04,1940
2015-05-05,1896
2015-05-06,1831
2015-05-07,1807
2015-05-08,1795
2015-05-09,1809
2015-05-10,1815
2015-05-11,1841
2015-05-12,1813
2015-05-13,1803
2015-05-14,1802
2015-05-15,1869
2015-05-16,1856
2015-05-17,1861
2015-05-18,1823
2015-05-19,1814
2015-05-20,1797
2015-05-21,1787
2015-05-22,1851
2015-05-23,1917
2015-05-24,1913
2015-05-25,1892
2015-05-26,1907
2015-05-27,1967
2015-05-28,2013
2015-05-29,2061
2015-05-30,2043
2015-05-31,2028
2015-06-01,2017
2015-06-02,2046
2015-06-03,2034
2015-06-04,2005
2015-06-05,2043
2015-06-06,2103
2015-06-07,2161
2015-06-08,2098
2015-06-09,2052
2015-06-10,2016
2015-06-11,1980
2015-06-12,1953
2015-06-13,1982
2015-06-14,1961
2015-06-15,1968
2015-06-16,1935
2015-06-17,1916
2015-06-18,1878
2015-06-19,1866
2015-06-20,1876
2015-06-21,1854
2015-06-22,1925
2015-06-23,1978
2015-06-24,1986
2015-06-25,2005
2015-06-26,2039
2015-06-27,2008
2015-06-28,1986
2015-06-29,1994
2015-06-30,2019
2015-07-01,1983
2015-07-02,1982
2015-07-03,1956
2015-07-04,1941
2015-07-05,1982
2015-07-06,1954
2015-07-07,1947
2015-07-08,1972
2015-07-09,1965
2015-07-10,1930
2015-07-11,1896
2015-07-12,1865
2015-07-13,1846
2015-07-14,1899
2015-07-15,1918
2015-07-16,1932
2015-07-17,1980
2015-07-18,2063
2015-07-19,2040
2015-07-20,2101
2015-07-21,2205
2015-07-22,2191
2015-07-23,2228
2015-07-24,2238
2015-07-25,2228
2015-07-26,2213
2015-07-27,2167
2015-07-28,2211
2015-07-29,2271
2015-07-30,2370
2015-07-31,2362
2015-08-01,2391
2015-08-02,2415
2015-08-03,2388
2015-08-04,2368
2015-08-05,2289
2015-08-06,2285
2015-08-07,2363
2015-08-08,2347
2015-08-09,2258
2015-08-10,2237
2015-08-11,2273
2015-08-12,2276
2015-08-13,2333
2015-08-14,2282
2015-08-15,2302
2015-08-16,2310
2015-08-17,2347
2015-08-18,2332
2015-08-19,2311
2015-08-20,2331
2015-08-21,2433
2015-08-22,2392
2015-08-23,2413
2015-08-24,2387
2015-08-25,2366
2015-08-26,2427
2015-08-27,2424
2015-08-28,2394
2015-08-29,2411
2015-08-30,2432
2015-08-31,2424
2015-09-01,2418
2015-09-02,2537
2015-09-03,2536
2015-09-04,2624
2015-09-05,2503
2015-09-06,2428
2015-09-07,2532
2015-09-08,2492
2015-09-09,2468
2015-09-10,2452
2015-09-11,2513
2015-09-12,2461
2015-09-13,2437
2015-09-14,2460
2015-09-15,2474
2015-09-16,2484
2015-09-17,2499
2015-09-18,2623
2015-09-19,2631
2015-09-20,2551
2015-09-21,2504
