date_obj,Yellow%20feather price
2015-03-26,5
2015-03-27,5
2015-03-28,5
2015-03-29,5
2015-03-30,5
2015-03-31,5
2015-04-01,5
2015-04-02,5
2015-04-03,5
2015-04-04,5
2015-04-05,5
2015-04-06,5
2015-04-07,5
2015-04-08,5
2015-04-09,5
2015-04-10,5
2015-04-11,5
2015-04-12,5
2015-04-13,5
2015-04-14,5
2015-04-15,5
2015-04-16,5
2015-04-17,5
2015-04-18,5
2015-04-19,5
2015-04-20,5
2015-04-21,5
2015-04-22,5
2015-04-23,5
2015-04-24,5
2015-04-25,5
2015-04-26,5
2015-04-27,5
2015-04-28,5
2015-04-29,5
2015-04-30,5
2015-05-01,5
2015-05-02,5
2015-05-03,5
2015-05-04,5
2015-05-05,5
2015-05-06,5
2015-05-07,5
2015-05-08,5
2015-05-09,5
2015-05-10,5
2015-05-11,5
2015-05-12,5
2015-05-13,5
2015-05-14,5
2015-05-15,6
2015-05-16,6
2015-05-17,6
2015-05-18,6
2015-05-19,6
2015-05-20,6
2015-05-21,6
2015-05-22,6
2015-05-23,6
2015-05-24,6
2015-05-25,6
2015-05-26,6
2015-05-27,6
2015-05-28,6
2015-05-29,6
2015-05-30,6
2015-05-31,6
2015-06-01,6
2015-06-02,6
2015-06-03,6
2015-06-04,6
2015-06-05,6
2015-06-06,6
2015-06-07,6
2015-06-08,6
2015-06-09,6
2015-06-10,6
2015-06-11,6
2015-06-12,6
2015-06-13,6
2015-06-14,7
2015-06-15,7
2015-06-16,7
2015-06-17,7
2015-06-18,7
2015-06-19,7
2015-06-20,7
2015-06-21,7
2015-06-22,7
2015-06-23,7
2015-06-24,7
2015-06-25,7
2015-06-26,7
2015-06-27,7
2015-06-28,7
2015-06-29,7
2015-06-30,7
2015-07-01,7
2015-07-02,7
2015-07-03,7
2015-07-04,7
2015-07-05,7
2015-07-06,7
2015-07-07,7
2015-07-08,7
2015-07-09,7
2015-07-10,7
2015-07-11,7
2015-07-12,7
2015-07-13,7
2015-07-14,7
2015-07-15,7
2015-07-16,7
2015-07-17,7
2015-07-18,7
2015-07-19,7
2015-07-20,7
2015-07-21,7
2015-07-22,7
2015-07-23,7
2015-07-24,7
2015-07-25,7
2015-07-26,7
2015-07-27,7
2015-07-28,7
2015-07-29,7
2015-07-30,7
2015-07-31,7
2015-08-01,7
2015-08-02,7
2015-08-03,7
2015-08-04,7
2015-08-05,7
2015-08-06,7
2015-08-07,7
2015-08-08,7
2015-08-09,7
2015-08-10,7
2015-08-11,8
2015-08-12,8
2015-08-13,8
2015-08-14,8
2015-08-15,8
2015-08-16,8
2015-08-17,8
2015-08-18,8
2015-08-19,8
2015-08-20,8
2015-08-21,8
2015-08-22,8
2015-08-23,8
2015-08-24,8
2015-08-25,8
2015-08-26,8
2015-08-27,8
2015-08-28,8
2015-08-29,8
2015-08-30,8
2015-08-31,8
2015-09-01,8
2015-09-02,8
2015-09-03,8
2015-09-04,8
2015-09-05,8
2015-09-06,8
2015-09-07,8
2015-09-08,8
2015-09-09,8
2015-09-10,9
2015-09-11,9
2015-09-12,9
2015-09-13,9
2015-09-14,9
2015-09-15,9
2015-09-16,9
2015-09-17,9
2015-09-18,9
2015-09-19,9
2015-09-20,9
2015-09-21,9
2015-09-22,9
2015-09-23,9
2015-09-24,9
2015-09-25,9
2015-09-27,9
2015-09-28,9
2015-09-29,9
2015-09-30,9
2015-10-05,9
2015-10-06,9
2015-10-07,9
2015-10-08,9
2015-10-09,9
2015-10-10,9
2015-10-11,9
2015-10-12,9
2015-10-13,9
2015-10-14,9
2015-10-15,9
2015-10-16,10
2015-10-17,10
2015-10-18,10
2015-10-19,10
2015-10-20,10
2015-10-22,10
2015-10-23,10
2015-10-24,10
2015-10-25,10
2015-10-26,10
2015-10-27,10
2015-10-29,10
2015-10-30,10
2015-10-31,10
2015-11-01,10
2015-11-02,10
2015-11-03,10
2015-11-05,10
2015-11-06,10
2015-11-07,10
2015-11-08,10
2015-11-09,10
2015-11-10,10
2015-11-11,10
2015-11-12,10
2015-11-13,10
2015-11-14,10
2015-11-15,10
2015-11-16,10
2015-11-17,10
2015-11-18,10
2015-11-19,10
2015-11-20,10
2015-11-21,10
2015-11-22,10
2015-11-23,10
2015-11-24,10
2015-11-25,10
2015-11-26,10
2015-11-27,10
