date_obj,Emerald%20necklace price
2015-03-26,1375
2015-03-27,1375
2015-03-28,1375
2015-03-29,1375
2015-03-30,1375
2015-03-31,1375
2015-04-01,1335
2015-04-02,1335
2015-04-03,1335
2015-04-04,1335
2015-04-05,1335
2015-04-06,1335
2015-04-07,1335
2015-04-08,1335
2015-04-09,1335
2015-04-10,1335
2015-04-11,1335
2015-04-12,1335
2015-04-13,1335
2015-04-14,1335
2015-04-15,1335
2015-04-16,1335
2015-04-17,1335
2015-04-18,1335
2015-04-19,1335
2015-04-20,1335
2015-04-21,1362
2015-04-22,1362
2015-04-23,1362
2015-04-24,1362
2015-04-25,1362
2015-04-26,1362
2015-04-27,1362
2015-04-28,1362
2015-04-29,1362
2015-04-30,1362
2015-05-01,1362
2015-05-02,1362
2015-05-03,1362
2015-05-04,1362
2015-05-05,1362
2015-05-06,1362
2015-05-07,1362
2015-05-08,1341
2015-05-09,1341
2015-05-10,1341
2015-05-11,1341
2015-05-12,1341
2015-05-13,1341
2015-05-14,1341
2015-05-15,1341
2015-05-16,1341
2015-05-17,1341
2015-05-18,1341
2015-05-19,1341
2015-05-20,1341
2015-05-21,1341
2015-05-22,1341
2015-05-23,1341
2015-05-24,1341
2015-05-25,1341
2015-05-26,1341
2015-05-27,1341
2015-05-28,1372
2015-05-29,1372
2015-05-30,1372
2015-05-31,1372
2015-06-01,1372
2015-06-02,1372
2015-06-03,1372
2015-06-04,1372
2015-06-05,1372
2015-06-06,1372
2015-06-07,1372
2015-06-08,1372
2015-06-09,1372
2015-06-10,1372
2015-06-11,1372
2015-06-12,1372
2015-06-13,1372
2015-06-14,1415
2015-06-15,1415
2015-06-16,1415
2015-06-17,1415
2015-06-18,1415
2015-06-19,1415
2015-06-20,1415
2015-06-21,1415
2015-06-22,1415
2015-06-23,1415
2015-06-24,1415
2015-06-25,1415
2015-06-26,1415
2015-06-27,1415
2015-06-28,1415
2015-06-29,1415
2015-06-30,1415
2015-07-01,1415
2015-07-02,1415
2015-07-03,1436
2015-07-04,1436
2015-07-05,1436
2015-07-06,1436
2015-07-07,1436
2015-07-08,1436
2015-07-09,1436
2015-07-10,1436
2015-07-11,1436
2015-07-12,1436
2015-07-13,1436
2015-07-14,1436
2015-07-15,1436
2015-07-16,1436
2015-07-17,1436
2015-07-18,1436
2015-07-19,1436
2015-07-20,1436
2015-07-21,1436
2015-07-22,1456
2015-07-23,1456
2015-07-24,1456
2015-07-25,1456
2015-07-26,1456
2015-07-27,1456
2015-07-28,1456
2015-07-29,1456
2015-07-30,1456
2015-07-31,1456
2015-08-01,1456
2015-08-02,1456
2015-08-03,1456
2015-08-04,1456
2015-08-05,1456
2015-08-06,1456
2015-08-07,1456
2015-08-08,1458
2015-08-09,1458
2015-08-10,1458
2015-08-11,1458
2015-08-12,1458
2015-08-13,1458
2015-08-14,1458
2015-08-15,1458
2015-08-16,1458
2015-08-17,1458
2015-08-18,1458
2015-08-19,1458
2015-08-20,1458
2015-08-21,1458
2015-08-22,1458
2015-08-23,1458
2015-08-24,1458
2015-08-25,1458
2015-08-26,1458
2015-08-27,1458
2015-08-28,1458
2015-08-29,1458
2015-08-30,1458
2015-08-31,1458
2015-09-01,1458
2015-09-02,1458
2015-09-03,1458
2015-09-04,1458
2015-09-05,1458
2015-09-06,1458
2015-09-07,1458
2015-09-08,1488
2015-09-09,1488
2015-09-10,1488
2015-09-11,1488
2015-09-12,1488
2015-09-13,1488
2015-09-14,1488
2015-09-15,1488
2015-09-16,1488
2015-09-17,1488
2015-09-18,1488
2015-09-19,1488
2015-09-20,1488
2015-09-21,1488
2015-09-22,1488
2015-09-23,1488
2015-09-24,1488
2015-09-25,1488
2015-09-27,1488
2015-09-28,1488
2015-09-29,1488
2015-09-30,1488
2015-10-05,1488
2015-10-06,1488
2015-10-07,1488
2015-10-08,1488
2015-10-09,1488
2015-10-10,1488
2015-10-11,1453
2015-10-12,1453
2015-10-13,1453
2015-10-14,1453
2015-10-15,1453
2015-10-16,1453
2015-10-17,1453
2015-10-18,1453
2015-10-19,1453
2015-10-20,1453
2015-10-22,1453
2015-10-23,1453
2015-10-24,1453
2015-10-25,1453
2015-10-26,1453
2015-10-27,1453
2015-10-29,1453
2015-10-30,1453
2015-10-31,1453
2015-11-01,1453
2015-11-02,1453
2015-11-03,1453
2015-11-04,1453
2015-11-05,1453
2015-11-06,1453
2015-11-07,1453
2015-11-08,1453
2015-11-09,1453
2015-11-10,1453
2015-11-11,1386
2015-11-12,1386
2015-11-13,1386
2015-11-14,1386
2015-11-15,1386
2015-11-16,1386
2015-11-17,1386
2015-11-18,1386
2015-11-19,1386
2015-11-20,1386
2015-11-21,1386
2015-11-22,1386
2015-11-23,1386
2015-11-24,1386
2015-11-25,1386
2015-11-26,1386
2015-11-27,1386
2015-11-28,1386
2015-11-29,1386
2015-11-30,1386
2015-12-01,1386
2015-12-02,1386
2015-12-03,1386
2015-12-04,1386
2015-12-05,1386
2015-12-06,1386
2015-12-07,1386
2015-12-08,1386
2015-12-09,1386
2015-12-10,1367
2015-12-11,1367
2015-12-12,1367
2015-12-13,1367
2015-12-14,1367
2015-12-15,1367
2015-12-16,1367
2015-12-17,1367
2015-12-18,1367
2015-12-19,1367
2015-12-20,1367
2015-12-21,1367
2015-12-22,1367
2015-12-23,1367
2015-12-24,1367
2015-12-25,1367
2015-12-26,1367
2015-12-27,1367
2015-12-28,1367
