date_obj,Bronze%20plateskirt price
2015-03-04,50
2015-03-05,50
2015-03-06,50
2015-03-07,49
2015-03-08,49
2015-03-09,49
2015-03-10,49
2015-03-11,49
2015-03-12,49
2015-03-13,49
2015-03-14,49
2015-03-15,49
2015-03-16,49
2015-03-17,49
2015-03-18,49
2015-03-19,47
2015-03-20,47
2015-03-21,47
2015-03-22,47
2015-03-23,47
2015-03-24,47
2015-03-25,47
2015-03-26,47
2015-03-27,47
2015-03-28,47
2015-03-29,47
2015-03-30,47
2015-03-31,45
2015-04-01,45
2015-04-02,45
2015-04-03,45
2015-04-04,45
2015-04-05,45
2015-04-06,45
2015-04-07,45
2015-04-08,45
2015-04-09,45
2015-04-10,45
2015-04-11,45
2015-04-12,45
2015-04-13,45
2015-04-14,45
2015-04-15,45
2015-04-16,45
2015-04-17,45
2015-04-18,45
2015-04-19,45
2015-04-20,45
2015-04-21,45
2015-04-22,45
2015-04-23,45
2015-04-24,45
2015-04-25,45
2015-04-26,43
2015-04-27,43
2015-04-28,43
2015-04-29,43
2015-04-30,43
2015-05-01,43
2015-05-02,43
2015-05-03,43
2015-05-04,43
2015-05-05,43
2015-05-06,43
2015-05-07,42
2015-05-08,42
2015-05-09,42
2015-05-10,42
2015-05-11,42
2015-05-12,42
2015-05-13,42
2015-05-14,42
2015-05-15,42
2015-05-16,42
2015-05-17,42
2015-05-18,40
2015-05-19,40
2015-05-20,40
2015-05-21,40
2015-05-22,40
2015-05-23,40
2015-05-24,40
2015-05-25,40
2015-05-26,40
2015-05-27,40
2015-05-28,38
2015-05-29,38
2015-05-30,38
2015-05-31,38
2015-06-01,38
2015-06-02,38
2015-06-03,38
2015-06-04,38
2015-06-05,38
2015-06-06,36
2015-06-07,36
2015-06-08,36
2015-06-09,36
2015-06-10,36
2015-06-11,36
2015-06-12,36
2015-06-13,36
2015-06-14,36
2015-06-15,34
2015-06-16,34
2015-06-17,34
2015-06-18,34
2015-06-19,34
2015-06-20,34
2015-06-21,34
2015-06-22,34
2015-06-23,32
2015-06-24,32
2015-06-25,32
2015-06-26,32
2015-06-27,32
2015-06-28,32
2015-06-29,32
2015-06-30,32
2015-07-01,30
2015-07-02,30
2015-07-03,30
2015-07-04,30
2015-07-05,30
2015-07-06,30
2015-07-07,30
2015-07-08,30
2015-07-09,30
2015-07-10,30
2015-07-11,30
2015-07-12,30
2015-07-13,30
2015-07-14,30
2015-07-15,30
2015-07-16,30
2015-07-17,30
2015-07-18,30
2015-07-19,30
2015-07-20,29
2015-07-21,29
2015-07-22,29
2015-07-23,29
2015-07-24,29
2015-07-25,29
2015-07-26,29
2015-07-27,29
2015-07-28,29
2015-07-29,29
2015-07-30,29
2015-07-31,29
2015-08-01,29
2015-08-02,29
2015-08-03,29
2015-08-04,29
2015-08-05,30
2015-08-06,30
2015-08-07,30
2015-08-08,30
2015-08-09,30
2015-08-10,30
2015-08-11,30
2015-08-12,30
2015-08-13,29
2015-08-14,29
2015-08-15,29
2015-08-16,29
2015-08-17,29
2015-08-18,29
2015-08-19,29
2015-08-20,29
2015-08-21,28
2015-08-22,28
2015-08-23,28
2015-08-24,28
2015-08-25,28
2015-08-26,28
2015-08-27,28
2015-08-28,28
2015-08-29,28
2015-08-30,26
2015-08-31,26
2015-09-01,25
2015-09-02,26
2015-09-07,26
2015-09-08,24
2015-09-10,24
2015-09-14,24
2015-09-16,24
2015-09-22,23
2015-09-23,23
2015-09-24,23
2015-09-25,23
2015-09-27,22
2015-09-28,22
2015-09-29,22
2015-09-30,22
2015-10-05,22
2015-10-06,21
2015-10-07,21
2015-10-08,21
2015-10-09,21
2015-10-10,21
2015-10-11,21
2015-10-12,21
2015-10-13,21
2015-10-14,21
2015-10-15,20
2015-10-16,20
2015-10-17,20
2015-10-18,20
2015-10-19,20
2015-10-20,20
2015-10-22,20
2015-10-23,20
2015-10-24,20
2015-10-25,19
2015-10-26,19
2015-10-27,19
2015-10-29,19
2015-10-30,19
2015-10-31,19
2015-11-01,19
2015-11-02,19
2015-11-03,19
2015-11-04,18
2015-11-05,18
2015-11-06,18
2015-11-07,18
2015-11-08,18
2015-11-09,18
2015-11-10,18
2015-11-11,18
2015-11-12,18
2015-11-13,17
2015-11-14,17
2015-11-15,17
2015-11-16,17
2015-11-17,17
2015-11-18,17
2015-11-19,17
2015-11-20,17
2015-11-21,17
2015-11-22,16
2015-11-23,16
2015-11-24,16
2015-11-25,16
2015-11-26,16
2015-11-27,16
2015-11-28,16
2015-11-29,16
2015-11-30,16
2015-12-01,16
2015-12-02,16
2015-12-03,16
2015-12-04,16
2015-12-05,16
2015-12-06,16
2015-12-07,16
2015-12-08,16
2015-12-09,16
2015-12-10,16
2015-12-11,16
2015-12-12,16
2015-12-13,16
2015-12-14,16
2015-12-15,16
2015-12-16,16
2015-12-17,16
2015-12-18,16
2015-12-19,16
2015-12-20,16
2015-12-21,16
2015-12-22,16
2015-12-23,16
2015-12-24,16
2015-12-25,16
2015-12-26,16
2015-12-27,16
2015-12-28,16
2015-12-29,16
2015-12-30,16
2015-12-31,16
2016-01-01,16
2016-01-02,16
2016-01-03,16
2016-01-04,16
2016-01-05,16
2016-01-06,16
2016-01-07,16
2016-01-08,16
2016-01-09,16
2016-01-10,16
2016-01-11,16
2016-01-12,16
2016-01-13,16
2016-01-14,16
2016-01-15,16
2016-01-16,16
2016-01-17,16
2016-01-18,16
2016-01-19,16
2016-01-20,16
2016-01-21,16
2016-01-22,16
2016-01-23,16
2016-01-24,17
2016-01-25,17
2016-01-26,17
2016-01-27,17
2016-01-28,17
2016-01-29,17
2016-01-30,17
2016-01-31,17
2016-02-01,17
2016-02-02,17
2016-02-03,17
2016-02-04,17
2016-02-05,17
2016-02-06,17
2016-02-07,17
2016-02-08,17
2016-02-09,17
2016-02-10,17
2016-02-11,17
2016-02-12,17
2016-02-13,17
2016-02-14,17
2016-02-15,17
2016-02-16,17
2016-02-17,17
2016-02-18,17
2016-02-19,17
2016-02-20,17
2016-02-21,17
2016-02-22,17
2016-02-23,17
2016-02-24,17
2016-02-25,17
2016-02-26,16
2016-02-27,16
2016-02-28,16
2016-02-29,16
2016-03-01,16
2016-03-02,16
2016-03-03,16
2016-03-04,16
2016-03-05,16
2016-03-06,16
2016-03-07,16
2016-03-08,16
2016-03-09,16
2016-03-10,16
2016-03-11,16
2016-03-12,16
2016-03-13,16
2016-03-14,16
2016-03-15,16
2016-03-16,16
2016-03-17,16
2016-03-18,16
2016-03-19,16
2016-03-20,16
2016-03-21,16
2016-03-22,16
2016-03-23,16
2016-03-24,16
2016-03-25,16
2016-03-26,16
2016-03-27,16
2016-03-28,16
2016-03-29,16
2016-03-30,16
2016-03-31,15
2016-04-01,15
2016-04-02,15
2016-04-03,15
2016-04-04,15
2016-04-05,15
2016-04-06,15
2016-04-07,15
2016-04-08,16
2016-04-09,16
2016-04-10,16
2016-04-11,16
2016-04-12,16
2016-04-13,16
2016-04-14,16
2016-04-15,16
2016-04-16,16
2016-04-17,16
2016-04-18,16
2016-04-19,16
