date_obj,Chaos%20tiara price
2015-03-26,23635
2015-03-27,23635
2015-03-28,23635
2015-03-29,23635
2015-03-30,23635
2015-03-31,23635
2015-04-01,22468
2015-04-02,22468
2015-04-03,22468
2015-04-04,22468
2015-04-05,22468
2015-04-06,22468
2015-04-07,22468
2015-04-08,22468
2015-04-09,21351
2015-04-10,21351
2015-04-11,21351
2015-04-12,21351
2015-04-13,21351
2015-04-14,21351
2015-04-15,21351
2015-04-16,21351
2015-04-17,20293
2015-04-18,20293
2015-04-19,20293
2015-04-20,20293
2015-04-21,20293
2015-04-22,20293
2015-04-23,20293
2015-04-24,20293
2015-04-25,20293
2015-04-26,19305
2015-04-27,19305
2015-04-28,19305
2015-04-29,19305
2015-04-30,19305
2015-05-01,19305
2015-05-02,19305
2015-05-03,19305
2015-05-04,18342
2015-05-05,18342
2015-05-06,18342
2015-05-07,18342
2015-05-08,18342
2015-05-09,18342
2015-05-10,18342
2015-05-11,18342
2015-05-12,17438
2015-05-13,17438
2015-05-14,17438
2015-05-15,17438
2015-05-16,17438
2015-05-17,17438
2015-05-18,17438
2015-05-19,17438
2015-05-20,16599
2015-05-21,16599
2015-05-22,16599
2015-05-23,16599
2015-05-24,16599
2015-05-25,16599
2015-05-26,16599
2015-05-27,16599
2015-05-28,15769
2015-05-29,15769
2015-05-30,15769
2015-05-31,15769
2015-06-01,15769
2015-06-02,15769
2015-06-03,14980
2015-06-04,14980
2015-06-05,14980
2015-06-06,14980
2015-06-07,14980
2015-06-08,14980
2015-06-09,14233
2015-06-10,14233
2015-06-11,14233
2015-06-12,14233
2015-06-13,14233
2015-06-14,14233
2015-06-15,13541
2015-06-16,13541
2015-06-17,13541
2015-06-18,13541
2015-06-19,13541
2015-06-20,12874
2015-06-21,12874
2015-06-22,12874
2015-06-23,12874
2015-06-24,12874
2015-06-25,12874
2015-06-26,12232
2015-06-27,12232
2015-06-28,12232
2015-06-29,12232
2015-06-30,12232
2015-07-01,12232
2015-07-02,12232
2015-07-03,11633
2015-07-04,11633
2015-07-05,11633
2015-07-06,11633
2015-07-07,11633
2015-07-08,11633
2015-07-09,11082
2015-07-10,11082
2015-07-11,11082
2015-07-12,11082
2015-07-13,11082
2015-07-14,11082
2015-07-15,10528
2015-07-16,10528
2015-07-17,10528
2015-07-18,10528
2015-07-19,10528
2015-07-20,10018
2015-07-21,10018
2015-07-22,10018
2015-07-23,10018
2015-07-24,10018
2015-07-25,9524
2015-07-26,9524
2015-07-27,9524
2015-07-28,9524
2015-07-29,9524
2015-07-30,9074
2015-07-31,9074
2015-08-01,9074
2015-08-02,9074
2015-08-03,9074
2015-08-04,8652
2015-08-05,8652
2015-08-06,8652
2015-08-07,8652
2015-08-08,8223
2015-08-09,8223
2015-08-10,8223
2015-08-11,8223
2015-08-12,8223
2015-08-13,8223
