date_obj,Iron%20sq%20shield price
2015-03-26,807
2015-03-27,807
2015-03-28,768
2015-03-29,768
2015-03-30,768
2015-03-31,731
2015-04-01,731
2015-04-02,731
2015-04-03,731
2015-04-04,696
2015-04-05,696
2015-04-06,696
2015-04-07,696
2015-04-08,662
2015-04-09,662
2015-04-10,662
2015-04-11,630
2015-04-12,630
2015-04-13,630
2015-04-14,630
2015-04-15,600
2015-04-16,600
2015-04-17,600
2015-04-18,572
2015-04-19,572
2015-04-20,572
2015-04-21,572
2015-04-22,545
2015-04-23,545
2015-04-24,545
2015-04-25,545
2015-04-26,519
2015-04-27,519
2015-04-28,519
2015-04-29,519
2015-04-30,495
2015-05-01,495
2015-05-02,495
2015-05-03,495
2015-05-04,472
2015-05-05,472
2015-05-06,472
2015-05-07,472
2015-05-08,450
2015-05-09,450
2015-05-10,450
2015-05-11,450
2015-05-12,428
2015-05-13,428
2015-05-14,428
2015-05-15,428
2015-05-16,408
2015-05-17,408
2015-05-18,408
2015-05-19,408
2015-05-20,389
2015-05-21,389
2015-05-22,389
2015-05-23,389
2015-05-24,372
2015-05-25,372
2015-05-26,372
2015-05-27,372
2015-05-28,354
2015-05-29,354
2015-05-30,354
2015-05-31,338
2015-06-01,338
2015-06-02,338
2015-06-03,322
2015-06-04,322
2015-06-05,322
2015-06-06,308
2015-06-07,308
2015-06-08,308
2015-06-09,294
2015-06-10,294
2015-06-11,294
2015-06-12,294
2015-06-13,281
2015-06-14,281
2015-06-15,281
2015-06-16,268
2015-06-17,268
2015-06-18,268
2015-06-19,256
2015-06-20,256
2015-06-21,256
2015-06-22,245
2015-06-23,245
2015-06-24,245
2015-06-25,234
2015-06-26,234
2015-06-27,234
2015-06-28,223
2015-06-29,223
2015-06-30,223
2015-07-01,212
2015-07-02,212
2015-07-03,212
2015-07-04,202
2015-07-05,202
2015-07-06,202
2015-07-07,192
2015-07-08,192
2015-07-09,192
2015-07-10,184
2015-07-11,184
2015-07-12,184
2015-07-13,175
2015-07-14,175
2015-07-15,167
2015-07-16,167
2015-07-17,159
2015-07-18,159
2015-07-19,159
2015-07-20,152
2015-07-21,152
2015-07-22,145
2015-07-23,145
2015-07-24,145
2015-07-25,138
2015-07-26,138
2015-07-27,138
2015-07-28,132
2015-07-29,132
2015-07-30,126
2015-07-31,126
2015-08-01,126
2015-08-02,120
2015-08-03,120
2015-08-04,120
2015-08-05,115
2015-08-06,115
2015-08-07,115
2015-08-08,110
2015-08-09,110
2015-08-10,110
2015-08-11,105
2015-08-12,105
2015-08-13,105
2015-08-14,100
2015-08-15,100
2015-08-16,100
2015-08-17,96
2015-08-18,96
2015-08-19,96
2015-08-20,92
2015-08-21,92
2015-08-22,88
2015-08-23,88
2015-08-24,88
2015-08-25,84
2015-08-26,84
2015-08-27,80
2015-08-28,80
2015-08-29,80
2015-08-30,80
2015-08-31,77
2015-09-01,77
2015-09-02,77
2015-09-03,73
2015-09-04,73
2015-09-05,73
2015-09-06,70
2015-09-07,70
2015-09-08,70
2015-09-09,67
2015-09-10,67
2015-09-11,67
2015-09-12,64
2015-09-13,64
2015-09-14,64
2015-09-15,61
2015-09-16,61
2015-09-17,61
2015-09-18,61
2015-09-19,58
2015-09-20,58
2015-09-21,58
2015-09-22,58
2015-09-23,56
2015-09-24,56
2015-09-25,56
2015-09-27,56
2015-09-28,53
2015-09-29,53
2015-09-30,53
2015-10-05,51
2015-10-06,49
2015-10-07,49
2015-10-08,49
2015-10-09,49
2015-10-10,47
2015-10-11,47
2015-10-12,47
2015-10-13,47
2015-10-14,45
2015-10-15,45
2015-10-16,45
2015-10-17,43
2015-10-18,43
2015-10-19,43
2015-10-20,41
2015-10-22,41
2015-10-23,41
2015-10-24,38
2015-10-25,38
2015-10-26,38
2015-10-27,38
2015-10-29,36
2015-10-30,36
2015-10-31,36
2015-11-01,35
2015-11-02,35
2015-11-03,35
2015-11-04,33
2015-11-05,33
2015-11-06,33
2015-11-07,31
2015-11-08,31
2015-11-09,31
2015-11-10,31
2015-11-11,31
2015-11-12,31
2015-11-13,31
2015-11-14,31
2015-11-15,31
2015-11-16,31
2015-11-17,31
2015-11-18,31
