date_obj,Mithril%20bolts price
2015-03-26,95
2015-03-27,94
2015-03-28,93
2015-03-29,93
2015-03-30,92
2015-03-31,91
2015-04-01,89
2015-04-02,88
2015-04-03,88
2015-04-04,90
2015-04-05,91
2015-04-06,92
2015-04-07,95
2015-04-08,95
2015-04-09,95
2015-04-10,94
2015-04-11,94
2015-04-12,92
2015-04-13,90
2015-04-14,89
2015-04-15,88
2015-04-16,89
2015-04-17,90
2015-04-18,91
2015-04-19,93
2015-04-20,93
2015-04-21,93
2015-04-22,93
2015-04-23,93
2015-04-24,94
2015-04-25,95
2015-04-26,96
2015-04-27,95
2015-04-28,94
2015-04-29,94
2015-04-30,94
2015-05-01,94
2015-05-02,93
2015-05-03,93
2015-05-04,93
2015-05-05,94
2015-05-06,94
2015-05-07,94
2015-05-08,92
2015-05-09,92
2015-05-10,92
2015-05-11,91
2015-05-12,91
2015-05-13,91
2015-05-14,90
2015-05-15,89
2015-05-16,88
2015-05-17,89
2015-05-18,88
2015-05-19,88
2015-05-20,89
2015-05-21,87
2015-05-22,88
2015-05-23,88
2015-05-24,88
2015-05-25,86
2015-05-26,84
2015-05-27,83
2015-05-28,84
2015-05-29,85
2015-05-30,86
2015-05-31,88
2015-06-01,90
2015-06-02,94
2015-06-03,96
2015-06-04,97
2015-06-05,98
2015-06-06,98
2015-06-07,98
2015-06-08,99
2015-06-09,102
2015-06-10,100
2015-06-11,97
2015-06-12,99
2015-06-13,100
2015-06-14,101
2015-06-15,102
2015-06-16,103
2015-06-17,102
2015-06-18,103
2015-06-19,105
2015-06-20,108
2015-06-21,106
2015-06-22,103
2015-06-23,100
2015-06-24,98
2015-06-25,97
2015-06-26,99
2015-06-27,102
2015-06-28,100
2015-06-29,99
2015-06-30,101
2015-07-01,102
2015-07-02,102
2015-07-03,104
2015-07-04,107
2015-07-05,110
2015-07-06,110
2015-07-07,110
2015-07-08,110
2015-07-09,111
2015-07-10,115
2015-07-11,117
2015-07-12,117
2015-07-13,114
2015-07-14,109
2015-07-15,106
2015-07-16,104
2015-07-17,100
2015-07-18,101
2015-07-19,101
2015-07-20,98
2015-07-21,94
2015-07-22,92
2015-07-23,92
2015-07-24,93
2015-07-25,95
2015-07-26,96
2015-07-27,95
2015-07-28,94
2015-07-29,94
2015-07-30,94
2015-07-31,94
2015-08-01,95
2015-08-02,95
2015-08-03,93
2015-08-04,92
2015-08-05,94
2015-08-06,96
2015-08-07,95
2015-08-08,94
2015-08-09,94
2015-08-10,93
2015-08-11,94
2015-08-12,94
2015-08-13,95
2015-08-14,97
2015-08-15,95
2015-08-16,95
2015-08-17,93
2015-08-18,89
2015-08-19,86
2015-08-20,86
2015-08-21,86
2015-08-22,87
2015-08-23,86
2015-08-24,87
2015-08-25,87
2015-08-26,86
2015-08-27,89
2015-08-28,92
2015-08-29,93
2015-08-30,94
2015-08-31,93
2015-09-01,94
2015-09-02,95
2015-09-03,98
2015-09-04,98
2015-09-05,99
2015-09-06,100
2015-09-07,100
2015-09-08,102
2015-09-09,104
2015-09-10,105
2015-09-11,105
2015-09-12,105
2015-09-13,108
2015-09-14,105
2015-09-15,106
2015-09-16,107
2015-09-17,108
2015-09-18,104
2015-09-19,105
2015-09-20,106
2015-09-21,103
2015-09-22,99
2015-09-23,98
2015-09-24,96
2015-09-25,98
2015-09-27,99
2015-09-28,98
2015-09-29,101
2015-09-30,100
2015-10-05,95
2015-10-06,94
2015-10-07,95
2015-10-08,94
2015-10-09,94
2015-10-10,94
2015-10-11,93
2015-10-12,92
2015-10-13,92
2015-10-14,92
2015-10-15,92
2015-10-16,90
2015-10-17,88
2015-10-18,88
2015-10-19,85
2015-10-20,85
2015-10-22,87
2015-10-23,87
2015-10-24,90
2015-10-25,90
2015-10-26,91
2015-10-27,94
2015-10-29,103
2015-10-30,103
2015-10-31,101
2015-11-01,97
2015-11-02,95
2015-11-03,95
2015-11-04,95
2015-11-05,97
2015-11-06,100
2015-11-07,101
2015-11-08,99
2015-11-09,100
2015-11-10,101
2015-11-11,100
2015-11-12,103
2015-11-13,102
2015-11-14,104
2015-11-15,103
2015-11-16,102
2015-11-17,102
2015-11-18,103
2015-11-19,104
2015-11-20,104
2015-11-21,104
2015-11-22,103
2015-11-23,103
2015-11-24,101
2015-11-25,101
2015-11-26,101
2015-11-27,101
2015-11-28,100
2015-11-29,98
2015-11-30,96
2015-12-01,95
2015-12-02,95
2015-12-03,96
2015-12-04,96
2015-12-05,96
2015-12-06,94
2015-12-07,92
2015-12-08,91
2015-12-09,92
2015-12-10,92
2015-12-11,93
2015-12-12,94
2015-12-13,95
2015-12-14,95
2015-12-15,94
2015-12-16,94
2015-12-17,93
2015-12-18,94
2015-12-19,93
2015-12-20,92
2015-12-21,92
2015-12-22,93
2015-12-23,93
2015-12-24,92
2015-12-25,93
2015-12-26,94
2015-12-27,94
2015-12-28,93
2015-12-29,92
2015-12-30,91
2015-12-31,92
2016-01-01,92
2016-01-02,94
2016-01-03,94
2016-01-04,95
2016-01-05,95
2016-01-06,94
2016-01-07,94
2016-01-08,94
2016-01-09,94
2016-01-10,95
2016-01-11,95
2016-01-12,97
2016-01-13,99
2016-01-14,102
2016-01-15,100
2016-01-16,101
2016-01-17,100
2016-01-18,102
2016-01-19,101
2016-01-20,103
2016-01-21,101
2016-01-22,101
2016-01-23,99
2016-01-24,98
2016-01-25,99
2016-01-26,100
2016-01-27,99
2016-01-28,99
2016-01-29,99
2016-01-30,97
2016-01-31,95
2016-02-01,93
2016-02-02,91
2016-02-03,88
2016-02-04,88
2016-02-05,90
2016-02-06,92
2016-02-07,94
2016-02-08,95
2016-02-09,98
2016-02-10,101
2016-02-11,103
2016-02-12,106
2016-02-13,110
2016-02-14,109
2016-02-15,111
2016-02-16,112
2016-02-17,112
2016-02-18,115
2016-02-19,113
2016-02-20,110
2016-02-21,106
2016-02-22,102
2016-02-23,98
2016-02-24,95
2016-02-25,96
2016-02-26,99
2016-02-27,102
2016-02-28,101
2016-02-29,103
2016-03-01,107
2016-03-02,111
2016-03-03,116
2016-03-04,121
2016-03-05,124
2016-03-06,126
2016-03-07,130
2016-03-08,131
2016-03-09,127
2016-03-10,124
2016-03-11,119
2016-03-12,114
2016-03-13,108
2016-03-14,104
2016-03-15,105
2016-03-16,106
2016-03-17,107
2016-03-18,108
2016-03-19,110
2016-03-20,110
2016-03-21,112
2016-03-22,111
2016-03-23,112
2016-03-24,112
2016-03-25,115
2016-03-26,114
2016-03-27,109
2016-03-28,107
2016-03-29,110
2016-03-30,115
2016-03-31,119
2016-04-01,124
2016-04-02,125
2016-04-03,124
2016-04-04,122
2016-04-05,118
2016-04-06,120
2016-04-07,122
2016-04-08,125
2016-04-09,126
2016-04-10,122
2016-04-11,122
2016-04-12,120
2016-04-13,122
2016-04-14,121
2016-04-15,124
2016-04-16,123
2016-04-17,124
2016-04-18,121
2016-04-19,119
2016-04-20,119
2016-04-21,119
2016-04-22,119
2016-04-23,119
2016-04-24,116
2016-04-25,115
2016-04-26,117
2016-04-27,121
2016-04-28,126
2016-04-29,127
2016-04-30,126
2016-05-01,125
2016-05-02,124
2016-05-03,126
2016-05-04,124
2016-05-05,121
2016-05-06,119
2016-05-07,115
2016-05-08,111
2016-05-09,109
2016-05-10,107
2016-05-11,107
2016-05-12,109
2016-05-13,111
2016-05-14,112
2016-05-15,111
2016-05-16,107
2016-05-17,108
2016-05-18,108
2016-05-19,108
2016-05-22,103
2016-05-23,100
2016-05-24,99
2016-05-25,99
2016-05-26,99
2016-05-27,98
2016-05-28,99
2016-05-29,97
2016-05-30,94
2016-05-31,92
2016-06-01,94
2016-06-02,96
2016-06-03,97
2016-06-04,99
2016-06-05,101
2016-06-06,104
2016-06-07,105
2016-06-08,107
2016-06-09,105
2016-06-10,105
2016-06-11,105
