date_obj,Acorn price
2015-03-05,1077
2015-03-06,1023
2015-03-07,974
2015-03-08,925
2015-03-09,880
2015-03-10,839
2015-03-11,800
2015-03-12,763
2015-03-13,727
2015-03-14,690
2015-03-15,657
2015-03-16,626
2015-03-17,594
2015-03-18,565
2015-03-19,538
2015-03-20,513
2015-03-21,490
2015-03-22,465
2015-03-23,443
2015-03-24,422
2015-03-25,401
2015-03-26,380
2015-03-27,380
2015-03-28,361
2015-03-29,342
2015-03-30,324
2015-03-31,308
2015-04-01,308
2015-04-02,292
2015-04-03,278
2015-04-04,264
2015-04-05,264
2015-04-06,250
2015-04-07,238
2015-04-08,238
2015-04-09,226
2015-04-10,221
2015-04-11,217
2015-04-12,212
2015-04-13,206
2015-04-14,206
2015-04-15,199
2015-04-16,199
2015-04-17,194
2015-04-18,187
2015-04-19,184
2015-04-20,184
2015-04-21,184
2015-04-22,184
2015-04-23,184
2015-04-24,184
2015-04-25,183
2015-04-26,183
2015-04-27,180
2015-04-28,180
2015-04-29,180
2015-04-30,176
2015-05-01,176
2015-05-02,173
2015-05-03,173
2015-05-04,170
2015-05-05,170
2015-05-06,171
2015-05-07,171
2015-05-08,171
2015-05-09,171
2015-05-10,174
2015-05-11,174
2015-05-12,173
2015-05-13,173
2015-05-14,171
2015-05-15,171
2015-05-16,171
2015-05-17,172
2015-05-18,176
2015-05-19,176
2015-05-20,177
2015-05-21,177
2015-05-22,178
2015-05-23,178
2015-05-24,182
2015-05-25,184
2015-05-26,184
2015-05-27,182
2015-05-28,182
2015-05-29,188
2015-05-30,189
2015-05-31,189
2015-06-01,191
2015-06-02,191
2015-06-03,191
2015-06-04,189
2015-06-05,187
2015-06-06,185
2015-06-07,182
2015-06-08,182
2015-06-09,185
2015-06-10,188
2015-06-11,188
2015-06-12,193
2015-06-13,192
2015-06-14,189
2015-06-15,189
2015-06-16,188
2015-06-17,188
2015-06-18,183
2015-06-19,181
2015-06-20,172
2015-06-21,163
2015-06-22,154
2015-06-23,146
2015-06-24,138
2015-06-25,138
2015-06-26,131
2015-06-27,131
2015-06-28,124
2015-06-29,124
2015-06-30,119
2015-07-01,116
2015-07-02,116
2015-07-03,115
2015-07-04,117
2015-07-05,117
2015-07-06,118
2015-07-07,120
2015-07-08,123
2015-07-09,123
2015-07-10,127
2015-07-11,127
2015-07-12,127
2015-07-13,127
2015-07-14,127
2015-07-15,133
2015-07-16,133
2015-07-17,134
2015-07-18,134
2015-07-19,135
2015-07-20,142
2015-07-21,142
2015-07-22,147
2015-07-23,147
2015-07-24,151
2015-07-25,155
2015-07-26,160
2015-07-27,164
2015-07-28,170
2015-07-29,175
2015-07-30,175
2015-07-31,177
2015-08-01,177
2015-08-02,173
2015-08-03,173
2015-08-04,172
2015-08-05,175
2015-08-06,179
2015-08-07,182
2015-08-08,182
2015-08-09,184
2015-08-10,181
2015-08-11,182
2015-08-12,182
2015-08-13,187
2015-08-14,191
2015-08-15,191
2015-08-16,191
2015-08-17,188
2015-08-18,183
2015-08-19,181
2015-08-20,185
2015-08-21,184
2015-08-22,181
2015-08-23,181
2015-08-24,173
2015-08-25,173
2015-08-26,175
2015-08-27,179
2015-08-28,179
2015-08-29,176
2015-08-30,176
2015-08-31,176
2015-09-02,172
2015-09-07,177
2015-09-08,177
2015-09-10,173
2015-09-14,168
2015-09-16,171
2015-09-22,166
2015-09-23,165
2015-09-24,165
2015-09-25,167
2015-09-27,180
2015-09-28,184
2015-09-29,184
2015-09-30,186
2015-10-05,177
2015-10-06,175
2015-10-07,175
2015-10-08,174
2015-10-09,170
2015-10-10,170
2015-10-11,172
2015-10-12,171
2015-10-13,171
2015-10-14,168
2015-10-15,159
2015-10-16,155
2015-10-17,155
2015-10-18,155
2015-10-19,154
2015-10-20,154
2015-10-22,158
2015-10-23,159
2015-10-24,158
2015-10-25,156
2015-10-26,150
2015-10-27,150
2015-10-28,148
2015-10-29,148
2015-10-30,147
2015-10-31,146
2015-11-01,146
2015-11-02,146
2015-11-03,146
2015-11-04,146
2015-11-05,147
2015-11-06,147
2015-11-07,143
2015-11-08,143
2015-11-09,138
2015-11-10,138
2015-11-11,137
2015-11-12,137
2015-11-13,137
2015-11-14,137
2015-11-15,134
2015-11-16,134
2015-11-17,129
2015-11-18,129
2015-11-19,125
2015-11-20,119
2015-11-21,119
2015-11-22,117
2015-11-23,117
2015-11-24,117
2015-11-25,116
2015-11-26,116
2015-11-27,117
2015-11-28,115
2015-11-29,115
2015-11-30,118
2015-12-01,118
2015-12-02,119
2015-12-03,116
2015-12-04,116
2015-12-05,119
2015-12-06,120
2015-12-07,122
2015-12-08,127
2015-12-09,133
2015-12-10,138
2015-12-11,142
2015-12-12,145
