date_obj,Sapphire%20ring price
2015-03-26,671
2015-03-27,671
2015-03-28,692
2015-03-29,699
2015-03-30,688
2015-03-31,703
2015-04-01,703
2015-04-02,690
2015-04-03,705
2015-04-04,696
2015-04-05,696
2015-04-06,702
2015-04-07,706
2015-04-08,706
2015-04-09,710
2015-04-10,730
2015-04-11,740
2015-04-12,744
2015-04-13,748
2015-04-14,748
2015-04-15,719
2015-04-16,719
2015-04-17,696
2015-04-18,676
2015-04-19,681
2015-04-20,681
2015-04-21,700
2015-04-22,700
2015-04-23,682
2015-04-24,682
2015-04-25,688
2015-04-26,662
2015-04-27,666
2015-04-28,651
2015-04-29,651
2015-04-30,651
2015-05-01,653
2015-05-02,664
2015-05-03,664
2015-05-04,658
2015-05-05,650
2015-05-06,634
2015-05-07,655
2015-05-08,655
2015-05-09,666
2015-05-10,688
2015-05-11,688
2015-05-12,685
2015-05-13,685
2015-05-14,680
2015-05-15,680
2015-05-16,696
2015-05-17,701
2015-05-18,695
2015-05-19,695
2015-05-20,698
2015-05-21,698
2015-05-22,722
2015-05-23,722
2015-05-24,736
2015-05-25,731
2015-05-26,760
2015-05-27,760
2015-05-28,785
2015-05-29,818
2015-05-30,857
2015-05-31,857
2015-06-01,895
2015-06-02,895
2015-06-03,927
2015-06-04,955
2015-06-05,970
2015-06-06,1007
2015-06-07,1047
2015-06-08,1047
2015-06-09,1071
2015-06-10,1062
2015-06-11,1062
2015-06-12,1061
2015-06-13,1105
2015-06-14,1161
2015-06-15,1218
2015-06-16,1279
2015-06-17,1333
2015-06-18,1399
2015-06-19,1466
2015-06-20,1513
2015-06-21,1568
2015-06-22,1560
2015-06-23,1502
2015-06-24,1432
2015-06-25,1432
2015-06-26,1418
2015-06-27,1418
2015-06-28,1354
2015-06-29,1354
2015-06-30,1352
2015-07-01,1371
2015-07-02,1371
2015-07-03,1406
2015-07-04,1434
2015-07-05,1427
2015-07-06,1421
2015-07-07,1448
2015-07-08,1414
2015-07-09,1414
2015-07-10,1379
2015-07-11,1379
2015-07-12,1346
2015-07-13,1346
2015-07-14,1309
2015-07-15,1301
2015-07-16,1339
2015-07-17,1324
2015-07-18,1324
2015-07-19,1329
2015-07-20,1330
2015-07-21,1330
2015-07-22,1373
2015-07-23,1373
2015-07-24,1434
2015-07-25,1456
2015-07-26,1421
2015-07-27,1451
2015-07-28,1457
2015-07-29,1460
2015-07-30,1460
2015-07-31,1489
2015-08-01,1445
2015-08-02,1465
2015-08-03,1465
2015-08-04,1473
2015-08-05,1472
2015-08-06,1426
2015-08-07,1426
2015-08-08,1419
2015-08-09,1456
2015-08-10,1440
2015-08-11,1433
2015-08-12,1433
2015-08-13,1419
2015-08-14,1413
2015-08-15,1413
2015-08-16,1426
2015-08-17,1426
2015-08-18,1429
2015-08-19,1429
2015-08-20,1472
2015-08-21,1534
2015-08-22,1534
2015-08-23,1576
2015-08-24,1646
2015-08-25,1646
2015-08-26,1715
2015-08-27,1720
2015-08-28,1720
2015-08-29,1651
2015-08-30,1651
2015-08-31,1586
2015-09-01,1586
2015-09-02,1541
2015-09-03,1541
2015-09-04,1556
2015-09-05,1556
2015-09-06,1548
2015-09-07,1548
2015-09-08,1500
2015-09-09,1500
2015-09-10,1479
2015-09-11,1479
2015-09-12,1473
2015-09-13,1473
2015-09-14,1463
2015-09-15,1423
2015-09-16,1423
2015-09-17,1371
2015-09-18,1371
2015-09-19,1366
2015-09-20,1366
2015-09-21,1351
2015-09-22,1351
2015-09-23,1333
2015-09-24,1333
2015-09-25,1294
2015-09-27,1274
2015-09-28,1274
2015-09-29,1250
2015-09-30,1274
2015-10-05,1321
2015-10-06,1326
2015-10-07,1326
2015-10-08,1287
2015-10-09,1287
2015-10-10,1303
2015-10-11,1303
2015-10-12,1303
2015-10-13,1315
2015-10-14,1315
2015-10-15,1319
2015-10-16,1319
2015-10-17,1342
2015-10-18,1342
2015-10-19,1336
2015-10-20,1336
2015-10-22,1286
2015-10-23,1274
2015-10-24,1274
2015-10-25,1258
