date_obj,Steel%20axe price
2015-03-26,275
2015-03-27,275
2015-03-28,261
2015-03-29,247
2015-03-30,234
2015-03-31,222
2015-04-01,210
2015-04-02,199
2015-04-03,189
2015-04-04,179
2015-04-05,170
2015-04-06,161
2015-04-07,152
2015-04-08,145
2015-04-09,137
2015-04-10,130
2015-04-11,123
2015-04-12,116
2015-04-13,110
2015-04-14,104
2015-04-15,98
2015-04-16,93
2015-04-17,88
2015-04-18,83
2015-04-19,78
2015-04-20,74
2015-04-21,70
2015-04-22,66
2015-04-23,62
2015-04-24,58
2015-04-25,55
2015-04-26,52
2015-04-27,50
2015-04-28,48
2015-04-29,48
2015-04-30,45
2015-05-01,42
2015-05-02,40
2015-05-03,39
2015-05-04,38
2015-05-05,37
2015-05-06,35
2015-05-07,35
2015-05-08,33
2015-05-09,32
2015-05-10,32
2015-05-11,32
2015-05-12,31
2015-05-13,29
2015-05-14,29
2015-05-15,27
2015-05-16,26
2015-05-17,25
2015-05-18,23
2015-05-19,23
2015-05-20,23
2015-05-21,24
2015-05-22,23
2015-05-23,23
2015-05-24,22
2015-05-25,22
2015-05-26,21
2015-05-27,21
2015-05-28,22
2015-05-29,23
2015-05-30,24
2015-05-31,25
2015-06-01,25
2015-06-02,26
2015-06-03,25
2015-06-04,24
2015-06-05,24
2015-06-06,23
2015-06-07,22
2015-06-08,20
2015-06-09,19
2015-06-10,18
2015-06-11,18
2015-06-12,18
2015-06-13,18
2015-06-14,18
2015-06-15,18
2015-06-16,18
2015-06-17,18
2015-06-18,18
2015-06-19,18
2015-06-20,18
2015-06-21,18
2015-06-22,18
2015-06-23,17
2015-06-24,17
2015-06-25,17
2015-06-26,18
2015-06-27,18
2015-06-28,18
2015-06-29,18
2015-06-30,18
2015-07-01,18
2015-07-02,18
2015-07-03,17
2015-07-04,17
2015-07-05,17
2015-07-06,17
2015-07-07,17
2015-07-08,17
2015-07-09,17
2015-07-10,17
2015-07-11,17
2015-07-12,18
2015-07-13,18
2015-07-14,18
2015-07-15,18
2015-07-16,18
2015-07-17,18
2015-07-18,17
2015-07-19,17
2015-07-20,17
2015-07-21,16
2015-07-22,16
2015-07-23,16
2015-07-24,16
2015-07-25,16
2015-07-26,16
2015-07-27,16
2015-07-28,16
2015-07-29,16
2015-07-30,16
2015-07-31,15
2015-08-01,15
2015-08-02,15
2015-08-03,14
2015-08-04,13
2015-08-05,13
2015-08-06,12
2015-08-07,12
2015-08-08,11
2015-08-09,11
2015-08-10,11
2015-08-11,11
2015-08-12,11
2015-08-13,11
2015-08-14,12
2015-08-15,12
2015-08-16,12
2015-08-17,12
2015-08-18,13
2015-08-19,13
2015-08-20,13
2015-08-21,14
2015-08-22,14
2015-08-23,14
2015-08-24,15
2015-08-25,15
2015-08-26,16
2015-08-27,16
2015-08-28,17
2015-08-29,18
2015-08-30,18
2015-08-31,18
2015-09-01,19
2015-09-02,19
2015-09-03,19
2015-09-04,19
2015-09-05,19
2015-09-06,19
2015-09-07,19
2015-09-08,19
2015-09-09,20
2015-09-10,19
2015-09-11,19
2015-09-12,18
2015-09-13,17
2015-09-14,16
2015-09-15,15
2015-09-16,15
2015-09-17,15
2015-09-18,15
2015-09-19,15
2015-09-20,15
2015-09-21,15
2015-09-22,15
2015-09-23,15
2015-09-24,15
2015-09-25,15
2015-09-27,15
2015-09-28,15
2015-09-29,16
2015-09-30,16
2015-10-05,14
2015-10-06,14
2015-10-07,14
2015-10-08,13
2015-10-09,13
2015-10-10,13
2015-10-11,13
2015-10-12,13
2015-10-13,14
2015-10-14,14
2015-10-15,14
2015-10-16,14
2015-10-17,14
