date_obj,Cannonball price
2015-03-04,194
2015-03-05,195
2015-03-06,196
2015-03-07,194
2015-03-08,189
2015-03-09,184
2015-03-10,181
2015-03-11,180
2015-03-12,186
2015-03-13,191
2015-03-14,193
2015-03-15,192
2015-03-16,191
2015-03-17,188
2015-03-18,186
2015-03-19,185
2015-03-20,187
2015-03-21,191
2015-03-22,192
2015-03-23,189
2015-03-24,187
2015-03-25,186
2015-03-26,185
2015-03-27,184
2015-03-28,184
2015-03-29,182
2015-03-30,177
2015-03-31,176
2015-04-01,177
2015-04-02,179
2015-04-03,180
2015-04-04,181
2015-04-05,182
2015-04-06,181
2015-04-07,180
2015-04-08,179
2015-04-09,178
2015-04-10,178
2015-04-11,178
2015-04-12,177
2015-04-13,177
2015-04-14,176
2015-04-15,175
2015-04-16,175
2015-04-17,175
2015-04-18,177
2015-04-19,177
2015-04-20,178
2015-04-21,180
2015-04-22,181
2015-04-23,183
2015-04-24,186
2015-04-25,187
2015-04-26,186
2015-04-27,185
2015-04-28,185
2015-04-29,184
2015-04-30,183
2015-05-01,183
2015-05-02,184
2015-05-03,184
2015-05-04,182
2015-05-05,179
2015-05-06,176
2015-05-07,178
2015-05-08,181
2015-05-09,181
2015-05-10,179
2015-05-11,178
2015-05-12,179
2015-05-13,181
2015-05-14,185
2015-05-15,190
2015-05-16,194
2015-05-17,198
2015-05-18,202
2015-05-19,207
2015-05-20,212
2015-05-21,218
2015-05-22,218
2015-05-23,216
2015-05-24,211
2015-05-25,204
2015-05-26,197
2015-05-27,196
2015-05-28,202
2015-05-29,209
2015-05-30,213
2015-05-31,211
2015-06-01,208
2015-06-02,207
2015-06-03,207
2015-06-04,213
2015-06-05,223
2015-06-06,235
2015-06-07,242
2015-06-08,243
2015-06-09,241
2015-06-10,234
2015-06-11,230
2015-06-12,232
2015-06-13,232
2015-06-14,226
2015-06-15,219
2015-06-16,214
2015-06-17,211
2015-06-18,210
2015-06-19,212
2015-06-20,212
2015-06-21,209
2015-06-22,205
2015-06-23,203
2015-06-24,201
2015-06-25,200
2015-06-26,204
2015-06-27,209
2015-06-28,209
2015-06-29,209
2015-06-30,211
2015-07-01,216
2015-07-02,218
2015-07-03,221
2015-07-04,221
2015-07-05,220
2015-07-06,219
2015-07-07,215
2015-07-08,210
2015-07-09,205
2015-07-10,201
2015-07-11,198
2015-07-12,192
2015-07-13,188
2015-07-14,186
2015-07-15,189
2015-07-16,191
2015-07-17,191
2015-07-18,193
2015-07-19,191
2015-07-20,189
2015-07-21,191
2015-07-22,191
2015-07-23,190
2015-07-24,192
2015-07-25,193
2015-07-26,194
2015-07-27,192
2015-07-28,193
2015-07-29,199
2015-07-30,207
2015-07-31,210
2015-08-01,215
2015-08-02,218
2015-08-03,216
2015-08-04,216
2015-08-05,216
2015-08-06,223
2015-08-07,226
2015-08-08,226
2015-08-09,223
2015-08-10,219
2015-08-11,213
2015-08-12,205
2015-08-13,199
2015-08-14,193
2015-08-15,190
2015-08-16,189
2015-08-17,189
2015-08-18,195
2015-08-19,200
2015-08-20,208
2015-08-21,215
2015-08-22,221
2015-08-23,224
2015-08-24,233
2015-08-25,242
2015-08-26,250
2015-08-27,248
2015-08-28,242
2015-08-29,236
2015-08-30,229
2015-09-22,228
2015-09-23,236
2015-09-24,244
2015-09-25,248
2015-09-27,234
2015-09-28,231
2015-09-29,232
2015-09-30,238
2015-10-05,236
2015-10-06,231
2015-10-07,227
2015-10-08,228
2015-10-09,224
2015-10-10,223
2015-10-11,220
2015-10-12,216
2015-10-13,217
2015-10-14,217
2015-10-15,220
2015-10-16,221
2015-10-17,222
2015-10-18,223
2015-10-19,224
2015-10-20,228
2015-10-22,240
2015-10-23,239
2015-10-24,237
2015-10-25,235
2015-10-26,235
2015-10-27,238
2015-10-29,245
2015-10-30,251
2015-10-31,252
2015-11-01,253
2015-11-02,247
2015-11-03,243
2015-11-04,241
2015-11-05,245
2015-11-06,248
2015-11-07,246
2015-11-08,245
2015-11-09,248
2015-11-10,252
2015-11-11,258
2015-11-12,261
2015-11-13,256
2015-11-14,250
2015-11-15,244
2015-11-16,240
2015-11-17,239
2015-11-18,239
2015-11-19,243
2015-11-20,240
2015-11-21,239
2015-11-22,238
2015-11-23,237
2015-11-24,239
2015-11-25,242
2015-11-26,246
2015-11-27,250
2015-11-28,247
2015-11-29,244
2015-11-30,243
2015-12-01,242
2015-12-02,243
2015-12-03,247
2015-12-04,245
2015-12-05,242
2015-12-06,243
2015-12-07,241
2015-12-08,240
2015-12-09,242
2015-12-10,247
2015-12-11,249
2015-12-12,245
2015-12-13,245
2015-12-14,246
2015-12-15,245
2015-12-16,247
2015-12-17,249
2015-12-18,245
2015-12-19,241
2015-12-20,238
2015-12-21,235
2015-12-22,234
2015-12-23,230
2015-12-24,226
2015-12-25,221
2015-12-26,217
2015-12-27,217
2015-12-28,220
2015-12-29,219
2015-12-30,218
2015-12-31,216
2016-01-01,212
2016-01-02,208
2016-01-03,208
2016-01-04,211
2016-01-05,215
2016-01-06,223
2016-01-07,233
2016-01-08,238
2016-01-09,238
2016-01-10,233
2016-01-11,229
2016-01-12,230
2016-01-13,237
2016-01-14,241
2016-01-15,236
2016-01-16,230
2016-01-17,225
2016-01-18,223
2016-01-19,223
2016-01-20,229
2016-01-21,241
2016-01-22,251
2016-01-23,250
2016-01-24,245
2016-01-25,243
2016-01-26,242
2016-01-27,243
2016-01-28,247
2016-01-29,247
2016-01-30,246
2016-01-31,242
2016-02-01,237
2016-02-02,233
2016-02-03,236
2016-02-04,245
2016-02-05,249
2016-02-06,252
2016-02-07,262
2016-02-08,261
2016-02-09,271
2016-02-10,284
2016-02-11,293
2016-02-12,293
2016-02-13,285
2016-02-14,281
2016-02-15,273
2016-02-16,270
2016-02-17,263
2016-02-18,255
2016-02-19,246
2016-02-20,236
2016-02-21,232
2016-02-22,235
2016-02-23,236
2016-02-24,244
2016-02-25,251
2016-02-26,249
2016-02-27,250
2016-02-28,250
2016-02-29,257
2016-03-01,270
2016-03-02,283
2016-03-03,297
2016-03-04,306
2016-03-05,303
2016-03-06,297
2016-03-07,292
2016-03-08,288
2016-03-09,284
2016-03-10,288
2016-03-11,289
2016-03-12,282
2016-03-13,269
2016-03-14,258
2016-03-15,259
2016-03-16,262
2016-03-17,270
2016-03-18,267
2016-03-19,260
2016-03-20,255
2016-03-21,256
2016-03-22,258
2016-03-23,261
2016-03-24,273
2016-03-25,281
2016-03-26,272
2016-03-27,267
2016-03-28,263
2016-03-29,268
2016-03-30,270
2016-03-31,274
2016-04-01,272
2016-04-02,267
2016-04-03,264
2016-04-04,269
2016-04-05,270
2016-04-06,270
2016-04-07,276
2016-04-08,273
2016-04-09,269
2016-04-10,264
2016-04-11,263
2016-04-12,260
2016-04-13,261
2016-04-14,264
2016-04-15,264
2016-04-16,262
2016-04-17,261
2016-04-18,260
2016-04-19,261
2016-04-20,258
2016-04-21,258
2016-04-22,256
2016-04-23,254
2016-04-24,252
2016-04-25,254
2016-04-26,255
2016-04-27,259
2016-04-28,263
2016-04-29,268
2016-04-30,268
2016-05-01,268
2016-05-02,265
2016-05-03,264
2016-05-04,262
2016-05-05,267
2016-05-06,268
2016-05-07,267
2016-05-08,264
2016-05-09,261
2016-05-10,255
2016-05-11,251
2016-05-12,249
2016-05-13,245
2016-05-14,243
2016-05-15,241
2016-05-16,240
2016-05-17,242
2016-05-18,247
2016-05-19,252
2016-05-22,245
2016-05-23,242
2016-05-24,239
2016-05-25,240
2016-05-26,244
2016-05-27,246
2016-05-28,246
2016-05-29,245
2016-05-30,244
2016-05-31,243
2016-06-01,243
2016-06-02,251
2016-06-03,256
2016-06-04,252
2016-06-05,250
2016-06-06,245
2016-06-07,241
2016-06-08,242
2016-06-09,249
2016-06-10,249
2016-06-11,249
2016-06-12,249
2016-06-13,249
2016-06-14,249
2016-06-15,249
