date_obj,Seaweed price
2015-03-04,60
2015-03-05,57
2015-03-06,54
2015-03-07,51
2015-03-08,48
2015-03-09,48
2015-03-10,45
2015-03-11,45
2015-03-12,44
2015-03-13,44
2015-03-14,46
2015-03-15,46
2015-03-16,47
2015-03-17,47
2015-03-18,47
2015-03-19,48
2015-03-20,48
2015-03-21,50
2015-03-22,50
2015-03-23,50
2015-03-24,51
2015-03-25,51
2015-03-26,51
2015-03-27,51
2015-03-28,52
2015-03-29,53
2015-03-30,54
2015-03-31,54
2015-04-01,54
2015-04-02,54
2015-04-03,52
2015-04-04,52
2015-04-05,52
2015-04-06,54
2015-04-07,54
2015-04-08,55
2015-04-09,55
2015-04-10,54
2015-04-11,53
2015-04-12,53
2015-04-13,53
2015-04-14,53
2015-04-15,53
2015-04-16,53
2015-04-17,52
2015-04-18,49
2015-04-19,48
2015-04-20,48
2015-04-21,47
2015-04-22,47
2015-04-23,46
2015-04-24,46
2015-04-25,46
2015-04-26,46
2015-04-27,44
2015-04-28,41
2015-04-29,41
2015-04-30,41
2015-05-01,41
2015-05-02,43
2015-05-03,43
2015-05-04,41
2015-05-05,41
2015-05-06,39
2015-05-07,39
2015-05-08,39
2015-05-09,39
2015-05-10,39
2015-05-11,39
2015-05-12,40
2015-05-13,40
2015-05-14,40
2015-05-15,40
2015-05-16,41
2015-05-17,44
2015-05-18,44
2015-05-19,47
2015-05-20,47
2015-05-21,47
2015-05-22,49
2015-05-23,49
2015-05-24,51
2015-05-25,51
2015-05-26,51
2015-05-27,51
2015-05-28,52
2015-05-29,53
2015-05-30,52
2015-05-31,52
2015-06-01,52
2015-06-02,52
2015-06-03,50
2015-06-04,48
2015-06-05,46
2015-06-06,44
2015-06-07,43
2015-06-08,43
2015-06-09,43
2015-06-10,45
2015-06-11,45
2015-06-12,47
2015-06-13,47
2015-06-14,47
2015-06-15,47
2015-06-16,45
2015-06-17,45
2015-06-18,43
2015-06-19,40
2015-06-20,39
2015-06-21,39
2015-06-22,38
2015-06-23,38
2015-06-24,40
2015-06-25,40
2015-06-26,41
2015-06-27,41
2015-06-28,40
2015-06-29,40
2015-06-30,41
2015-07-01,43
2015-07-02,43
2015-07-03,45
2015-07-04,46
2015-07-05,46
2015-07-06,47
2015-07-07,49
2015-07-08,50
2015-07-09,50
2015-07-10,52
2015-07-11,52
2015-07-12,51
2015-07-13,49
2015-07-14,46
2015-07-15,43
2015-07-16,41
2015-07-17,40
2015-07-18,40
2015-07-19,41
