date_obj,Bowl%20of%20water price
2019-08-20,58
2019-08-21,56
2019-08-22,57
2019-08-23,57
2019-08-24,57
2019-08-24,57
2019-08-25,56
2019-08-25,56
2019-08-26,56
2019-08-26,56
2019-08-27,56
2019-08-27,56
2019-08-28,57
2019-08-29,57
2019-08-30,57
2019-08-31,56
2019-09-01,57
2019-09-02,56
2019-09-03,56
2019-09-04,57
2019-09-05,55
2019-09-06,56
2019-09-07,58
2019-09-08,57
2019-09-09,58
2019-09-10,58
2019-09-11,56
2019-09-12,57
2019-09-13,56
2019-09-14,56
2019-09-15,56
2019-09-16,58
2019-09-17,57
2019-09-18,54
2019-09-19,56
2019-09-20,55
2019-09-21,55
2019-09-22,56
2019-09-23,55
2019-09-24,55
2019-09-25,56
2019-09-26,57
2019-09-27,58
2019-09-28,58
2019-09-29,58
2019-09-30,59
2019-10-01,60
2019-10-02,61
2019-10-03,60
2019-10-04,60
2019-10-05,61
2019-10-06,60
2019-10-07,58
2019-10-08,60
2019-10-09,60
2019-10-10,59
2019-10-11,59
2019-10-12,58
2019-10-13,56
2019-10-14,56
2019-10-15,56
2019-10-16,56
2019-10-17,55
2019-10-18,55
2019-10-19,55
2019-10-20,55
2019-10-21,55
2019-10-22,55
2019-10-23,56
2019-10-24,56
2019-10-25,56
2019-10-26,56
2019-10-27,56
2019-10-28,57
2019-10-29,56
2019-10-30,56
2019-10-31,56
2019-11-01,55
2019-11-02,52
2019-11-03,51
2019-11-04,50
2019-11-05,50
2019-11-06,51
2019-11-07,52
2019-11-08,51
2019-11-09,49
2019-11-10,48
2019-11-11,50
2019-11-12,49
2019-11-13,49
2019-11-14,48
2019-11-15,47
2019-11-16,46
2019-11-17,46
2019-11-18,46
2019-11-19,46
2019-11-20,45
2019-11-21,45
2019-11-22,43
2019-11-23,40
2019-11-24,38
2019-11-25,39
2019-11-26,41
2019-11-27,42
2019-11-28,42
2019-11-29,44
2019-11-30,44
2019-12-01,41
2019-12-02,41
2019-12-03,43
2019-12-04,41
2019-12-05,42
2019-12-06,44
2019-12-07,42
2019-12-08,42
2019-12-09,43
2019-12-10,43
2019-12-11,44
2019-12-12,43
2019-12-13,43
2019-12-14,43
2019-12-15,44
2019-12-16,43
2019-12-17,43
2019-12-18,40
2019-12-19,40
2019-12-20,40
2019-12-21,40
2019-12-22,41
2019-12-23,41
2019-12-24,41
2019-12-25,38
2019-12-26,36
2019-12-27,36
2019-12-28,35
2019-12-29,34
2019-12-30,33
2019-12-31,33
2020-01-01,34
2020-01-02,34
2020-01-03,33
2020-01-04,33
2020-01-05,33
2020-01-06,32
2020-01-07,31
2020-01-08,31
2020-01-09,31
2020-01-10,32
2020-01-11,33
2020-01-12,32
2020-01-13,31
2020-01-14,31
2020-01-15,31
2020-01-16,31
2020-01-17,31
2020-01-18,30
2020-01-19,30
2020-01-20,32
2020-01-21,32
2020-01-22,30
2020-01-23,29
2020-01-24,27
2020-01-25,25
2020-01-26,25
2020-01-27,25
2020-01-28,24
2020-01-29,25
2020-01-30,24
2020-01-31,23
2020-02-01,23
2020-02-02,22
2020-02-03,22
2020-02-04,22
2020-02-05,22
2020-02-06,23
2020-02-07,23
2020-02-08,23
2020-02-09,22
2020-02-10,21
2020-02-11,21
2020-02-12,21
2020-02-13,21
2020-02-14,21
2020-02-15,21
2020-02-16,22
2020-02-17,23
2020-02-18,23
2020-02-19,25
2020-02-20,26
2020-02-21,27
2020-02-22,26
2020-02-23,26
2020-02-24,27
2020-02-25,28
2020-02-26,28
2020-02-27,28
2020-02-28,28
2020-02-29,29
2020-03-01,28
2020-03-02,28
2020-03-03,29
2020-03-04,30
2020-03-05,30
2020-03-06,29
2020-03-07,29
2020-03-08,30
2020-03-09,30
2020-03-10,29
2020-03-11,30
2020-03-12,29
2020-03-13,28
2020-03-14,27
2020-03-15,26
2020-03-16,26
2020-03-17,27
2020-03-18,25
2020-03-19,26
2020-03-20,26
2020-03-21,26
2020-03-22,26
2020-03-23,26
2020-03-24,26
2020-03-25,26
2020-03-26,25
2020-03-27,26
2020-03-28,27
2020-03-29,27
2020-03-30,26
2020-03-31,27
2020-04-01,27
2020-04-02,27
2020-04-03,29
2020-04-04,30
2020-04-05,32
2020-04-06,33
2020-04-07,34
2020-04-08,35
2020-04-09,37
2020-04-10,39
2020-04-11,40
2020-04-12,40
2020-04-13,40
2020-04-14,41
2020-04-15,44
2020-04-16,47
2020-04-17,50
2020-04-18,53
2020-04-19,56
2020-04-20,58
2020-04-21,61
2020-04-22,65
2020-04-23,69
2020-04-24,73
2020-04-25,73
2020-04-26,71
2020-04-27,70
2020-04-28,68
2020-04-29,66
2020-04-30,66
2020-05-01,70
2020-05-02,69
2020-05-03,68
2020-05-04,66
2020-05-05,65
2020-05-06,65
2020-05-07,67
2020-05-08,71
2020-05-09,72
2020-05-10,72
2020-05-11,74
2020-05-12,72
2020-05-13,74
