date_obj,Iron%20pickaxe price
2015-03-26,706
2015-03-27,706
2015-03-28,670
2015-03-29,636
2015-03-30,615
2015-03-31,604
2015-04-01,604
2015-04-02,578
2015-04-03,550
2015-04-04,530
2015-04-05,530
2015-04-06,504
2015-04-07,478
2015-04-08,478
2015-04-09,454
2015-04-10,433
2015-04-11,426
2015-04-12,413
2015-04-13,396
2015-04-14,396
2015-04-15,382
2015-04-16,366
2015-04-17,356
2015-04-18,343
2015-04-19,338
2015-04-20,338
2015-04-21,326
2015-04-22,326
2015-04-23,321
2015-04-24,319
2015-04-25,321
2015-04-26,323
2015-04-27,313
2015-04-28,305
2015-04-29,305
2015-04-30,292
2015-05-01,280
2015-05-02,280
2015-05-03,280
2015-05-04,272
2015-05-05,273
2015-05-06,274
2015-05-07,261
2015-05-08,256
2015-05-09,253
2015-05-10,250
2015-05-11,250
2015-05-12,252
2015-05-13,262
2015-05-14,272
2015-05-15,280
2015-05-16,280
2015-05-17,287
2015-05-18,287
2015-05-19,286
2015-05-20,286
2015-05-21,276
2015-05-22,266
2015-05-23,254
2015-05-24,249
2015-05-25,240
2015-05-26,231
2015-05-27,224
2015-05-28,217
2015-05-29,217
2015-05-30,222
2015-05-31,219
2015-06-01,214
2015-06-02,214
2015-06-03,206
2015-06-04,204
2015-06-05,199
2015-06-06,199
2015-06-07,195
2015-06-08,188
2015-06-09,180
2015-06-10,172
2015-06-11,168
2015-06-12,165
2015-06-13,166
2015-06-14,168
2015-06-15,170
2015-06-16,175
2015-06-17,180
2015-06-18,183
2015-06-19,190
2015-06-20,196
2015-06-21,203
2015-06-22,209
2015-06-23,218
2015-06-24,225
2015-06-25,225
2015-06-26,230
2015-06-27,230
2015-06-28,238
2015-06-29,241
2015-06-30,247
2015-07-01,250
2015-07-02,250
2015-07-03,251
2015-07-04,252
2015-07-05,250
2015-07-06,244
2015-07-07,237
2015-07-08,232
2015-07-09,232
2015-07-10,225
2015-07-11,225
2015-07-12,231
2015-07-13,235
2015-07-14,241
2015-07-15,248
2015-07-16,247
2015-07-17,246
2015-07-18,243
2015-07-19,242
2015-07-20,234
2015-07-21,237
2015-07-22,236
2015-07-23,236
2015-07-24,241
2015-07-25,240
2015-07-26,248
2015-07-27,255
2015-07-28,268
2015-07-29,276
2015-07-30,272
2015-07-31,283
2015-08-01,278
2015-08-02,278
2015-08-03,272
2015-08-04,273
2015-08-05,276
2015-08-06,273
2015-08-07,266
2015-08-08,258
2015-08-09,258
2015-08-10,266
2015-08-11,277
2015-08-12,277
2015-08-13,286
2015-08-14,300
2015-08-15,300
2015-08-16,314
2015-08-17,330
2015-08-18,343
2015-08-19,360
2015-08-20,368
2015-08-21,370
2015-08-22,368
2015-08-23,368
2015-08-24,365
2015-08-25,365
2015-08-26,364
2015-08-27,358
2015-08-28,352
2015-08-29,351
2015-08-30,351
2015-08-31,352
2015-09-01,359
2015-09-02,359
2015-09-03,359
2015-09-04,352
2015-09-05,352
2015-09-06,344
2015-09-07,341
2015-09-08,347
2015-09-09,351
2015-09-10,347
2015-09-11,347
2015-09-12,348
2015-09-13,353
2015-09-14,351
2015-09-15,343
2015-09-16,343
2015-09-17,327
2015-09-18,327
2015-09-19,318
2015-09-20,302
2015-09-21,296
2015-09-22,292
2015-09-23,282
2015-09-24,282
2015-09-25,278
2015-09-27,263
2015-09-28,257
2015-09-29,251
2015-09-30,246
2015-10-05,233
2015-10-06,235
2015-10-07,238
2015-10-08,241
2015-10-09,237
2015-10-10,237
2015-10-11,235
2015-10-12,232
2015-10-13,232
2015-10-14,230
2015-10-15,229
2015-10-16,229
2015-10-17,229
2015-10-18,227
2015-10-19,225
2015-10-20,223
2015-10-22,225
2015-10-23,229
2015-10-24,233
2015-10-25,237
2015-10-26,233
2015-10-27,233
2015-10-29,241
2015-10-30,241
2015-10-31,242
2015-11-01,242
2015-11-02,250
2015-11-03,262
2015-11-04,262
2015-11-05,270
2015-11-06,276
2015-11-07,276
2015-11-08,276
2015-11-09,275
2015-11-10,270
2015-11-11,275
2015-11-12,280
2015-11-13,280
2015-11-14,274
2015-11-15,271
2015-11-16,266
2015-11-17,262
2015-11-18,255
2015-11-19,265
2015-11-20,268
2015-11-21,268
2015-11-22,272
2015-11-23,272
2015-11-24,277
2015-11-25,275
2015-11-26,275
2015-11-27,276
2015-11-28,268
2015-11-29,259
2015-11-30,257
2015-12-01,257
2015-12-02,256
2015-12-03,257
2015-12-04,257
2015-12-05,254
2015-12-06,258
2015-12-07,266
2015-12-08,256
2015-12-09,259
2015-12-10,262
2015-12-11,262
2015-12-12,263
2015-12-13,266
2015-12-14,266
2015-12-15,267
2015-12-16,270
2015-12-17,270
2015-12-18,270
2015-12-19,269
2015-12-20,273
2015-12-21,278
2015-12-22,278
2015-12-23,276
2015-12-24,278
2015-12-25,280
2015-12-26,279
2015-12-27,278
2015-12-28,285
2015-12-29,290
2015-12-30,294
2015-12-31,290
2016-01-01,295
2016-01-02,303
2016-01-03,305
2016-01-04,306
2016-01-05,305
2016-01-06,303
2016-01-07,310
2016-01-08,304
2016-01-09,306
2016-01-10,310
2016-01-11,312
2016-01-12,312
2016-01-13,313
2016-01-14,317
2016-01-15,318
2016-01-16,320
2016-01-17,325
2016-01-18,338
2016-01-19,351
2016-01-20,360
2016-01-21,370
2016-01-22,373
2016-01-23,381
2016-01-24,383
2016-01-25,384
2016-01-26,379
2016-01-27,383
2016-01-28,383
2016-01-29,391
2016-01-30,391
2016-01-31,398
2016-02-01,401
2016-02-02,402
2016-02-03,411
2016-02-04,425
2016-02-05,432
2016-02-06,439
2016-02-07,446
2016-02-08,459
2016-02-09,478
2016-02-10,494
2016-02-11,498
2016-02-12,512
2016-02-13,517
2016-02-14,517
2016-02-15,517
2016-02-16,515
2016-02-17,506
2016-02-18,500
2016-02-19,492
2016-02-20,486
2016-02-21,485
2016-02-22,485
2016-02-23,490
2016-02-24,495
2016-02-25,487
2016-02-26,487
2016-02-27,490
2016-02-28,497
2016-02-29,506
2016-03-01,508
2016-03-02,510
2016-03-03,520
2016-03-04,512
2016-03-05,505
2016-03-06,493
2016-03-07,483
2016-03-08,471
2016-03-09,464
2016-03-10,455
2016-03-11,454
2016-03-12,448
2016-03-13,441
2016-03-14,440
2016-03-15,434
2016-03-16,438
2016-03-17,442
2016-03-18,444
2016-03-19,432
2016-03-20,425
2016-03-21,420
2016-03-22,415
2016-03-23,418
2016-03-24,430
2016-03-25,436
2016-03-26,432
2016-03-27,421
2016-03-28,406
2016-03-29,388
2016-03-30,388
2016-03-31,375
2016-04-01,378
2016-04-02,371
2016-04-03,355
2016-04-04,345
2016-04-05,344
2016-04-06,341
2016-04-07,338
2016-04-08,335
2016-04-09,326
2016-04-10,329
2016-04-11,329
2016-04-12,336
2016-04-13,352
2016-04-14,359
2016-04-15,372
2016-04-16,383
2016-04-17,399
2016-04-18,410
2016-04-19,411
2016-04-20,424
2016-04-21,432
2016-04-22,432
2016-04-23,439
2016-04-24,446
2016-04-25,448
2016-04-26,447
2016-04-27,433
2016-04-28,433
2016-04-29,430
2016-04-30,415
2016-05-01,397
2016-05-02,397
2016-05-03,393
2016-05-04,387
2016-05-05,386
2016-05-06,386
2016-05-07,386
2016-05-08,386
2016-05-09,393
2016-05-10,405
2016-05-11,417
2016-05-12,427
2016-05-13,433
2016-05-14,438
2016-05-15,433
2016-05-16,437
2016-05-17,436
2016-05-18,436
2016-05-19,435
2016-05-22,429
2016-05-23,422
2016-05-24,406
2016-05-25,395
2016-05-26,388
2016-05-27,374
2016-05-28,363
2016-05-29,355
2016-05-30,351
2016-05-31,355
2016-06-01,355
2016-06-02,351
2016-06-03,349
2016-06-04,342
2016-06-05,337
2016-06-06,339
2016-06-07,347
2016-06-08,350
2016-06-09,351
2016-06-10,352
2016-06-11,358
2016-06-12,355
2016-06-13,359
2016-06-14,359
2016-06-15,356
2016-06-16,361
2016-06-17,363
2016-06-18,367
2016-06-19,365
2016-06-20,365
2016-06-21,364
2016-06-22,361
2016-06-23,346
2016-06-24,343
2016-06-25,344
2016-06-26,346
2016-06-27,337
2016-06-28,330
2016-06-29,323
2016-06-30,313
2016-07-01,310
2016-07-02,298
2016-07-03,297
2016-07-04,293
2016-07-05,291
2016-07-06,295
2016-07-07,289
2016-07-08,291
2016-07-09,291
2016-07-10,291
2016-07-11,288
2016-07-12,290
2016-07-13,292
2016-07-14,294
2016-07-15,300
2016-07-16,307
2016-07-17,310
2016-07-18,317
2016-07-23,283
2016-07-24,276
2016-07-25,268
2016-07-26,260
2016-07-27,255
2016-07-28,252
2016-07-29,241
2016-07-30,231
2016-07-31,231
2016-08-01,230
2016-08-02,231
2016-08-03,224
2016-08-04,216
2016-08-05,212
2016-08-06,209
2016-08-07,210
2016-08-08,211
2016-08-09,210
2016-08-10,208
2016-08-11,208
2016-08-12,206
2016-08-13,199
2016-08-14,196
2016-08-15,194
2016-08-16,194
2016-08-17,190
2016-08-18,192
2016-08-19,193
2016-08-20,185
2016-08-21,175
2016-08-22,175
2016-08-23,176
2016-08-24,168
2016-08-25,167
2016-08-26,167
2016-08-28,171
2016-08-31,173
2016-09-01,176
2016-09-02,176
2016-09-03,177
2016-09-04,176
2016-09-05,176
2016-09-06,175
2016-09-07,175
2016-09-08,183
2016-09-09,192
2016-09-10,202
2016-09-11,202
2016-09-12,211
2016-09-13,219
2016-09-14,219
2016-09-15,221
2016-09-16,221
2016-09-17,231
2016-09-18,236
2016-09-19,242
2016-09-20,242
2016-09-21,243
2016-09-22,250
2016-09-23,253
2016-09-24,253
2016-09-25,254
2016-09-26,254
2016-09-27,259
2016-09-28,269
2016-09-29,269
2016-09-30,271
2016-10-01,265
2016-10-02,265
2016-10-03,254
2016-10-04,252
2016-10-05,250
2016-10-06,244
2016-10-07,244
2016-10-08,243
2016-10-09,243
2016-10-10,243
2016-10-11,241
2016-10-12,242
2016-10-13,240
2016-10-14,237
2016-10-15,237
2016-10-16,235
2016-10-17,236
2016-10-18,234
2016-10-19,241
2016-10-20,237
2016-10-21,239
2016-10-22,239
2016-10-23,239
2016-10-24,232
2016-10-25,232
2016-10-26,229
2016-10-27,230
2016-10-28,230
2016-10-29,224
2016-10-30,221
2016-10-31,217
2016-11-01,217
2016-11-02,221
2016-11-03,221
2016-11-04,217
2016-11-05,217
2016-11-06,220
2016-11-07,220
2016-11-08,220
2016-11-09,221
2016-11-10,224
2016-11-11,219
2016-11-12,224
2016-11-13,221
2016-11-14,221
2016-12-07,262
2016-12-08,259
2016-12-09,254
2016-12-10,254
2016-12-11,253
2016-12-12,244
2016-12-13,242
2016-12-14,240
2016-12-15,240
2016-12-16,239
2016-12-17,246
2016-12-18,248
2016-12-19,247
2016-12-20,255
2016-12-21,262
2016-12-22,267
2016-12-23,271
2016-12-24,279
2016-12-25,289
2016-12-26,300
2016-12-27,304
2016-12-28,314
2016-12-29,315
2016-12-30,320
2016-12-31,327
2017-01-01,325
2017-01-02,319
2017-01-03,321
2017-01-04,318
2017-01-05,318
2017-01-06,315
2017-01-07,309
2017-01-08,314
2017-01-09,322
2017-01-10,317
2017-01-11,321
2017-01-12,322
2017-01-13,324
2017-01-14,325
2017-01-15,340
2017-01-16,347
2017-01-17,364
2017-01-18,375
2017-01-19,360
2017-01-20,354
2017-01-21,364
2017-01-22,380
2017-01-27,375
2017-01-28,362
2017-01-29,355
2017-01-30,349
2017-01-31,349
2017-02-01,348
2017-02-02,360
2017-02-03,355
2017-02-04,341
2017-02-05,326
2017-02-06,317
2017-02-07,308
2017-02-08,298
