date_obj,Small%20fishing%20net price
2015-03-26,170
2015-03-27,170
2015-03-28,179
2015-03-29,188
2015-03-30,197
2015-03-31,207
2015-04-01,207
2015-04-02,216
2015-04-03,222
2015-04-04,222
2015-04-05,222
2015-04-06,218
2015-04-07,222
2015-04-08,222
2015-04-09,230
2015-04-10,238
2015-04-11,247
2015-04-12,254
2015-04-13,263
2015-04-14,263
2015-04-15,271
2015-04-16,271
2015-04-17,264
2015-04-18,253
2015-04-19,255
2015-04-20,255
2015-04-21,261
2015-04-22,261
2015-04-23,269
2015-04-24,280
2015-04-25,287
2015-04-26,300
2015-04-27,296
2015-04-28,297
2015-04-29,297
2015-04-30,304
2015-05-01,308
2015-05-02,301
2015-05-03,301
2015-05-04,311
2015-05-05,320
2015-05-06,321
2015-05-07,322
2015-05-08,314
2015-05-09,307
2015-05-10,294
2015-05-11,294
2015-05-12,297
2015-05-13,297
2015-05-14,308
2015-05-15,308
2015-05-16,321
2015-05-17,331
2015-05-18,331
2015-05-19,324
2015-05-20,324
2015-05-21,326
2015-05-22,329
2015-05-23,329
2015-05-24,327
2015-05-25,319
2015-05-26,314
2015-05-27,314
2015-05-28,303
2015-05-29,307
2015-05-30,302
2015-05-31,313
2015-06-01,326
2015-06-02,326
2015-06-03,319
2015-06-04,329
2015-06-05,315
2015-06-06,299
2015-06-07,290
2015-06-08,275
2015-06-09,261
2015-06-10,247
2015-06-11,234
2015-06-12,230
2015-06-13,242
2015-06-14,254
2015-06-15,264
2015-06-16,277
2015-06-17,290
2015-06-18,301
2015-06-19,313
2015-06-20,322
2015-06-21,338
2015-06-22,347
2015-06-23,334
2015-06-24,322
2015-06-25,322
2015-06-26,314
2015-06-27,314
2015-06-28,298
2015-06-29,283
2015-06-30,268
2015-07-01,261
2015-07-02,261
2015-07-03,271
2015-07-04,270
2015-07-05,272
2015-07-06,273
2015-07-07,273
2015-07-08,271
2015-07-09,271
2015-07-10,270
2015-07-11,270
2015-07-12,272
2015-07-13,272
2015-07-14,273
2015-07-15,272
2015-07-16,272
2015-07-17,273
2015-07-18,273
2015-07-19,272
2015-07-20,272
2015-07-21,269
2015-07-22,272
2015-07-23,272
2015-07-24,271
2015-07-25,268
2015-07-26,271
2015-07-27,269
2015-07-28,270
2015-07-29,272
2015-07-30,271
2015-07-31,266
2015-08-01,268
2015-08-02,267
2015-08-03,266
2015-08-04,267
2015-08-05,270
2015-08-06,269
2015-08-07,267
2015-08-08,267
2015-08-09,267
2015-08-10,267
2015-08-11,269
2015-08-12,269
2015-08-13,268
2015-08-14,269
2015-08-15,268
2015-08-16,267
2015-08-17,273
2015-08-18,284
2015-08-19,286
2015-08-20,281
2015-08-21,290
2015-08-22,293
2015-08-23,293
2015-08-24,283
2015-08-25,283
2015-08-26,284
2015-08-27,293
2015-08-28,302
2015-08-29,311
2015-08-30,311
2015-08-31,299
2015-09-01,297
2015-09-02,297
2015-09-03,291
2015-09-04,286
2015-09-05,286
2015-09-06,286
2015-09-07,282
2015-09-08,279
2015-09-09,280
2015-09-10,281
2015-09-11,275
2015-09-12,282
2015-09-13,281
2015-09-14,280
2015-09-15,281
2015-09-16,281
2015-09-17,282
2015-09-18,282
2015-09-19,287
2015-09-20,288
2015-09-21,297
2015-09-22,294
2015-09-23,288
2015-09-24,288
2015-09-25,287
2015-09-27,282
2015-09-28,279
2015-09-29,279
2015-09-30,276
2015-10-05,245
2015-10-06,241
2015-10-07,239
2015-10-08,237
2015-10-09,237
2015-10-10,237
2015-10-11,237
2015-10-12,237
2015-10-13,237
2015-10-14,235
2015-10-15,232
2015-10-16,227
2015-10-17,227
2015-10-18,232
2015-10-19,227
2015-10-20,232
2015-10-22,231
2015-10-23,228
2015-10-24,232
2015-10-25,223
2015-10-26,222
2015-10-27,222
2015-10-29,228
2015-10-30,228
2015-10-31,227
2015-11-01,227
2015-11-02,229
2015-11-03,227
2015-11-04,226
2015-11-05,226
2015-11-06,226
2015-11-07,226
2015-11-08,226
2015-11-09,226
2015-11-10,226
2015-11-11,222
2015-11-12,220
2015-11-13,220
2015-11-14,221
2015-11-15,220
2015-11-16,223
2015-11-17,219
2015-11-18,219
2015-11-19,218
2015-11-20,215
2015-11-21,215
2015-11-22,214
2015-11-23,214
2015-11-24,213
2015-11-25,214
2015-11-26,214
2015-11-27,211
2015-11-28,209
2015-11-29,212
2015-11-30,213
2015-12-01,213
2015-12-02,211
2015-12-03,211
2015-12-04,211
2015-12-05,216
2015-12-06,225
2015-12-07,236
2015-12-08,247
2015-12-09,244
2015-12-10,250
2015-12-11,254
2015-12-12,265
2015-12-13,274
2015-12-14,274
2015-12-15,284
2015-12-16,286
2015-12-17,286
2015-12-18,279
2015-12-19,286
2015-12-20,293
2015-12-21,301
2015-12-22,309
2015-12-23,318
2015-12-24,307
2015-12-25,291
2015-12-26,276
2015-12-27,262
2015-12-28,248
2015-12-29,243
2015-12-30,246
2015-12-31,245
2016-01-01,245
2016-01-02,243
2016-01-03,242
2016-01-04,246
2016-01-05,256
2016-01-06,259
2016-01-07,246
2016-01-08,233
2016-01-09,221
2016-01-10,214
2016-01-11,213
2016-01-12,207
2016-01-13,196
2016-01-14,194
2016-01-15,195
2016-01-16,194
2016-01-17,194
2016-01-18,187
2016-01-19,188
2016-01-20,194
2016-01-21,198
2016-01-22,191
2016-01-23,183
2016-01-24,173
2016-01-25,166
2016-01-26,170
2016-01-27,173
2016-01-28,173
2016-01-29,175
2016-01-30,175
2016-01-31,169
2016-02-01,169
2016-02-02,178
2016-02-03,187
2016-02-04,196
2016-02-05,206
2016-02-06,217
2016-02-07,227
2016-02-08,238
2016-02-09,244
2016-02-10,231
2016-02-11,219
2016-02-12,208
2016-02-13,208
2016-02-14,208
2016-02-15,217
2016-02-16,227
2016-02-17,233
2016-02-18,227
2016-02-19,231
2016-02-20,238
2016-02-21,248
2016-02-22,248
2016-02-23,257
2016-02-24,258
2016-02-25,267
2016-02-26,267
2016-02-27,276
2016-02-28,283
2016-02-29,290
2016-03-01,303
2016-03-02,308
2016-03-03,310
2016-03-04,313
2016-03-05,317
2016-03-06,321
2016-03-07,330
2016-03-08,332
2016-03-09,325
2016-03-10,320
2016-03-11,319
2016-03-12,315
2016-03-13,319
2016-03-14,316
2016-03-15,310
2016-03-16,303
2016-03-17,301
2016-03-18,298
2016-03-19,295
2016-03-20,292
2016-03-21,291
2016-03-22,288
2016-03-23,282
2016-03-24,279
2016-03-25,277
2016-03-26,274
2016-03-27,272
2016-03-28,273
2016-03-29,268
2016-03-30,268
2016-03-31,264
2016-04-01,263
2016-04-02,262
2016-04-03,260
2016-04-04,248
2016-04-05,235
2016-04-06,223
2016-04-07,211
2016-04-08,200
2016-04-09,197
2016-04-10,198
2016-04-11,198
2016-04-12,198
2016-04-13,198
2016-04-14,190
2016-04-15,187
2016-04-16,183
2016-04-17,187
2016-04-18,195
2016-04-19,202
2016-04-20,208
2016-04-21,216
2016-04-22,225
2016-04-23,233
2016-04-24,241
2016-04-25,242
2016-04-26,245
2016-04-27,246
2016-04-28,247
2016-04-29,247
2016-04-30,245
2016-05-01,245
2016-05-02,245
2016-05-03,247
2016-05-04,247
2016-05-05,247
2016-05-06,248
2016-05-07,250
2016-05-08,259
2016-05-09,262
2016-05-10,257
2016-05-11,258
2016-05-12,255
2016-05-13,252
2016-05-14,252
2016-05-15,251
2016-05-16,250
2016-05-17,251
2016-05-18,254
2016-05-19,256
2016-05-22,256
2016-05-23,259
2016-05-24,256
2016-05-25,264
2016-05-26,270
2016-05-27,274
2016-05-28,277
2016-05-29,278
2016-05-30,284
2016-05-31,285
2016-06-01,282
2016-06-02,273
2016-06-03,266
2016-06-04,271
2016-06-05,269
2016-06-06,267
2016-06-07,264
2016-06-08,261
2016-06-09,257
2016-06-10,254
2016-06-11,253
2016-06-12,252
2016-06-13,246
2016-06-14,245
2016-06-15,245
2016-06-16,246
2016-06-17,245
2016-06-18,244
2016-06-19,247
2016-06-20,245
2016-06-21,246
2016-06-22,246
2016-06-23,247
2016-06-24,246
2016-06-25,243
2016-06-26,241
2016-06-27,245
2016-06-28,247
2016-06-29,243
2016-06-30,245
2016-07-01,244
2016-07-02,240
2016-07-03,244
2016-07-04,244
2016-07-05,246
2016-07-06,244
2016-07-07,245
2016-07-08,245
2016-07-09,246
2016-07-10,246
2016-07-11,247
2016-07-12,248
2016-07-13,247
