date_obj,Egg price
2015-03-26,115
2015-03-27,115
2015-03-28,116
2015-03-29,115
2015-03-30,109
2015-03-31,103
2015-04-01,103
2015-04-02,99
2015-04-03,99
2015-04-04,103
2015-04-05,103
2015-04-06,103
2015-04-07,97
2015-04-08,97
2015-04-09,92
2015-04-10,87
2015-04-11,82
2015-04-12,77
2015-04-13,73
2015-04-14,73
2015-04-15,69
2015-04-16,65
2015-04-17,61
2015-04-18,57
2015-04-19,55
2015-04-20,55
2015-04-21,55
2015-04-22,55
2015-04-23,55
2015-04-24,57
2015-04-25,59
2015-04-26,57
2015-04-27,59
2015-04-28,61
2015-04-29,61
2015-04-30,62
2015-05-01,62
2015-05-02,58
2015-05-03,58
2015-05-04,56
2015-05-05,54
2015-05-06,56
2015-05-07,54
2015-05-08,54
2015-05-09,51
2015-05-10,49
2015-05-11,49
2015-05-12,49
2015-05-13,49
2015-05-14,49
2015-05-15,49
2015-05-16,50
2015-05-17,50
2015-05-18,48
2015-05-19,48
2015-05-20,47
2015-05-21,47
2015-05-22,48
2015-05-23,46
2015-05-24,45
2015-05-25,47
2015-05-26,49
2015-05-27,49
2015-05-28,51
2015-05-29,50
2015-05-30,47
2015-05-31,45
2015-06-01,44
2015-06-02,44
2015-06-03,46
2015-06-04,48
2015-06-05,50
2015-06-06,52
2015-06-07,54
2015-06-08,55
2015-06-09,57
2015-06-10,59
2015-06-11,59
2015-06-12,61
2015-06-13,63
2015-06-14,65
2015-06-15,66
2015-06-16,66
2015-06-17,68
2015-06-18,68
2015-06-19,70
2015-06-20,72
2015-06-21,69
2015-06-22,73
2015-06-23,76
2015-06-24,78
2015-06-25,78
2015-06-26,81
2015-06-27,81
2015-06-28,84
2015-06-29,84
2015-06-30,84
2015-07-01,84
2015-07-02,84
2015-07-03,82
2015-07-04,80
2015-07-05,77
2015-07-06,77
2015-07-07,74
2015-07-08,70
2015-07-09,70
2015-07-10,68
2015-07-11,65
2015-07-12,61
2015-07-13,57
2015-07-14,54
2015-07-15,51
2015-07-16,48
2015-07-17,45
2015-07-18,42
2015-07-19,39
2015-07-20,38
2015-07-21,40
2015-07-22,42
2015-07-23,42
2015-07-24,45
2015-07-25,48
2015-07-26,51
2015-07-27,54
2015-07-28,57
2015-07-29,59
2015-07-30,59
2015-07-31,61
2015-08-01,65
2015-08-02,67
2015-08-03,71
2015-08-04,75
2015-08-05,78
2015-08-06,82
2015-08-07,87
2015-08-08,92
2015-08-09,89
2015-08-10,84
2015-08-11,79
2015-08-12,79
2015-08-13,75
2015-08-14,73
2015-08-15,76
2015-08-16,79
2015-08-17,80
2015-08-18,77
2015-08-19,81
2015-08-20,86
2015-08-21,91
2015-08-22,96
2015-08-23,100
2015-08-24,105
2015-08-25,105
2015-08-26,111
2015-08-27,117
2015-08-28,123
2015-08-29,119
2015-08-30,119
2015-08-31,113
2015-09-01,107
2015-09-02,107
2015-09-03,101
2015-09-04,95
2015-09-05,95
2015-09-06,91
2015-09-07,88
2015-09-08,86
2015-09-09,88
2015-09-10,88
2015-09-11,91
2015-09-12,91
2015-09-13,93
2015-09-14,96
2015-09-15,96
2015-09-16,96
2015-09-17,96
2015-09-18,96
2015-09-19,94
2015-09-20,90
2015-09-21,85
2015-09-22,80
2015-09-23,76
2015-09-24,76
2015-09-25,72
2015-09-27,64
2015-09-28,60
2015-09-29,60
2015-09-30,59
2015-10-05,56
2015-10-06,53
2015-10-07,53
2015-10-08,50
2015-10-09,47
2015-10-10,47
2015-10-11,44
2015-10-12,41
2015-10-13,41
2015-10-14,38
2015-10-15,38
2015-10-16,37
2015-10-17,37
2015-10-18,36
2015-10-19,35
2015-10-20,33
2015-10-22,33
2015-10-23,32
2015-10-24,34
2015-10-25,33
2015-10-26,32
2015-10-27,32
2015-10-29,28
2015-10-30,28
2015-10-31,29
2015-11-01,29
2015-11-02,31
2015-11-03,32
2015-11-04,32
2015-11-05,34
2015-11-06,34
2015-11-07,36
2015-11-08,36
2015-11-09,38
2015-11-10,38
2015-11-11,40
2015-11-12,40
2015-11-13,42
2015-11-14,40
2015-11-15,41
2015-11-16,41
2015-11-17,44
2015-11-18,47
2015-11-19,50
2015-11-20,53
2015-11-21,53
2015-11-22,54
2015-11-23,54
2015-11-24,51
2015-11-25,53
2015-11-26,53
2015-11-27,51
2015-11-28,49
2015-11-29,48
2015-11-30,47
2015-12-01,47
2015-12-02,50
2015-12-03,52
2015-12-04,52
2015-12-05,54
2015-12-06,51
2015-12-07,49
2015-12-08,51
2015-12-09,53
2015-12-10,53
2015-12-11,54
2015-12-12,53
2015-12-13,55
2015-12-14,55
2015-12-15,57
2015-12-16,57
2015-12-17,57
2015-12-18,55
2015-12-19,52
2015-12-20,49
2015-12-21,46
2015-12-22,43
2015-12-23,40
2015-12-24,38
2015-12-25,36
2015-12-26,34
2015-12-27,33
2015-12-28,33
2015-12-29,34
2015-12-30,36
2015-12-31,35
2016-01-01,36
2016-01-02,34
2016-01-03,32
2016-01-04,33
2016-01-05,34
2016-01-06,35
2016-01-07,36
2016-01-08,38
2016-01-09,39
