date_obj,Mixed%20flowers price
2015-03-04,1863
2015-03-05,1863
2015-03-06,1863
2015-03-07,1863
2015-03-08,1773
2015-03-09,1773
2015-03-10,1773
2015-03-11,1773
2015-03-12,1773
2015-03-13,1689
2015-03-14,1689
2015-03-15,1689
2015-03-16,1689
2015-03-17,1610
2015-03-18,1610
2015-03-19,1610
2015-03-20,1610
2015-03-21,1610
2015-03-22,1532
2015-03-23,1532
2015-03-24,1532
2015-03-25,1532
2015-03-26,1532
2015-03-27,1459
2015-03-28,1459
2015-03-29,1459
2015-03-30,1459
2015-03-31,1389
2015-04-01,1389
2015-04-02,1389
2015-04-03,1389
2015-04-04,1322
2015-04-05,1322
2015-04-06,1322
2015-04-07,1322
2015-04-08,1322
2015-04-09,1257
2015-04-10,1257
2015-04-11,1257
2015-04-12,1257
2015-04-13,1196
2015-04-14,1196
2015-04-15,1196
2015-04-16,1196
2015-04-17,1196
2015-04-18,1138
2015-04-19,1138
2015-04-20,1138
2015-04-21,1138
2015-04-22,1138
2015-04-23,1084
2015-04-24,1084
2015-04-25,1084
2015-04-26,1084
2015-04-27,1084
2015-04-28,1031
2015-04-29,1031
2015-04-30,1031
2015-05-01,1031
2015-05-02,1031
2015-05-03,982
2015-05-04,982
2015-05-05,982
2015-05-06,982
2015-05-07,982
2015-05-08,982
2015-05-09,935
2015-05-10,935
2015-05-11,935
2015-05-12,935
2015-05-13,935
2015-05-14,935
2015-05-15,890
2015-05-16,890
2015-05-17,890
2015-05-18,890
2015-05-19,890
2015-05-20,890
2015-05-21,890
2015-05-22,846
2015-05-23,846
2015-05-24,846
2015-05-25,846
2015-05-26,846
2015-05-27,804
2015-05-28,804
2015-05-29,804
2015-05-30,804
2015-05-31,766
2015-06-01,766
2015-06-02,766
2015-06-03,766
2015-06-04,766
2015-06-05,766
2015-06-06,729
2015-06-07,729
2015-06-08,729
2015-06-09,729
2015-06-10,729
2015-06-11,729
2015-06-12,695
2015-06-13,695
2015-06-14,695
2015-06-15,695
2015-06-16,695
2015-06-17,695
2015-06-18,662
2015-06-19,662
2015-06-20,662
2015-06-21,662
2015-06-22,662
2015-06-23,630
2015-06-24,630
2015-06-25,630
2015-06-26,630
2015-06-27,630
2015-06-28,600
2015-06-29,600
2015-06-30,600
2015-07-01,600
2015-07-02,600
2015-07-03,600
2015-07-04,572
2015-07-05,572
2015-07-06,572
2015-07-07,572
2015-07-08,572
2015-07-09,572
2015-07-10,545
2015-07-11,545
2015-07-12,545
2015-07-13,545
2015-07-14,545
2015-07-15,545
2015-07-16,520
2015-07-17,520
2015-07-18,520
2015-07-19,520
2015-07-20,520
2015-07-21,520
2015-07-22,495
2015-07-23,495
2015-07-24,495
2015-07-25,495
2015-07-26,495
2015-07-27,495
2015-07-28,472
2015-07-29,472
2015-07-30,472
2015-07-31,472
2015-08-01,472
2015-08-02,450
2015-08-03,450
2015-08-04,450
2015-08-05,450
2015-08-06,450
2015-08-07,450
2015-08-08,429
2015-08-09,429
2015-08-10,429
2015-08-11,429
2015-08-12,429
2015-08-13,429
2015-08-14,429
2015-08-15,429
2015-08-16,429
2015-08-17,409
2015-08-18,409
2015-08-19,409
2015-08-20,409
2015-08-21,409
2015-08-22,409
2015-08-23,409
2015-08-24,409
2015-08-25,389
2015-08-26,389
2015-08-27,389
2015-08-28,389
2015-08-29,389
2015-08-30,389
2015-08-31,389
2015-09-02,370
2015-09-07,370
2015-09-08,370
2015-09-10,370
2015-09-14,352
2015-09-16,352
2015-09-22,335
2015-09-23,335
2015-09-24,335
2015-09-25,335
2015-09-27,335
2015-09-28,335
2015-09-29,319
2015-09-30,319
2015-10-05,319
2015-10-06,319
2015-10-07,319
2015-10-08,319
2015-10-09,319
2015-10-10,304
2015-10-11,304
2015-10-12,304
2015-10-13,304
2015-10-14,304
2015-10-15,304
2015-10-16,304
2015-10-17,304
2015-10-18,304
2015-10-19,304
2015-10-20,304
2015-10-22,289
2015-10-23,289
2015-10-24,289
2015-10-25,289
2015-10-26,289
2015-10-27,289
2015-10-29,289
2015-10-30,289
2015-10-31,275
2015-11-01,275
2015-11-02,275
2015-11-03,275
2015-11-04,275
2015-11-05,275
2015-11-06,275
2015-11-07,275
2015-11-08,275
2015-11-09,275
2015-11-10,275
2015-11-11,275
2015-11-12,262
2015-11-13,262
2015-11-14,262
2015-11-15,262
2015-11-16,262
2015-11-17,262
2015-11-18,262
2015-11-19,262
2015-11-20,262
2015-11-21,262
2015-11-22,262
2015-11-23,262
2015-11-24,249
2015-11-25,249
2015-11-26,249
2015-11-27,249
2015-11-28,249
2015-11-29,249
2015-11-30,249
2015-12-01,249
2015-12-02,249
2015-12-03,249
2015-12-04,237
2015-12-05,237
2015-12-06,237
2015-12-07,237
2015-12-08,237
2015-12-09,237
2015-12-10,237
2015-12-11,237
2015-12-12,237
2015-12-13,237
2015-12-14,226
2015-12-15,226
2015-12-16,226
2015-12-17,226
2015-12-18,226
2015-12-19,226
2015-12-20,226
2015-12-21,226
2015-12-22,226
2015-12-23,215
2015-12-24,215
2015-12-25,215
2015-12-26,215
2015-12-27,215
2015-12-28,215
2015-12-29,215
2015-12-30,215
2015-12-31,215
2016-01-01,215
2016-01-02,204
2016-01-03,204
2016-01-04,204
2016-01-05,204
2016-01-06,204
2016-01-07,204
2016-01-08,204
2016-01-09,204
2016-01-10,204
2016-01-11,194
2016-01-12,194
2016-01-13,194
2016-01-14,194
2016-01-15,194
2016-01-16,194
2016-01-17,194
2016-01-18,194
2016-01-19,194
2016-01-20,185
2016-01-21,185
2016-01-22,185
2016-01-23,185
2016-01-24,185
2016-01-25,185
2016-01-26,185
2016-01-27,185
2016-01-28,185
2016-01-29,176
2016-01-30,176
2016-01-31,176
2016-02-01,176
2016-02-02,176
2016-02-03,176
2016-02-04,176
2016-02-05,176
2016-02-06,176
2016-02-07,168
2016-02-08,168
2016-02-09,168
2016-02-10,168
2016-02-11,168
2016-02-12,168
2016-02-13,168
2016-02-14,168
2016-02-15,168
2016-02-16,160
2016-02-17,160
2016-02-18,160
2016-02-19,160
2016-02-20,160
2016-02-21,160
2016-02-22,160
2016-02-23,160
2016-02-24,160
2016-02-25,152
2016-02-26,152
2016-02-27,152
2016-02-28,152
2016-02-29,152
2016-03-01,152
2016-03-02,152
2016-03-03,152
2016-03-04,152
2016-03-05,145
2016-03-06,145
2016-03-07,145
2016-03-08,145
2016-03-09,145
2016-03-10,145
2016-03-11,145
2016-03-12,145
2016-03-13,145
2016-03-14,138
2016-03-15,138
2016-03-16,138
2016-03-17,138
2016-03-18,138
2016-03-19,138
2016-03-20,138
2016-03-21,138
2016-03-22,138
2016-03-23,131
2016-03-24,131
2016-03-25,131
2016-03-26,131
2016-03-27,131
2016-03-28,131
2016-03-29,131
