date_obj,Slayer's%20respite price
2015-03-26,8000
2015-03-27,8000
2015-03-28,8000
2015-03-29,8000
2015-03-30,8000
2015-03-31,8000
2015-04-01,8000
2015-04-02,8000
2015-04-03,8000
2015-04-04,8000
2015-04-05,8000
2015-04-06,8000
2015-04-07,8000
2015-04-08,8000
2015-04-09,8000
2015-04-10,8000
2015-04-11,8000
2015-04-12,8000
2015-04-13,8000
2015-04-14,8000
2015-04-15,8000
2015-04-16,8000
2015-04-17,8000
2015-04-18,8000
2015-04-19,8000
2015-04-20,8000
2015-04-21,7634
2015-04-22,7634
2015-04-23,7634
2015-04-24,7634
2015-04-25,7634
2015-04-26,7634
2015-04-27,7634
2015-04-28,7634
2015-04-29,7634
2015-04-30,7634
2015-05-01,7634
2015-05-02,7634
2015-05-03,7634
2015-05-04,7634
2015-05-05,7634
2015-05-06,7634
2015-05-07,7634
2015-05-08,7634
2015-05-09,7634
2015-05-10,7634
2015-05-11,7634
2015-05-12,7634
2015-05-13,7634
2015-05-14,7634
2015-05-15,7634
2015-05-16,7634
2015-05-17,7634
2015-05-18,7634
2015-05-19,7634
2015-05-20,7634
2015-05-21,7634
2015-05-22,7634
2015-05-23,7634
2015-05-24,7634
2015-05-25,7634
2015-05-26,7634
2015-05-27,7634
2015-05-28,7262
2015-05-29,7262
2015-05-30,7262
2015-05-31,7262
2015-06-01,7262
2015-06-02,7262
2015-06-03,7262
2015-06-04,7262
2015-06-05,7262
2015-06-06,7262
2015-06-07,7262
2015-06-08,7262
2015-06-09,7262
2015-06-10,7262
2015-06-11,7262
2015-06-12,7262
2015-06-13,7262
2015-06-14,7262
2015-06-15,7262
2015-06-16,7262
2015-06-17,7262
2015-06-18,7262
2015-06-19,7262
2015-06-20,7262
2015-06-21,7262
2015-06-22,7262
2015-06-23,7262
2015-06-24,7262
2015-06-25,7262
2015-06-26,7262
2015-06-27,7262
2015-06-28,7262
2015-06-29,7262
2015-06-30,7262
2015-07-01,7262
2015-07-02,7262
2015-07-03,7262
2015-07-04,6909
2015-07-05,6909
2015-07-06,6909
2015-07-07,6909
2015-07-08,6909
2015-07-09,6909
2015-07-10,6909
2015-07-11,6909
2015-07-12,6909
2015-07-13,6909
2015-07-14,6909
2015-07-15,6909
2015-07-16,6909
2015-07-17,6909
2015-07-18,6909
2015-07-19,6909
2015-07-20,6909
2015-07-21,6909
2015-07-22,6909
2015-07-23,6909
2015-07-24,6909
2015-07-25,6909
2015-07-26,6909
2015-07-27,6909
2015-07-28,6909
2015-07-29,6909
2015-07-30,6909
2015-07-31,6909
2015-08-01,6909
2015-08-02,6909
2015-08-03,6909
2015-08-04,6909
2015-08-05,6909
2015-08-06,6909
2015-08-07,6909
2015-08-08,6909
2015-08-09,6909
2015-08-10,6909
2015-08-11,6909
2015-08-12,6909
2015-08-13,6909
2015-08-14,6909
2015-08-15,6909
2015-08-16,6574
2015-08-17,6574
2015-08-18,6574
2015-08-19,6574
2015-08-20,6574
2015-08-21,6574
2015-08-22,6574
2015-08-23,6574
2015-08-24,6574
2015-08-25,6574
2015-08-26,6574
2015-08-27,6574
2015-08-28,6574
2015-08-29,6574
2015-08-30,6574
2015-08-31,6574
2015-09-01,6574
2015-09-02,6574
2015-09-03,6574
2015-09-04,6574
2015-09-05,6574
2015-09-06,6574
2015-09-07,6574
2015-09-08,6574
2015-09-09,6574
2015-09-10,6574
2015-09-11,6574
2015-09-12,6574
2015-09-13,6574
2015-09-14,6574
2015-09-15,6574
2015-09-16,6574
2015-09-17,6574
2015-09-18,6574
2015-09-19,6574
2015-09-20,6574
2015-09-21,6574
2015-09-22,6574
2015-09-23,6574
2015-09-24,6574
2015-09-25,6574
2015-09-27,6279
2015-09-28,6279
2015-09-29,6279
2015-09-30,6279
2015-10-05,6279
2015-10-06,6279
2015-10-07,6279
2015-10-08,6279
2015-10-09,6279
2015-10-10,6279
2015-10-11,6279
2015-10-12,6279
2015-10-13,6279
2015-10-14,6279
2015-10-15,6279
2015-10-16,6279
2015-10-17,6279
2015-10-18,6279
2015-10-19,6279
2015-10-20,6279
2015-10-22,6279
2015-10-23,6279
2015-10-24,6279
2015-10-25,6279
2015-10-26,6279
2015-10-27,6279
2015-10-29,6279
2015-10-30,6279
2015-10-31,6279
2015-11-01,6279
2015-11-02,6279
2015-11-03,6279
2015-11-04,5984
2015-11-05,5984
2015-11-06,5984
2015-11-07,5984
2015-11-08,5984
2015-11-09,5984
2015-11-10,5984
2015-11-11,5984
2015-11-12,5984
2015-11-13,5984
2015-11-14,5984
