date_obj,Body%20talisman price
2015-03-26,1398
2015-03-27,1398
2015-03-28,1328
2015-03-29,1261
2015-03-30,1197
2015-03-31,1138
2015-04-01,1083
2015-04-02,1030
2015-04-03,978
2015-04-04,929
2015-04-05,885
2015-04-06,840
2015-04-07,800
2015-04-08,761
2015-04-09,725
2015-04-10,690
2015-04-11,656
2015-04-12,624
2015-04-13,594
2015-04-14,567
2015-04-15,538
2015-04-16,517
2015-04-17,495
2015-04-18,470
2015-04-19,458
2015-04-20,458
2015-04-21,438
2015-04-22,438
2015-04-23,442
2015-04-24,442
2015-04-25,425
2015-04-26,409
2015-04-27,395
2015-04-28,398
2015-04-29,398
2015-04-30,396
2015-05-01,404
2015-05-02,412
2015-05-03,412
2015-05-04,399
2015-05-05,399
2015-05-06,399
2015-05-07,381
2015-05-08,381
2015-05-09,385
2015-05-10,388
2015-05-11,388
2015-05-12,373
2015-05-13,373
2015-05-14,354
2015-05-15,354
2015-05-16,348
2015-05-17,331
2015-05-18,331
2015-05-19,332
2015-05-20,332
2015-05-21,332
2015-05-22,333
2015-05-23,333
2015-05-24,343
2015-05-25,331
2015-05-26,331
2015-05-27,343
2015-05-28,334
2015-05-29,336
2015-05-30,344
2015-05-31,350
2015-06-01,356
2015-06-02,356
2015-06-03,364
2015-06-04,364
2015-06-05,365
2015-06-06,357
2015-06-07,347
2015-06-08,337
2015-06-09,348
2015-06-10,353
2015-06-11,353
2015-06-12,360
2015-06-13,348
2015-06-14,355
2015-06-15,365
2015-06-16,363
2015-06-17,353
2015-06-18,338
2015-06-19,324
2015-06-20,314
2015-06-21,314
2015-06-22,318
2015-06-23,318
2015-06-24,313
2015-06-25,313
2015-06-26,323
2015-06-27,323
2015-06-28,326
2015-06-29,326
2015-06-30,343
2015-07-01,353
2015-07-02,353
2015-07-03,367
2015-07-04,366
2015-07-05,364
2015-07-06,356
2015-07-07,361
2015-07-08,357
2015-07-09,357
2015-07-10,351
2015-07-11,351
2015-07-12,365
2015-07-13,370
2015-07-14,385
2015-07-15,385
2015-07-16,373
2015-07-17,375
2015-07-18,375
2015-07-19,376
2015-07-20,377
2015-07-21,376
2015-07-22,366
2015-07-23,366
2015-07-24,368
2015-07-25,368
2015-07-26,368
2015-07-27,375
2015-07-28,381
2015-07-29,395
2015-07-30,406
2015-07-31,407
2015-08-01,408
2015-08-02,411
2015-08-03,394
2015-08-04,377
2015-08-05,383
2015-08-06,400
2015-08-07,408
2015-08-08,413
2015-08-09,418
2015-08-10,402
2015-08-11,400
2015-08-12,400
2015-08-13,403
2015-08-14,412
2015-08-15,412
2015-08-16,427
2015-08-17,427
2015-08-18,439
2015-08-19,426
2015-08-20,425
2015-08-21,410
2015-08-22,407
2015-08-23,407
2015-08-24,398
2015-08-25,398
2015-08-26,396
2015-08-27,387
2015-08-28,387
2015-08-29,392
2015-08-30,392
2015-08-31,390
2015-09-01,379
2015-09-02,379
2015-09-03,382
