date_obj,Pyrophosphite price
2017-09-07,58
2017-09-08,58
2017-09-09,61
2017-09-10,61
2017-09-11,65
2017-09-12,65
2017-09-13,65
2017-09-14,69
2017-09-15,69
2017-09-16,69
2017-09-17,73
2017-09-19,73
2017-09-20,73
2017-09-21,77
2017-09-22,77
2017-09-23,77
2017-09-24,77
2017-09-25,77
2017-09-26,81
2017-09-27,81
2017-09-28,81
2017-09-29,81
2017-09-30,81
2017-10-01,78
2017-10-02,78
2017-10-03,78
2017-10-04,78
2017-10-05,78
2017-10-06,78
2017-10-07,75
2017-10-08,75
2017-10-09,75
2017-10-10,75
2017-10-11,75
2017-10-12,75
2017-10-13,75
2017-10-14,71
2017-10-15,71
2017-10-16,71
2017-10-17,71
2017-10-18,71
2017-10-19,71
2017-10-20,71
2017-10-21,71
2017-10-22,70
2017-10-23,70
2017-10-24,70
2017-10-25,70
2017-10-26,70
2017-10-27,70
2017-10-28,70
2017-10-29,66
2017-10-30,66
2017-10-31,66
2017-11-01,66
2017-11-02,66
2017-11-03,66
2017-11-04,66
2017-11-05,62
2017-11-06,62
2017-11-07,62
2017-11-08,62
2017-11-09,62
2017-11-10,62
2017-11-11,62
2017-11-12,62
2017-11-13,62
2017-11-14,58
2017-11-15,58
2017-11-16,58
2017-11-17,58
2017-11-18,58
2017-11-19,58
2017-11-20,58
2017-11-21,58
2017-11-22,58
2017-11-23,55
2017-11-24,55
2017-11-25,55
2017-11-26,55
2017-11-27,55
2017-11-28,55
2017-11-29,55
2017-11-30,55
2017-12-01,55
2017-12-02,55
2017-12-03,52
2017-12-04,52
2017-12-05,52
2017-12-06,52
2017-12-07,52
2017-12-08,52
2017-12-09,52
2017-12-10,52
2017-12-11,52
2017-12-12,49
2017-12-14,49
2017-12-15,49
2017-12-16,49
2017-12-17,49
2017-12-18,49
2017-12-19,49
2017-12-20,49
2017-12-21,49
2017-12-22,46
2017-12-23,46
2017-12-24,46
2017-12-25,46
2017-12-26,46
2017-12-27,46
2017-12-28,46
2017-12-29,46
2017-12-30,43
2017-12-31,43
2018-01-01,43
2018-01-02,43
2018-01-03,43
2018-01-04,43
2018-01-05,43
2018-01-06,43
2018-01-07,40
2018-01-08,40
2018-01-09,40
2018-01-10,40
2018-01-11,40
2018-01-12,40
2018-01-13,40
2018-01-14,40
2018-01-15,38
2018-01-16,38
2018-01-17,38
2018-01-18,38
2018-01-19,38
2018-01-20,37
2018-01-21,37
2018-01-22,37
2018-01-23,37
2018-01-24,36
2018-01-25,36
2018-01-26,36
2018-01-27,36
2018-01-28,36
2018-01-29,36
2018-01-31,36
2018-02-01,36
2018-02-02,36
2018-02-03,36
2018-02-04,36
2018-02-05,36
2018-02-06,36
2018-02-07,35
2018-02-08,35
2018-02-09,35
2018-02-10,35
2018-02-11,35
2018-02-12,33
2018-02-13,33
2018-02-14,33
2018-02-15,33
2018-02-16,33
2018-02-17,32
2018-02-18,32
2018-02-19,32
2018-02-20,33
2018-02-21,33
2018-02-22,33
2018-02-23,33
2018-02-24,33
2018-02-25,35
2018-02-26,35
2018-02-27,35
2018-02-28,35
2018-03-01,37
2018-03-02,37
2018-03-03,37
2018-03-04,37
2018-03-05,37
2018-03-06,39
2018-03-07,39
2018-03-08,39
2018-03-09,39
2018-03-10,39
2018-03-11,41
2018-03-12,41
2018-03-13,41
2018-03-14,41
2018-03-15,41
2018-03-16,41
2018-03-17,44
2018-03-18,44
2018-03-19,44
2018-03-20,44
2018-03-21,44
2018-03-23,47
2018-03-24,47
2018-03-26,47
2018-03-27,47
2018-03-28,47
2018-03-29,49
2018-03-30,49
2018-03-31,49
2018-04-01,49
2018-04-02,49
2018-04-03,48
2018-04-04,48
2018-04-05,48
2018-04-06,48
2018-04-08,48
2018-04-09,46
2018-04-10,46
2018-04-11,46
2018-04-12,46
2018-04-13,46
2018-04-14,46
2018-04-15,45
2018-04-16,45
2018-04-17,45
2018-04-18,45
2018-04-19,45
2018-04-20,45
2018-04-21,45
2018-04-22,45
2018-04-23,45
2018-04-24,45
2018-04-25,45
2018-04-26,45
2018-04-27,45
2018-04-28,42
2018-04-29,42
2018-04-30,42
2018-05-01,42
2018-05-02,42
2018-05-03,42
2018-05-04,40
2018-05-05,40
2018-05-06,40
2018-05-07,40
2018-05-08,40
2018-05-09,40
2018-05-10,40
2018-05-11,40
2018-05-12,40
