date_obj,Iron%20knife price
2015-03-26,57
2015-03-27,57
2015-03-28,57
2015-03-29,57
2015-03-30,57
2015-03-31,57
2015-04-01,58
2015-04-02,59
2015-04-03,59
2015-04-04,59
2015-04-05,59
2015-04-06,58
2015-04-07,58
2015-04-08,57
2015-04-09,57
2015-04-10,57
2015-04-11,57
2015-04-12,57
2015-04-13,57
2015-04-14,58
2015-04-15,58
2015-04-16,58
2015-04-17,58
2015-04-18,58
2015-04-19,58
2015-04-20,58
2015-04-21,58
2015-04-22,59
2015-04-23,60
2015-04-24,61
2015-04-25,62
2015-04-26,62
2015-04-27,62
2015-04-28,62
2015-04-29,62
2015-04-30,61
2015-05-01,62
2015-05-02,62
2015-05-03,62
2015-05-04,62
2015-05-05,62
2015-05-06,62
2015-05-07,62
2015-05-08,62
2015-05-09,61
2015-05-10,60
2015-05-11,59
2015-05-12,59
2015-05-13,58
2015-05-14,57
2015-05-15,57
2015-05-16,57
2015-05-17,57
2015-05-18,57
2015-05-19,57
2015-05-20,57
2015-05-21,58
2015-05-22,58
2015-05-23,58
2015-05-24,58
2015-05-25,58
2015-05-26,58
2015-05-27,58
2015-05-28,58
2015-05-29,59
2015-05-30,59
2015-05-31,60
2015-06-01,61
2015-06-02,62
2015-06-03,63
2015-06-04,64
2015-06-05,64
2015-06-06,64
2015-06-07,64
2015-06-08,64
2015-06-09,65
2015-06-10,66
2015-06-11,66
2015-06-12,67
2015-06-13,68
2015-06-14,67
2015-06-15,67
2015-06-16,68
2015-06-17,69
2015-06-18,69
2015-06-19,69
2015-06-20,71
2015-06-21,71
2015-06-22,71
2015-06-23,70
2015-06-24,69
2015-06-25,68
2015-06-26,68
2015-06-27,67
2015-06-28,67
2015-06-29,66
2015-06-30,66
2015-07-01,66
2015-07-02,66
2015-07-03,67
2015-07-04,67
2015-07-05,67
2015-07-06,68
2015-07-07,68
2015-07-08,68
2015-07-09,68
2015-07-10,68
2015-07-11,68
2015-07-12,67
2015-07-13,66
2015-07-14,65
2015-07-15,63
2015-07-16,60
2015-07-17,58
2015-07-18,56
2015-07-19,55
2015-07-20,55
2015-07-21,56
2015-07-22,57
2015-07-23,58
2015-07-24,59
2015-07-25,59
2015-07-26,60
2015-07-27,61
2015-07-28,62
2015-07-29,64
2015-07-30,65
2015-07-31,66
2015-08-01,66
2015-08-02,66
2015-08-03,66
2015-08-04,66
2015-08-05,66
2015-08-06,66
2015-08-07,66
2015-08-08,66
2015-08-09,65
2015-08-10,63
2015-08-11,62
2015-08-12,60
2015-08-13,59
2015-08-14,58
2015-08-15,58
2015-08-16,57
2015-08-17,58
2015-08-18,58
2015-08-19,58
2015-08-20,58
2015-08-21,59
2015-08-22,60
2015-08-23,61
2015-08-24,62
2015-08-25,62
2015-08-26,62
