date_obj,Chisel price
2015-03-26,85
2015-03-27,85
2015-03-28,89
2015-03-29,90
2015-03-30,94
2015-03-31,96
2015-04-01,96
2015-04-02,98
2015-04-03,102
2015-04-04,108
2015-04-05,108
2015-04-06,110
2015-04-07,104
2015-04-08,104
2015-04-09,98
2015-04-10,96
2015-04-11,101
2015-04-12,106
2015-04-13,112
2015-04-14,112
2015-04-15,115
2015-04-16,115
2015-04-17,112
2015-04-18,116
2015-04-19,118
2015-04-20,118
2015-04-21,112
2015-04-22,112
2015-04-23,114
2015-04-24,114
2015-04-25,116
2015-04-26,116
2015-04-27,122
2015-04-28,128
2015-04-29,128
2015-04-30,130
2015-05-01,131
2015-05-02,135
2015-05-03,135
2015-05-04,134
2015-05-05,134
2015-05-06,133
2015-05-07,132
2015-05-08,132
2015-05-09,130
2015-05-10,132
2015-05-11,132
2015-05-12,132
2015-05-13,132
2015-05-14,129
2015-05-15,129
2015-05-16,132
2015-05-17,132
2015-05-18,132
2015-05-19,131
2015-05-20,131
2015-05-21,131
2015-05-22,136
2015-05-23,136
2015-05-24,137
2015-05-25,143
2015-05-26,143
2015-05-27,149
2015-05-28,153
2015-05-29,159
2015-05-30,165
2015-05-31,165
2015-06-01,168
2015-06-02,168
2015-06-03,160
2015-06-04,152
2015-06-05,147
2015-06-06,152
2015-06-07,153
2015-06-08,153
2015-06-09,150
2015-06-10,151
2015-06-11,151
2015-06-12,150
2015-06-13,150
2015-06-14,151
2015-06-15,149
2015-06-16,149
2015-06-17,150
2015-06-18,150
2015-06-19,153
2015-06-20,158
2015-06-21,158
2015-06-22,157
2015-06-23,154
2015-06-24,152
2015-06-25,152
2015-06-26,148
2015-06-27,148
2015-06-28,143
2015-06-29,139
2015-06-30,138
2015-07-01,138
2015-07-02,138
2015-07-03,137
2015-07-04,137
2015-07-05,132
2015-07-06,125
2015-07-07,125
2015-07-08,124
2015-07-09,124
2015-07-10,122
2015-07-11,122
2015-07-12,127
2015-07-13,132
2015-07-14,132
2015-07-15,138
2015-07-16,139
2015-07-17,133
2015-07-18,126
2015-07-19,119
2015-07-20,113
2015-07-21,107
2015-07-22,101
2015-07-23,101
2015-07-24,95
2015-07-25,90
2015-07-26,85
2015-07-27,80
2015-07-28,76
2015-07-29,72
2015-07-30,68
2015-07-31,64
2015-08-01,60
2015-08-02,57
2015-08-03,54
2015-08-04,51
2015-08-05,48
2015-08-06,45
2015-08-07,43
2015-08-08,40
2015-08-09,38
2015-08-10,36
2015-08-11,34
2015-08-12,34
2015-08-13,32
2015-08-14,32
2015-08-15,32
2015-08-16,33
2015-08-17,35
2015-08-18,36
2015-08-19,38
2015-08-20,38
2015-08-21,40
2015-08-22,42
2015-08-23,42
2015-08-24,45
2015-08-25,45
2015-08-26,48
2015-08-27,50
2015-08-28,53
2015-08-29,56
2015-08-30,56
2015-08-31,59
2015-09-01,62
2015-09-02,62
2015-09-03,66
2015-09-04,68
2015-09-05,68
2015-09-06,72
2015-09-07,72
2015-09-08,74
2015-09-09,78
2015-09-10,81
2015-09-11,86
2015-09-12,91
2015-09-13,95
2015-09-14,95
2015-09-15,99
2015-09-16,99
2015-09-17,104
2015-09-18,104
2015-09-19,106
2015-09-20,112
2015-09-21,118
2015-09-22,124
2015-09-23,131
2015-09-24,131
2015-09-25,138
2015-09-27,149
2015-09-28,156
2015-09-29,156
2015-09-30,161
2015-10-05,161
2015-10-06,162
2015-10-07,162
2015-10-08,163
2015-10-09,158
2015-10-10,158
2015-10-11,158
2015-10-12,160
2015-10-13,160
2015-10-14,162
2015-10-15,166
