date_obj,Rune%20arrow price
2015-03-26,109
2015-03-27,108
2015-03-28,106
2015-03-29,110
2015-03-30,109
2015-03-31,107
2015-04-01,107
2015-04-02,107
2015-04-03,107
2015-04-04,109
2015-04-05,111
2015-04-06,111
2015-04-07,112
2015-04-08,112
2015-04-09,112
2015-04-10,114
2015-04-11,117
2015-04-12,116
2015-04-13,115
2015-04-14,113
2015-04-15,113
2015-04-16,116
2015-04-17,117
2015-04-18,115
2015-04-19,117
2015-04-20,119
2015-04-21,120
2015-04-22,120
2015-04-23,122
2015-04-24,123
2015-04-25,121
2015-04-26,118
2015-04-27,116
2015-04-28,114
2015-04-29,111
2015-04-30,111
2015-05-01,115
2015-05-02,113
2015-05-03,110
2015-05-04,109
2015-05-05,110
2015-05-06,111
2015-05-07,113
2015-05-08,116
2015-05-09,119
2015-05-10,122
2015-05-11,126
2015-05-12,125
2015-05-13,120
2015-05-14,116
2015-05-15,116
2015-05-16,116
2015-05-17,117
2015-05-18,117
2015-05-19,117
2015-05-20,115
2015-05-21,115
2015-05-22,116
2015-05-23,118
2015-05-24,121
2015-05-25,122
2015-05-26,123
2015-05-27,125
2015-05-28,127
2015-05-29,131
2015-05-30,133
2015-05-31,134
2015-06-01,128
2015-06-02,128
2015-06-03,127
2015-06-04,126
2015-06-05,127
2015-06-06,129
2015-06-07,133
2015-06-08,129
2015-06-09,129
2015-06-10,135
2015-06-11,141
2015-06-12,138
2015-06-13,142
2015-06-14,142
2015-06-15,140
2015-06-16,138
2015-06-17,136
2015-06-18,138
2015-06-19,138
2015-06-20,142
2015-06-21,144
2015-06-22,144
2015-06-23,147
2015-06-24,150
2015-06-25,157
2015-06-26,158
2015-06-27,163
2015-06-28,163
2015-06-29,162
2015-06-30,161
2015-07-01,165
2015-07-02,165
2015-07-03,161
2015-07-04,162
2015-07-05,160
2015-07-06,157
2015-07-07,155
2015-07-08,152
2015-07-09,152
2015-07-10,149
2015-07-11,149
2015-07-12,150
2015-07-13,147
2015-07-14,144
2015-07-15,142
2015-07-16,145
2015-07-17,147
