date_obj,Spinach%20roll price
2015-03-04,71
2015-03-05,71
2015-03-06,71
2015-03-07,71
2015-03-08,71
2015-03-09,70
2015-03-10,70
2015-03-11,70
2015-03-12,68
2015-03-13,68
2015-03-14,68
2015-03-15,67
2015-03-16,67
2015-03-17,67
2015-03-18,65
2015-03-19,65
2015-03-20,65
2015-03-21,65
2015-03-22,65
2015-03-23,65
2015-03-24,63
2015-03-25,63
2015-03-26,63
2015-03-27,63
2015-03-28,62
2015-03-29,62
2015-03-30,60
2015-03-31,60
2015-04-01,60
2015-04-02,59
2015-04-03,59
2015-04-04,59
2015-04-05,59
2015-04-06,59
2015-04-07,59
2015-04-08,59
2015-04-09,59
2015-04-10,59
2015-04-11,57
2015-04-12,57
2015-04-13,57
2015-04-14,57
2015-04-15,57
2015-04-16,57
2015-04-17,56
2015-04-18,56
2015-04-19,56
2015-04-20,56
2015-04-21,56
2015-04-22,56
2015-04-23,56
2015-04-24,56
2015-04-25,56
2015-04-26,56
2015-04-27,56
2015-04-28,56
2015-04-29,56
2015-04-30,56
2015-05-01,56
2015-05-02,56
2015-05-03,56
2015-05-04,56
2015-05-05,57
2015-05-06,57
2015-05-07,57
2015-05-08,57
2015-05-09,58
2015-05-10,58
2015-05-11,58
2015-05-12,58
2015-05-13,60
2015-05-14,60
2015-05-15,60
2015-05-16,60
2015-05-17,62
2015-05-18,62
2015-05-19,62
2015-05-20,62
2015-05-21,62
2015-05-22,64
2015-05-23,64
2015-05-24,64
2015-05-25,66
2015-05-26,66
2015-05-27,66
2015-05-28,68
2015-05-29,68
2015-05-30,67
2015-05-31,67
2015-06-01,69
2015-06-02,69
2015-06-03,69
2015-06-04,70
2015-06-05,70
2015-06-06,69
2015-06-07,69
2015-06-08,69
2015-06-09,71
2015-06-10,71
2015-06-11,71
2015-06-12,73
2015-06-13,73
2015-06-14,74
2015-06-15,74
2015-06-16,73
2015-06-17,73
2015-06-18,74
2015-06-19,74
2015-06-20,74
2015-06-21,76
2015-06-22,76
2015-06-23,76
2015-06-24,77
2015-06-25,77
2015-06-26,77
2015-06-27,76
2015-06-28,76
2015-06-29,77
2015-06-30,77
2015-07-01,76
2015-07-02,76
2015-07-03,76
2015-07-04,76
2015-07-05,76
2015-07-06,76
2015-07-07,75
2015-07-08,75
2015-07-09,75
2015-07-10,75
2015-07-11,75
2015-07-12,75
2015-07-13,75
2015-07-14,75
2015-07-15,76
2015-07-16,76
2015-07-17,76
2015-07-18,76
2015-07-19,76
2015-07-20,76
2015-07-21,79
2015-07-22,79
2015-07-23,79
2015-07-24,82
2015-07-25,82
2015-07-26,82
2015-07-27,85
2015-07-28,85
2015-07-29,86
2015-07-30,86
2015-07-31,86
2015-08-01,89
2015-08-02,89
2015-08-03,92
2015-08-04,92
2015-08-05,95
2015-08-06,95
2015-08-07,95
2015-08-08,98
2015-08-09,98
2015-08-10,101
2015-08-11,101
2015-08-12,101
2015-08-13,102
2015-08-14,102
2015-08-15,100
2015-08-16,100
2015-08-17,100
2015-08-18,100
2015-08-19,99
2015-08-20,99
2015-08-21,98
2015-08-22,98
2015-08-23,98
2015-08-24,99
2015-08-25,99
2015-08-26,99
2015-08-27,100
2015-08-28,100
2015-08-29,100
2015-08-30,99
2015-08-31,99
2015-09-02,102
2015-09-07,105
2015-09-08,105
2015-09-10,105
2015-09-14,103
2015-09-16,104
2015-09-22,109
2015-09-23,109
2015-09-24,109
2015-09-25,109
2015-09-27,112
2015-09-28,112
2015-09-29,112
2015-09-30,111
2015-10-05,113
2015-10-06,110
2015-10-07,110
2015-10-08,110
2015-10-09,112
2015-10-10,112
2015-10-11,112
2015-10-12,112
2015-10-13,112
2015-10-14,112
2015-10-15,113
2015-10-16,113
2015-10-17,113
2015-10-18,113
2015-10-19,113
2015-10-20,113
2015-10-22,111
2015-10-23,111
2015-10-24,107
2015-10-25,107
2015-10-26,105
2015-10-27,105
2015-10-29,102
2015-10-30,102
2015-10-31,102
2015-11-01,107
2015-11-02,107
2015-11-03,107
2015-11-04,111
2015-11-05,111
2015-11-06,111
2015-11-07,112
2015-11-08,112
2015-11-09,112
2015-11-10,112
2015-11-11,114
2015-11-12,114
2015-11-13,114
2015-11-14,114
2015-11-15,114
2015-11-16,114
2015-11-17,115
2015-11-18,115
2015-11-19,113
2015-11-20,113
2015-11-21,113
2015-11-22,114
2015-11-23,114
2015-11-24,114
2015-11-25,114
2015-11-26,114
2015-11-27,114
2015-11-28,112
2015-11-29,112
2015-11-30,111
2015-12-01,111
2015-12-02,111
2015-12-03,111
2015-12-04,111
2015-12-05,111
2015-12-06,112
2015-12-07,112
2015-12-08,112
2015-12-09,116
2015-12-10,116
2015-12-11,116
2015-12-12,111
2015-12-13,111
2015-12-14,111
2015-12-15,106
2015-12-16,106
2015-12-17,106
2015-12-18,105
