date_obj,White%20apron price
2015-03-26,3985
2015-03-27,3985
2015-03-28,3785
2015-03-29,3785
2015-03-30,3595
2015-03-31,3595
2015-04-01,3595
2015-04-02,3415
2015-04-03,3415
2015-04-04,3244
2015-04-05,3244
2015-04-06,3091
2015-04-07,3091
2015-04-08,3091
2015-04-09,2936
2015-04-10,2936
2015-04-11,2797
2015-04-12,2797
2015-04-13,2664
2015-04-14,2664
2015-04-15,2532
2015-04-16,2532
2015-04-17,2408
2015-04-18,2408
2015-04-19,2287
2015-04-20,2287
2015-04-21,2287
2015-04-22,2172
2015-04-23,2172
2015-04-24,2071
2015-04-25,2071
2015-04-26,1975
2015-04-27,1975
2015-04-28,1876
2015-04-29,1876
2015-04-30,1784
2015-05-01,1784
2015-05-02,1694
2015-05-03,1694
2015-05-04,1610
2015-05-05,1610
2015-05-06,1529
2015-05-07,1529
2015-05-08,1452
2015-05-09,1452
2015-05-10,1379
2015-05-11,1379
2015-05-12,1310
2015-05-13,1310
2015-05-14,1244
2015-05-15,1244
2015-05-16,1244
2015-05-17,1181
2015-05-18,1181
2015-05-19,1122
2015-05-20,1122
2015-05-21,1122
2015-05-22,1065
2015-05-23,1065
2015-05-24,1013
2015-05-25,1013
2015-05-26,962
2015-05-27,962
2015-05-28,917
2015-05-29,917
2015-05-30,871
2015-05-31,871
2015-06-01,827
2015-06-02,827
2015-06-03,827
2015-06-04,785
2015-06-05,785
2015-06-06,745
2015-06-07,745
2015-06-08,709
2015-06-09,709
2015-06-10,673
2015-06-11,673
2015-06-12,673
2015-06-13,639
2015-06-14,639
2015-06-15,639
2015-06-16,607
2015-06-17,607
2015-06-18,577
2015-06-19,577
2015-06-20,549
2015-06-21,549
2015-06-22,522
2015-06-23,522
2015-06-24,498
2015-06-25,498
2015-06-26,498
2015-06-27,473
2015-06-28,473
2015-06-29,452
2015-06-30,452
2015-07-01,429
2015-07-02,429
2015-07-03,429
2015-07-04,426
2015-07-05,426
2015-07-06,426
2015-07-07,416
2015-07-08,416
2015-07-09,416
2015-07-10,407
2015-07-11,407
2015-07-12,407
2015-07-13,386
2015-07-14,386
2015-07-15,368
2015-07-16,368
2015-07-17,352
2015-07-18,352
2015-07-19,352
2015-07-20,340
2015-07-21,340
2015-07-22,330
2015-07-23,330
2015-07-24,314
2015-07-25,314
2015-07-26,314
2015-07-27,298
2015-07-28,298
2015-07-29,283
2015-07-30,283
2015-07-31,283
2015-08-01,268
2015-08-02,268
2015-08-03,254
2015-08-04,254
2015-08-05,241
2015-08-06,241
2015-08-07,241
2015-08-08,228
2015-08-09,228
2015-08-10,216
2015-08-11,216
2015-08-12,216
2015-08-13,216
2015-08-14,205
2015-08-15,205
2015-08-16,205
2015-08-17,203
2015-08-18,203
2015-08-19,203
2015-08-20,203
2015-08-21,200
2015-08-22,200
2015-08-23,200
2015-08-24,190
2015-08-25,190
2015-08-26,190
2015-08-27,190
2015-08-28,181
2015-08-29,181
2015-08-30,181
2015-08-31,175
2015-09-01,175
2015-09-02,175
2015-09-03,175
2015-09-04,168
2015-09-05,168
2015-09-06,168
2015-09-07,168
2015-09-08,163
2015-09-09,163
2015-09-10,163
2015-09-11,163
2015-09-12,167
2015-09-13,167
2015-09-14,167
2015-09-15,167
2015-09-16,167
2015-09-17,167
2015-09-18,167
2015-09-19,169
2015-09-20,169
2015-09-21,169
2015-09-22,169
2015-09-23,173
2015-09-24,173
2015-09-25,173
2015-09-27,173
2015-09-28,178
2015-09-29,178
2015-09-30,178
2015-10-05,175
2015-10-06,170
2015-10-07,170
2015-10-08,170
2015-10-09,170
2015-10-10,166
2015-10-11,166
2015-10-12,166
2015-10-13,166
2015-10-14,160
2015-10-15,160
2015-10-16,160
2015-10-17,160
2015-10-18,152
2015-10-19,152
2015-10-20,152
2015-10-22,149
2015-10-23,149
2015-10-24,149
2015-10-25,145
2015-10-26,145
2015-10-27,145
2015-10-29,142
2015-10-30,142
2015-10-31,142
2015-11-01,142
2015-11-02,136
2015-11-03,136
2015-11-04,136
2015-11-05,136
2015-11-06,136
2015-11-07,132
2015-11-08,132
2015-11-09,132
2015-11-10,132
2015-11-11,132
2015-11-12,127
2015-11-13,127
2015-11-14,127
2015-11-15,127
2015-11-16,130
2015-11-17,130
2015-11-18,130
2015-11-19,130
2015-11-20,130
2015-11-21,130
2015-11-22,130
2015-11-23,130
2015-11-24,133
2015-11-25,133
2015-11-26,133
2015-11-27,138
2015-11-28,138
2015-11-29,138
2015-11-30,144
2015-12-01,144
2015-12-02,144
2015-12-03,152
2015-12-04,152
2015-12-05,152
2015-12-06,152
2015-12-07,152
2015-12-08,152
2015-12-09,150
2015-12-10,150
2015-12-11,150
2015-12-13,151
2015-12-14,151
2015-12-15,151
2015-12-16,154
2015-12-17,154
2015-12-18,154
2015-12-19,154
2015-12-20,154
2015-12-21,154
2015-12-22,154
2015-12-23,155
2015-12-24,155
2015-12-25,155
2015-12-26,155
2015-12-27,153
2015-12-28,153
2015-12-29,153
2015-12-30,155
2015-12-31,155
2016-01-01,155
2016-01-02,155
2016-01-03,159
2016-01-04,159
2016-01-05,159
2016-01-06,163
2016-01-07,163
2016-01-08,163
2016-01-09,163
2016-01-10,165
2016-01-11,165
2016-01-12,165
2016-01-13,166
2016-01-14,166
2016-01-15,166
2016-01-16,162
2016-01-17,162
2016-01-18,162
2016-01-19,161
2016-01-20,161
2016-01-21,161
2016-01-22,160
2016-01-23,160
2016-01-24,160
2016-01-25,158
2016-01-26,158
2016-01-27,158
2016-01-28,158
2016-01-29,158
2016-01-30,158
2016-01-31,158
2016-02-01,156
2016-02-02,156
2016-02-03,156
2016-02-04,156
2016-02-05,157
2016-02-06,157
2016-02-07,157
2016-02-08,154
2016-02-09,154
2016-02-10,154
2016-02-11,149
2016-02-12,149
2016-02-13,149
2016-02-14,144
2016-02-15,144
2016-02-16,144
2016-02-17,138
2016-02-18,138
2016-02-19,138
2016-02-20,138
2016-02-21,133
2016-02-22,133
2016-02-23,133
2016-02-24,133
2016-02-25,129
2016-02-26,129
2016-02-27,129
2016-02-28,123
2016-02-29,123
2016-03-01,123
2016-03-02,119
2016-03-03,119
2016-03-04,119
2016-03-05,116
2016-03-06,116
2016-03-07,116
2016-03-08,115
2016-03-09,115
