date_obj,Bronze%20med%20helm price
2015-03-26,1806
2015-03-27,1806
2015-03-28,1715
2015-03-29,1629
2015-03-30,1547
2015-03-31,1469
2015-04-01,1395
2015-04-02,1325
2015-04-03,1258
2015-04-04,1195
2015-04-05,1135
2015-04-06,1078
2015-04-07,1024
2015-04-08,975
2015-04-09,926
2015-04-10,879
2015-04-11,835
2015-04-12,793
2015-04-13,753
2015-04-14,716
2015-04-15,680
2015-04-16,646
2015-04-17,613
2015-04-18,582
2015-04-19,552
2015-04-20,527
2015-04-21,500
2015-04-22,475
2015-04-23,451
2015-04-24,428
2015-04-25,406
2015-04-26,385
2015-04-27,365
2015-04-28,346
2015-04-29,346
2015-04-30,328
2015-05-01,311
2015-05-02,295
2015-05-03,281
2015-05-04,266
2015-05-05,252
2015-05-06,239
2015-05-07,227
2015-05-08,215
2015-05-09,204
2015-05-10,193
2015-05-11,184
2015-05-12,174
2015-05-13,166
2015-05-14,157
2015-05-15,150
2015-05-16,143
2015-05-17,135
2015-05-18,128
2015-05-19,121
2015-05-20,121
2015-05-21,114
2015-05-22,108
2015-05-23,102
2015-05-24,96
2015-05-25,91
2015-05-26,86
2015-05-27,81
2015-05-28,76
2015-05-29,72
2015-05-30,69
2015-05-31,65
2015-06-01,61
2015-06-02,57
2015-06-03,54
2015-06-04,51
2015-06-05,48
2015-06-06,45
2015-06-07,42
2015-06-08,39
2015-06-09,37
2015-06-10,35
2015-06-11,33
2015-06-12,31
2015-06-13,30
2015-06-14,29
2015-06-15,29
2015-06-16,29
2015-06-17,29
2015-06-18,29
2015-06-19,31
2015-06-20,32
2015-06-21,32
2015-06-22,31
2015-06-23,31
2015-06-24,30
2015-06-25,29
2015-06-26,28
2015-06-27,27
2015-06-28,26
2015-06-29,26
2015-06-30,26
2015-07-01,24
2015-07-02,24
2015-07-03,22
2015-07-04,20
2015-07-05,20
2015-07-06,20
2015-07-07,19
2015-07-08,18
2015-07-09,18
2015-07-10,18
2015-07-11,17
2015-07-12,17
2015-07-13,17
2015-07-14,17
2015-07-15,16
2015-07-16,15
2015-07-17,16
2015-07-18,17
2015-07-19,17
2015-07-20,17
2015-07-21,17
2015-07-22,17
2015-07-23,17
2015-07-24,16
2015-07-25,16
2015-07-26,16
2015-07-27,16
2015-07-28,16
2015-07-29,16
2015-07-30,16
2015-07-31,16
2015-08-01,16
2015-08-02,16
2015-08-03,15
2015-08-04,15
2015-08-05,15
2015-08-06,16
2015-08-07,17
2015-08-08,18
2015-08-09,18
2015-08-10,18
2015-08-11,18
2015-08-12,17
2015-08-13,17
2015-08-14,17
2015-08-15,17
2015-08-16,17
2015-08-17,16
2015-08-18,17
2015-08-19,17
2015-08-20,17
2015-08-21,17
2015-08-22,17
2015-08-23,17
2015-08-24,17
2015-08-25,17
2015-08-26,16
2015-08-27,15
2015-08-28,15
2015-08-29,16
2015-08-30,16
2015-08-31,17
2015-09-01,16
2015-09-02,16
2015-09-03,16
2015-09-04,15
2015-09-05,14
2015-09-06,13
2015-09-07,12
2015-09-08,12
2015-09-09,12
2015-09-10,13
2015-09-11,13
2015-09-12,14
2015-09-13,15
2015-09-14,15
2015-09-15,15
2015-09-16,15
2015-09-17,15
2015-09-18,15
2015-09-19,15
2015-09-20,15
2015-09-21,15
2015-09-22,15
2015-09-23,15
2015-09-24,15
2015-09-25,15
2015-09-27,14
2015-09-28,15
2015-09-29,15
2015-09-30,15
2015-10-05,15
2015-10-06,14
2015-10-07,13
2015-10-08,13
2015-10-09,13
2015-10-10,13
2015-10-11,13
2015-10-12,13
2015-10-13,13
2015-10-14,13
2015-10-15,13
2015-10-16,13
2015-10-17,13
2015-10-18,13
2015-10-19,14
2015-10-20,15
2015-10-22,15
2015-10-23,16
2015-10-24,16
2015-10-25,16
2015-10-26,16
2015-10-27,16
2015-10-29,17
2015-10-30,17
2015-10-31,17
2015-11-01,17
2015-11-02,17
2015-11-03,17
2015-11-04,17
2015-11-05,17
