date_obj,Wooden%20chair%20(flatpack) price
2015-03-05,225
2015-03-06,225
2015-03-07,225
2015-03-08,225
2015-03-09,225
2015-03-10,225
2015-03-11,225
2015-03-12,225
2015-03-13,225
2015-03-14,225
2015-03-15,225
2015-03-16,225
2015-03-17,225
2015-03-18,225
2015-03-19,225
2015-03-20,225
2015-03-21,225
2015-03-22,225
2015-03-23,225
2015-03-24,225
2015-03-25,225
2015-03-26,225
2015-03-27,225
2015-03-28,225
2015-03-29,225
2015-03-30,225
2015-03-31,225
2015-04-01,225
2015-04-02,225
2015-04-03,225
2015-04-04,214
2015-04-05,214
2015-04-06,214
2015-04-07,214
2015-04-08,214
2015-04-09,214
2015-04-10,214
2015-04-11,214
2015-04-12,214
2015-04-13,214
2015-04-14,214
2015-04-15,214
2015-04-16,214
2015-04-17,214
2015-04-18,214
2015-04-19,214
2015-04-20,214
2015-04-21,214
2015-04-22,214
2015-04-23,214
2015-04-24,214
2015-04-25,214
2015-04-26,214
2015-04-27,214
2015-04-28,214
2015-04-29,214
2015-04-30,214
2015-05-01,214
2015-05-02,214
2015-05-03,214
2015-05-04,214
2015-05-05,214
2015-05-06,214
2015-05-07,214
2015-05-08,214
2015-05-09,214
2015-05-10,214
2015-05-11,214
2015-05-12,214
2015-05-13,214
2015-05-14,214
2015-05-15,214
2015-05-16,214
2015-05-17,214
2015-05-18,203
2015-05-19,203
2015-05-20,203
2015-05-21,203
2015-05-22,203
2015-05-23,203
2015-05-24,203
2015-05-25,203
2015-05-26,203
2015-05-27,203
2015-05-28,203
2015-05-29,203
2015-05-30,203
2015-05-31,203
2015-06-01,203
2015-06-02,203
2015-06-03,203
2015-06-04,203
2015-06-05,203
2015-06-06,203
2015-06-07,203
2015-06-08,203
2015-06-09,194
2015-06-10,194
2015-06-11,194
2015-06-12,194
2015-06-13,194
2015-06-14,194
2015-06-15,194
2015-06-16,194
2015-06-17,194
2015-06-18,194
2015-06-19,194
2015-06-20,194
2015-06-21,194
2015-06-22,194
2015-06-23,194
2015-06-24,194
2015-06-25,194
2015-06-26,194
2015-06-27,194
2015-06-28,194
2015-06-29,194
2015-06-30,194
2015-07-01,194
2015-07-02,194
2015-07-03,194
2015-07-04,194
2015-07-05,194
2015-07-06,194
2015-07-07,194
2015-07-08,185
2015-07-09,185
2015-07-10,185
2015-07-11,185
2015-07-12,185
2015-07-13,185
2015-07-14,185
2015-07-15,185
2015-07-16,185
2015-07-17,185
2015-07-18,185
2015-07-19,185
2015-07-20,185
2015-07-21,185
2015-07-22,185
2015-07-23,185
2015-07-24,185
2015-07-25,185
2015-07-26,185
2015-07-27,185
2015-07-28,185
2015-07-29,185
2015-07-30,185
2015-07-31,185
2015-08-01,185
2015-08-02,185
2015-08-03,185
2015-08-04,185
2015-08-05,185
2015-08-06,185
2015-08-07,176
2015-08-08,176
2015-08-09,176
2015-08-10,176
2015-08-11,176
2015-08-12,176
2015-08-13,176
2015-08-14,176
2015-08-15,176
2015-08-16,176
2015-08-17,176
2015-08-18,176
2015-08-19,176
2015-08-20,176
2015-08-21,176
2015-08-22,176
2015-08-23,176
2015-08-24,176
2015-08-25,176
2015-08-26,176
2015-08-27,176
2015-08-28,176
2015-08-29,176
2015-08-30,176
2015-08-31,168
2015-09-02,168
2015-09-07,168
2015-09-08,168
2015-09-10,168
2015-09-14,168
2015-09-16,168
2015-09-22,168
2015-09-23,168
2015-09-24,168
2015-09-25,168
2015-09-27,159
2015-09-28,159
2015-09-29,159
2015-09-30,159
2015-10-05,159
2015-10-06,159
2015-10-07,159
2015-10-08,159
2015-10-09,159
2015-10-10,159
2015-10-11,159
2015-10-12,159
2015-10-13,159
2015-10-14,159
2015-10-15,159
2015-10-16,159
2015-10-17,153
2015-10-18,153
2015-10-19,153
2015-10-20,153
2015-10-22,153
2015-10-23,153
2015-10-24,153
2015-10-25,153
2015-10-26,153
2015-10-27,153
2015-10-29,153
2015-10-30,153
2015-10-31,153
2015-11-01,153
2015-11-02,153
2015-11-03,153
2015-11-05,153
2015-11-06,153
2015-11-07,153
2015-11-08,153
2015-11-09,153
2015-11-10,153
2015-11-11,147
2015-11-12,147
2015-11-13,147
2015-11-14,147
2015-11-15,147
2015-11-16,147
2015-11-17,147
2015-11-18,147
2015-11-19,147
2015-11-20,147
2015-11-21,147
2015-11-22,147
2015-11-23,147
2015-11-24,147
2015-11-25,147
2015-11-26,147
2015-11-27,147
2015-11-28,147
2015-11-29,147
2015-11-30,147
2015-12-01,147
2015-12-02,147
2015-12-03,147
2015-12-04,147
2015-12-05,147
2015-12-06,140
2015-12-07,140
2015-12-08,140
2015-12-09,140
2015-12-10,140
2015-12-11,140
2015-12-13,140
2015-12-14,140
2015-12-15,140
2015-12-16,140
2015-12-17,140
2015-12-18,140
2015-12-19,140
2015-12-20,134
2015-12-21,134
2015-12-22,134
2015-12-23,134
2015-12-24,134
2015-12-25,134
2015-12-26,134
2015-12-27,134
2015-12-28,134
2015-12-29,134
2015-12-30,134
2015-12-31,134
2016-01-01,134
2016-01-02,134
2016-01-03,134
2016-01-04,134
2016-01-05,134
2016-01-06,134
2016-01-07,134
2016-01-08,134
2016-01-09,130
2016-01-10,130
2016-01-11,130
2016-01-12,130
2016-01-13,130
2016-01-14,130
2016-01-15,130
2016-01-16,130
2016-01-17,130
2016-01-18,130
2016-01-19,130
2016-01-20,130
2016-01-21,130
2016-01-22,130
2016-01-23,130
2016-01-24,130
2016-01-25,130
2016-01-26,130
2016-01-27,123
2016-01-28,123
2016-01-29,123
2016-01-30,123
2016-01-31,123
2016-02-01,123
2016-02-02,123
2016-02-03,123
2016-02-04,123
2016-02-05,123
2016-02-06,123
2016-02-07,123
2016-02-08,123
2016-02-09,123
2016-02-10,123
2016-02-11,123
2016-02-12,123
2016-02-13,123
2016-02-14,123
2016-02-15,123
2016-02-16,123
2016-02-17,117
2016-02-18,117
2016-02-19,117
2016-02-20,117
2016-02-21,117
2016-02-22,117
2016-02-23,117
2016-02-24,117
2016-02-25,117
2016-02-26,117
2016-02-27,117
2016-02-28,117
2016-02-29,117
2016-03-01,117
2016-03-02,117
2016-03-03,112
2016-03-04,112
2016-03-05,112
2016-03-06,112
2016-03-07,112
2016-03-08,112
2016-03-09,112
2016-03-10,112
2016-03-11,112
2016-03-12,112
2016-03-13,112
2016-03-14,112
2016-03-15,112
2016-03-16,112
2016-03-17,112
