date_obj,Raw%20beef price
2015-03-26,155
2015-03-27,155
2015-03-28,160
2015-03-29,162
2015-03-30,164
2015-03-31,170
2015-04-01,170
2015-04-02,173
2015-04-03,168
2015-04-04,159
2015-04-05,155
2015-04-06,147
2015-04-07,139
2015-04-08,139
2015-04-09,132
2015-04-10,128
2015-04-11,123
2015-04-12,122
2015-04-13,121
2015-04-14,121
2015-04-15,122
2015-04-16,127
2015-04-17,122
2015-04-18,115
2015-04-19,109
2015-04-20,110
2015-04-21,109
2015-04-22,109
2015-04-23,104
2015-04-24,99
2015-04-25,94
2015-04-26,89
2015-04-27,85
2015-04-28,85
2015-04-29,85
2015-04-30,84
2015-05-01,88
2015-05-02,90
2015-05-03,90
2015-05-04,95
2015-05-05,96
2015-05-06,101
2015-05-07,106
2015-05-08,102
2015-05-09,101
2015-05-10,101
2015-05-11,101
2015-05-12,101
2015-05-13,101
2015-05-14,102
2015-05-15,102
2015-05-16,100
2015-05-17,102
2015-05-18,100
2015-05-19,100
2015-05-20,98
2015-05-21,98
2015-05-22,94
2015-05-23,92
2015-05-24,90
2015-05-25,89
2015-05-26,89
2015-05-27,89
2015-05-28,87
2015-05-29,88
2015-05-30,85
2015-05-31,80
2015-06-01,78
2015-06-02,78
2015-06-03,76
2015-06-04,75
2015-06-05,77
2015-06-06,74
2015-06-07,70
2015-06-08,68
2015-06-09,66
2015-06-10,65
2015-06-11,63
2015-06-12,59
2015-06-13,57
2015-06-14,54
2015-06-15,51
2015-06-16,48
2015-06-17,45
2015-06-18,42
2015-06-19,43
2015-06-20,41
2015-06-21,38
2015-06-22,36
2015-06-23,34
2015-06-24,32
2015-06-25,32
2015-06-26,32
2015-06-27,32
2015-06-28,34
2015-06-29,36
2015-06-30,36
2015-07-01,38
2015-07-02,38
2015-07-03,38
2015-07-04,39
2015-07-05,40
2015-07-06,42
2015-07-07,45
2015-07-08,48
2015-07-09,48
2015-07-10,47
2015-07-11,49
2015-07-12,50
2015-07-13,49
2015-07-14,49
2015-07-15,48
2015-07-16,48
2015-07-17,46
2015-07-18,46
2015-07-19,47
2015-07-20,45
2015-07-21,47
2015-07-22,48
2015-07-23,48
2015-07-24,45
2015-07-25,42
2015-07-26,40
2015-07-27,39
2015-07-28,37
2015-07-29,39
2015-07-30,41
2015-07-31,42
2015-08-01,43
2015-08-02,46
2015-08-03,49
2015-08-04,50
2015-08-05,52
2015-08-06,53
2015-08-07,54
2015-08-08,55
2015-08-09,58
2015-08-10,59
2015-08-11,57
2015-08-12,57
2015-08-13,55
2015-08-14,55
2015-08-15,55
2015-08-16,55
2015-08-17,56
2015-08-18,59
2015-08-19,59
2015-08-20,60
2015-08-21,63
2015-08-22,64
2015-08-23,64
2015-08-24,63
2015-08-25,63
2015-08-26,67
2015-08-27,68
2015-08-28,65
2015-08-29,64
2015-08-30,64
2015-08-31,67
2015-09-01,67
2015-09-02,67
2015-09-03,67
2015-09-04,71
2015-09-05,71
2015-09-06,75
2015-09-07,79
2015-09-08,83
2015-09-09,88
2015-09-10,92
2015-09-11,87
2015-09-12,82
2015-09-13,77
2015-09-14,73
2015-09-15,69
2015-09-16,69
2015-09-17,65
2015-09-18,65
2015-09-19,61
2015-09-20,57
2015-09-21,54
2015-09-22,51
2015-09-23,49
2015-09-24,49
2015-09-25,47
2015-09-27,49
2015-09-28,47
2015-09-29,47
2015-09-30,47
2015-10-05,51
2015-10-06,48
2015-10-07,48
2015-10-08,47
2015-10-09,44
2015-10-10,44
2015-10-11,41
2015-10-12,40
2015-10-13,40
2015-10-14,41
2015-10-15,39
2015-10-16,39
2015-10-17,39
2015-10-18,39
2015-10-19,39
2015-10-20,39
2015-10-22,40
2015-10-23,39
2015-10-24,37
2015-10-25,36
2015-10-26,34
2015-10-27,34
2015-10-29,30
2015-10-30,30
2015-10-31,28
2015-11-01,28
2015-11-02,26
2015-11-03,24
2015-11-04,22
2015-11-05,20
2015-11-06,20
2015-11-07,19
