date_obj,Bear%20fur price
2015-03-26,75
2015-03-27,75
2015-03-28,73
2015-03-29,73
2015-03-30,73
2015-03-31,76
2015-04-01,76
2015-04-02,76
2015-04-03,76
2015-04-04,78
2015-04-05,78
2015-04-06,78
2015-04-07,78
2015-04-08,81
2015-04-09,81
2015-04-10,81
2015-04-11,81
2015-04-12,86
2015-04-13,86
2015-04-14,86
2015-04-15,86
2015-04-16,85
2015-04-17,85
2015-04-18,85
2015-04-19,89
2015-04-20,89
2015-04-21,89
2015-04-22,89
2015-04-23,91
2015-04-24,91
2015-04-25,91
2015-04-26,91
2015-04-27,93
2015-04-28,93
2015-04-29,93
2015-04-30,93
2015-05-01,91
2015-05-02,91
2015-05-03,91
2015-05-04,89
2015-05-05,89
2015-05-06,89
2015-05-07,84
2015-05-08,84
2015-05-09,84
2015-05-10,79
2015-05-11,79
2015-05-12,79
2015-05-13,75
2015-05-14,75
2015-05-15,75
2015-05-16,71
2015-05-17,71
2015-05-18,70
2015-05-19,70
2015-05-20,70
2015-05-21,70
2015-05-22,70
2015-05-23,70
2015-05-24,70
2015-05-25,72
2015-05-26,72
2015-05-27,72
2015-05-28,68
2015-05-29,68
2015-05-30,65
2015-05-31,65
2015-06-01,65
2015-06-02,65
2015-06-03,67
2015-06-04,67
2015-06-05,67
2015-06-06,66
2015-06-07,66
2015-06-08,66
2015-06-09,66
2015-06-10,67
2015-06-11,67
2015-06-12,67
2015-06-13,67
2015-06-14,66
2015-06-15,66
2015-06-16,66
2015-06-17,66
2015-06-18,62
2015-06-19,62
2015-06-20,62
2015-06-21,62
2015-06-22,63
2015-06-23,63
2015-06-24,63
2015-06-25,63
2015-06-26,61
2015-06-27,61
2015-06-28,61
2015-06-29,61
2015-06-30,59
2015-07-01,59
2015-07-02,59
2015-07-03,59
2015-07-04,58
2015-07-05,58
2015-07-06,58
2015-07-07,58
2015-07-08,58
2015-07-09,58
2015-07-10,58
2015-07-11,58
2015-07-12,57
2015-07-13,57
2015-07-14,57
2015-07-15,58
2015-07-16,58
2015-07-17,58
2015-07-18,58
2015-07-19,58
2015-07-20,58
2015-07-21,58
2015-07-22,60
2015-07-23,60
2015-07-24,60
2015-07-25,60
2015-07-26,59
2015-07-27,59
2015-07-28,59
2015-07-29,59
2015-07-30,59
2015-07-31,59
2015-08-01,59
2015-08-02,58
2015-08-03,58
2015-08-04,58
2015-08-05,58
2015-08-06,58
2015-08-07,58
2015-08-08,58
2015-08-09,56
2015-08-10,56
2015-08-11,56
2015-08-12,56
2015-08-13,56
2015-08-14,54
2015-08-15,54
2015-08-16,54
2015-08-17,54
2015-08-18,54
2015-08-19,54
2015-08-20,54
2015-08-21,54
2015-08-22,54
2015-08-23,54
2015-08-24,56
2015-08-25,56
2015-08-26,56
2015-08-27,56
2015-08-28,56
2015-08-29,56
2015-08-30,56
2015-08-31,57
2015-09-01,57
2015-09-02,57
2015-09-03,57
2015-09-04,57
2015-09-05,57
2015-09-06,59
2015-09-07,59
2015-09-08,59
2015-09-09,59
2015-09-10,59
2015-09-11,59
2015-09-12,61
2015-09-13,61
2015-09-14,61
2015-09-15,61
2015-09-16,61
2015-09-17,61
2015-09-18,63
2015-09-19,63
2015-09-20,63
2015-09-21,63
2015-09-22,63
2015-09-23,63
2015-09-24,63
2015-09-25,63
2015-09-27,63
2015-09-28,63
2015-09-29,63
2015-09-30,65
2015-10-05,65
2015-10-06,65
2015-10-07,68
2015-10-08,68
2015-10-09,68
2015-10-10,68
2015-10-11,68
2015-10-12,68
2015-10-13,68
2015-10-14,68
2015-10-15,68
2015-10-16,68
2015-10-17,68
2015-10-18,68
2015-10-19,70
2015-10-20,70
2015-10-22,70
2015-10-23,70
2015-10-24,70
2015-10-25,70
2015-10-26,70
2015-10-27,70
2015-10-28,70
2015-10-29,70
2015-10-30,70
2015-10-31,70
2015-11-01,70
2015-11-02,70
2015-11-03,70
2015-11-04,70
2015-11-05,70
2015-11-06,70
2015-11-07,68
2015-11-08,68
2015-11-09,68
2015-11-10,68
2015-11-11,68
2015-11-12,68
2015-11-13,68
2015-11-14,68
2015-11-15,68
2015-11-16,68
