date_obj,Calquat%20tree%20seed price
2015-03-05,2184
2015-03-06,2079
2015-03-07,1983
2015-03-08,1883
2015-03-09,1792
2015-03-10,1712
2015-03-11,1635
2015-03-12,1558
2015-03-13,1485
2015-03-14,1417
2015-03-15,1352
2015-03-16,1289
2015-03-17,1258
2015-03-18,1258
2015-03-19,1205
2015-03-20,1162
2015-03-21,1132
2015-03-22,1106
2015-03-23,1063
2015-03-24,1030
2015-03-25,1033
2015-03-26,1021
2015-03-27,1021
2015-03-28,1007
2015-03-29,1034
2015-03-30,1064
2015-03-31,1083
2015-04-01,1097
2015-04-02,1073
2015-04-03,1038
2015-04-04,987
2015-04-05,943
2015-04-06,909
2015-04-07,869
2015-04-08,869
2015-04-09,831
2015-04-10,796
2015-04-11,764
2015-04-12,747
2015-04-13,730
2015-04-14,695
2015-04-15,697
2015-04-16,716
2015-04-17,749
2015-04-18,773
2015-04-19,806
2015-04-20,806
2015-04-21,838
2015-04-22,876
2015-04-23,868
2015-04-24,837
2015-04-25,805
2015-04-26,766
2015-04-27,736
2015-04-28,707
2015-04-29,707
2015-04-30,693
2015-05-01,694
2015-05-02,687
2015-05-03,687
2015-05-04,670
2015-05-05,686
2015-05-06,705
2015-05-07,690
2015-05-08,658
2015-05-09,630
2015-05-10,607
2015-05-11,607
2015-05-12,603
2015-05-13,603
2015-05-14,586
2015-05-15,586
2015-05-16,562
2015-05-17,551
2015-05-18,529
2015-05-19,516
2015-05-20,516
2015-05-21,516
2015-05-22,507
2015-05-23,501
2015-05-24,484
2015-05-25,464
2015-05-26,460
2015-05-27,462
2015-05-28,461
2015-05-29,462
2015-05-30,475
2015-05-31,484
2015-06-01,492
2015-06-02,492
2015-06-03,501
2015-06-04,496
2015-06-05,514
2015-06-06,523
2015-06-07,530
2015-06-08,530
2015-06-09,532
2015-06-10,532
2015-06-11,533
2015-06-12,528
2015-06-13,519
2015-06-14,512
2015-06-15,509
2015-06-16,524
2015-06-17,515
2015-06-18,505
2015-06-19,490
2015-06-20,469
2015-06-21,451
2015-06-22,428
2015-06-23,408
2015-06-24,392
2015-06-25,375
2015-06-26,357
2015-06-27,343
2015-06-28,325
2015-06-29,308
2015-06-30,292
2015-07-01,277
2015-07-02,277
2015-07-03,265
2015-07-04,257
2015-07-05,260
2015-07-06,253
2015-07-07,241
2015-07-08,229
2015-07-09,229
2015-07-10,221
2015-07-11,220
2015-07-12,220
2015-07-13,223
2015-07-14,222
2015-07-15,211
2015-07-16,206
2015-07-17,206
2015-07-18,211
2015-07-19,218
2015-07-20,223
2015-07-21,225
2015-07-22,228
2015-07-23,228
2015-07-24,235
2015-07-25,233
2015-07-26,231
2015-07-27,227
2015-07-28,223
2015-07-29,223
2015-07-30,221
2015-07-31,221
2015-08-01,218
2015-08-02,214
2015-08-03,214
2015-08-04,205
2015-08-05,194
2015-08-06,184
2015-08-07,180
2015-08-08,182
2015-08-09,189
2015-08-10,199
2015-08-11,209
2015-08-12,209
2015-08-13,220
2015-08-14,231
