date_obj,Bandana%20eyepatch%20(brown) price
2015-02-25,73000
2015-02-26,73000
2015-02-27,73000
2015-02-28,73000
2015-03-01,73000
2015-03-02,73000
2015-03-03,73000
2015-03-04,73000
2015-03-05,73000
2015-03-06,73000
2015-03-07,73000
2015-03-08,73000
2015-03-09,73000
2015-03-10,73000
2015-03-11,73000
2015-03-12,73000
2015-03-13,73000
2015-03-14,73000
2015-03-15,73000
2015-03-16,73000
2015-03-17,73000
2015-03-18,73000
2015-03-19,73000
2015-03-20,73000
2015-03-21,73000
2015-03-22,73000
2015-03-23,73000
2015-03-24,73000
2015-03-25,73000
2015-03-26,73000
2015-03-27,73000
2015-03-28,73000
2015-03-29,73000
2015-03-30,73000
2015-03-31,73000
2015-04-01,73000
2015-04-02,73000
2015-04-03,73000
2015-04-04,73000
2015-04-05,73000
2015-04-06,73000
2015-04-07,73000
2015-04-08,73000
2015-04-09,73000
2015-04-10,73000
2015-04-11,73000
2015-04-12,73000
2015-04-13,73000
2015-04-14,73000
2015-04-15,73000
2015-04-16,73000
2015-04-17,73000
2015-04-18,73000
2015-04-19,73000
2015-04-20,73000
2015-04-21,73000
2015-04-22,73000
2015-04-23,73000
2015-04-24,73000
2015-04-25,73000
2015-04-26,73000
2015-04-27,73000
2015-04-28,73000
2015-04-29,73000
2015-04-30,73000
2015-05-01,73000
2015-05-02,73000
2015-05-03,73000
2015-05-04,73000
2015-05-05,73000
2015-05-06,73000
2015-05-07,73000
2015-05-08,73000
2015-05-09,73000
2015-05-10,73000
2015-05-11,73000
2015-05-12,73000
2015-05-13,73000
2015-05-14,73000
2015-05-15,73000
2015-05-16,73000
2015-05-17,73000
2015-05-18,73000
2015-05-19,73000
2015-05-20,73000
2015-05-21,73000
2015-05-22,73000
2015-05-23,73000
2015-05-24,73000
2015-05-25,73000
2015-05-26,73000
2015-05-27,73000
2015-05-28,73000
2015-05-29,73000
2015-05-30,73000
2015-05-31,73000
2015-06-01,73000
2015-06-02,73000
2015-06-03,73000
2015-06-04,73000
2015-06-05,73000
2015-06-06,73000
2015-06-07,73000
2015-06-08,73000
2015-06-09,73000
2015-06-10,73000
2015-06-11,73000
2015-06-12,73000
2015-06-13,73000
2015-06-14,73000
2015-06-15,73000
2015-06-16,73000
2015-06-17,73000
2015-06-18,73000
2015-06-19,73000
2015-06-20,73000
2015-06-21,73000
2015-06-22,73000
2015-06-23,73000
2015-06-24,73000
2015-06-25,73000
2015-06-26,73000
2015-06-27,73000
2015-06-28,73000
2015-06-29,73000
2015-06-30,73000
2015-07-01,73000
2015-07-02,73000
2015-07-03,73000
2015-07-04,73000
2015-07-05,73000
2015-07-06,73000
2015-07-07,73000
2015-07-08,73000
2015-07-09,73000
2015-07-10,73000
2015-07-11,73000
2015-07-12,73000
2015-07-13,73000
2015-07-14,73000
2015-07-15,73000
2015-07-16,73000
2015-07-17,73000
2015-07-18,73000
2015-07-19,73000
2015-07-20,73000
2015-07-21,73000
2015-07-22,73000
2015-07-23,73000
2015-07-24,73000
2015-07-25,73000
2015-07-26,73000
2015-07-27,73000
2015-07-28,73000
2015-07-29,73000
2015-07-30,73000
2015-07-31,73000
2015-08-01,73000
2015-08-02,69539
2015-08-03,69539
2015-08-04,69539
2015-08-05,69539
2015-08-06,69539
2015-08-07,69539
2015-08-08,69539
2015-08-09,69539
2015-08-10,69539
2015-08-11,69539
2015-08-12,69539
2015-08-13,69539
2015-08-14,69539
2015-08-15,69539
2015-08-16,69539
2015-08-17,69539
2015-08-18,69539
2015-08-19,69539
2015-08-20,69539
2015-08-21,69539
2015-08-22,69539
2015-08-23,69539
2015-08-24,69539
2015-08-25,69539
2015-08-26,69539
2015-08-27,69539
2015-08-28,69539
2015-08-29,69539
2015-08-30,69539
2015-08-31,69539
2015-09-01,69539
2015-09-02,69539
2015-09-03,69539
2015-09-04,69539
2015-09-05,69539
2015-09-06,69539
2015-09-07,69539
2015-09-08,69539
2015-09-09,69539
2015-09-10,69539
2015-09-11,69539
2015-09-12,69539
2015-09-13,69539
2015-09-14,69539
2015-09-15,69539
2015-09-16,69539
2015-09-17,69539
2015-09-18,69539
2015-09-19,69539
2015-09-20,69539
2015-09-21,69539
2015-09-22,69539
2015-09-23,69539
2015-09-24,69539
2015-09-25,69539
2015-09-26,69539
2015-09-27,69539
2015-09-28,69539
2015-09-29,69539
2015-09-30,69539
2015-10-01,69539
2015-10-02,69539
2015-10-03,69539
2015-10-04,69539
2015-10-05,69539
2015-10-06,69539
2015-10-07,69539
2015-10-08,69539
2015-10-09,69539
2015-10-10,69539
2015-10-11,69539
2015-10-12,69539
2015-10-13,69539
2015-10-14,69539
2015-10-15,69539
2015-10-16,69539
2015-10-17,69539
2015-10-18,69539
2015-10-19,69539
2015-10-20,69539
2015-10-21,69539
2015-10-22,69539
2015-10-23,69539
2015-10-24,69539
2015-10-25,69539
2015-10-26,69539
2015-10-27,69539
2015-10-28,69539
2015-10-29,69539
2015-10-30,69539
2015-10-31,69539
2015-11-01,69539
2015-11-02,69539
2015-11-03,69539
2015-11-04,69539
2015-11-05,69539
2015-11-06,69539
2015-11-07,69539
2015-11-08,69539
2015-11-09,69539
2015-11-10,69539
2015-11-11,69539
2015-11-12,69539
2015-11-13,69539
2015-11-14,69539
2015-11-15,69539
2015-11-16,69539
2015-11-17,69539
2015-11-18,69539
2015-11-19,69539
2015-11-20,69539
2015-11-21,69539
2015-11-22,69539
2015-11-23,69539
2015-11-24,69539
2015-11-25,69539
2015-11-26,69539
2015-11-27,69539
2015-11-28,69539
2015-11-29,69539
2015-11-30,69539
2015-12-01,69539
2015-12-02,69539
2015-12-03,69539
2015-12-04,69539
2015-12-05,69539
2015-12-06,69539
2015-12-07,69539
2015-12-08,69539
2015-12-09,69539
2015-12-10,69539
2015-12-11,69539
2015-12-12,69539
2015-12-13,69539
2015-12-14,69539
2015-12-15,69539
2015-12-16,69539
2015-12-17,69539
2015-12-18,69539
2015-12-19,69539
2015-12-20,69539
2015-12-21,69539
2015-12-22,69539
2015-12-23,69539
2015-12-24,69539
2015-12-25,69539
2015-12-26,69539
2015-12-27,69539
2015-12-28,69539
2015-12-29,69539
2015-12-30,69539
2015-12-31,69539
2016-01-01,69539
2016-01-02,69539
2016-01-03,69539
2016-01-04,69539
2016-01-05,69539
2016-01-06,69539
2016-01-07,69539
2016-01-08,69539
2016-01-09,69539
