date_obj,Iron%20platelegs price
2015-03-26,191
2015-03-27,191
2015-03-28,182
2015-03-29,180
2015-03-30,175
2015-03-31,173
2015-04-01,165
2015-04-02,162
2015-04-03,161
2015-04-04,157
2015-04-05,159
2015-04-06,160
2015-04-07,167
2015-04-08,169
2015-04-09,176
2015-04-10,184
2015-04-11,191
2015-04-12,195
2015-04-13,204
2015-04-14,214
2015-04-15,224
2015-04-16,236
2015-04-17,248
2015-04-18,259
2015-04-19,272
2015-04-20,281
2015-04-21,286
2015-04-22,286
2015-04-23,281
2015-04-24,280
2015-04-25,266
2015-04-26,263
2015-04-27,261
2015-04-28,265
2015-04-29,265
2015-04-30,276
2015-05-01,281
2015-05-02,276
2015-05-03,272
2015-05-04,268
2015-05-05,269
2015-05-06,267
2015-05-07,271
2015-05-08,269
2015-05-09,269
2015-05-10,271
2015-05-11,272
2015-05-12,277
2015-05-13,278
2015-05-14,282
2015-05-15,295
2015-05-16,292
2015-05-17,300
2015-05-18,304
2015-05-19,314
2015-05-20,310
2015-05-21,304
2015-05-22,297
2015-05-23,292
2015-05-24,289
2015-05-25,291
2015-05-26,289
2015-05-27,282
2015-05-28,287
2015-05-29,288
2015-05-30,284
2015-05-31,278
2015-06-01,273
2015-06-02,276
2015-06-03,272
2015-06-04,275
2015-06-05,276
2015-06-06,265
2015-06-07,257
2015-06-08,254
2015-06-09,253
2015-06-10,247
2015-06-11,247
2015-06-12,253
2015-06-13,251
2015-06-14,255
2015-06-15,254
2015-06-16,254
2015-06-17,252
2015-06-18,259
2015-06-19,261
2015-06-20,256
2015-06-21,263
2015-06-22,267
2015-06-23,273
2015-06-24,281
2015-06-25,276
2015-06-26,275
2015-06-27,266
2015-06-28,270
2015-06-29,269
2015-06-30,272
2015-07-01,272
2015-07-02,275
2015-07-03,281
2015-07-04,279
2015-07-05,283
2015-07-06,292
2015-07-07,295
2015-07-08,290
2015-07-09,283
2015-07-10,276
2015-07-11,277
2015-07-12,271
2015-07-13,273
2015-07-14,267
2015-07-15,254
2015-07-16,259
2015-07-17,266
2015-07-18,274
2015-07-19,270
2015-07-20,273
2015-07-21,267
2015-07-22,276
2015-07-23,276
2015-07-24,281
2015-07-25,294
