date_obj,Gianne's%20cook%20book price
2015-03-26,1
2015-03-27,1
2015-03-28,1
2015-03-29,1
2015-03-30,1
2015-03-31,1
2015-04-01,1
2015-04-02,1
2015-04-03,1
2015-04-04,1
2015-04-05,1
2015-04-06,1
2015-04-07,1
2015-04-08,1
2015-04-09,1
2015-04-10,1
2015-04-11,1
2015-04-12,1
2015-04-13,1
2015-04-14,1
2015-04-15,1
2015-04-16,1
2015-04-17,1
2015-04-18,1
2015-04-19,1
2015-04-20,1
2015-04-21,1
2015-04-22,1
2015-04-23,1
2015-04-24,1
2015-04-25,1
2015-04-26,1
2015-04-27,1
2015-04-28,1
2015-04-29,1
2015-04-30,1
2015-05-01,1
2015-05-02,1
2015-05-03,1
2015-05-04,1
2015-05-05,1
2015-05-06,1
2015-05-07,1
2015-05-08,1
2015-05-09,1
2015-05-10,1
2015-05-11,1
2015-05-12,1
2015-05-13,1
2015-05-14,1
2015-05-15,1
2015-05-16,1
2015-05-17,1
2015-05-18,1
2015-05-19,1
2015-05-20,1
2015-05-21,1
2015-05-22,1
2015-05-23,1
2015-05-24,1
2015-05-25,1
2015-05-26,1
2015-05-27,1
2015-05-28,1
2015-05-29,1
2015-05-30,1
2015-05-31,1
2015-06-01,1
2015-06-02,1
2015-06-03,1
2015-06-04,1
2015-06-05,1
2015-06-06,1
2015-06-07,1
2015-06-08,1
2015-06-09,1
2015-06-10,1
2015-06-11,2
2015-06-12,2
2015-06-13,2
2015-06-14,2
2015-06-15,2
2015-06-16,2
2015-06-17,2
2015-06-18,2
2015-06-19,2
2015-06-20,2
2015-06-21,2
2015-06-22,2
2015-06-23,2
2015-06-24,2
2015-06-25,2
2015-06-26,2
2015-06-27,2
2015-06-28,2
2015-06-29,2
2015-06-30,2
2015-07-01,2
2015-07-02,2
2015-07-03,2
2015-07-04,2
2015-07-05,2
2015-07-06,2
2015-07-07,2
2015-07-08,2
2015-07-09,2
2015-07-10,2
2015-07-11,2
2015-07-12,2
2015-07-13,2
2015-07-14,2
2015-07-15,2
2015-07-16,2
2015-07-17,2
2015-07-18,2
2015-07-19,2
2015-07-20,2
2015-07-21,2
2015-07-22,2
2015-07-23,2
2015-07-24,2
2015-07-25,2
2015-07-26,2
2015-07-27,2
2015-07-28,2
2015-07-29,2
2015-07-30,2
2015-07-31,2
2015-08-01,2
2015-08-02,2
2015-08-03,2
2015-08-04,2
2015-08-05,2
2015-08-06,2
2015-08-07,2
2015-08-08,2
2015-08-09,2
2015-08-10,2
2015-08-11,2
2015-08-12,2
2015-08-13,2
2015-08-14,2
2015-08-15,2
2015-08-16,2
2015-08-17,2
2015-08-18,2
2015-08-19,2
2015-08-20,2
2015-08-21,2
