date_obj,Bronze%20platebody price
2015-03-26,1832
2015-03-27,1832
2015-03-28,1745
2015-03-29,1745
2015-03-30,1661
2015-03-31,1661
2015-04-01,1582
2015-04-02,1582
2015-04-03,1506
2015-04-04,1434
2015-04-05,1434
2015-04-06,1367
2015-04-07,1367
2015-04-08,1300
2015-04-09,1300
2015-04-10,1237
2015-04-11,1237
2015-04-12,1177
2015-04-13,1177
2015-04-14,1119
2015-04-15,1119
2015-04-16,1065
2015-04-17,1013
2015-04-18,965
2015-04-19,918
2015-04-20,918
2015-04-21,874
2015-04-22,874
2015-04-23,832
2015-04-24,832
2015-04-25,791
2015-04-26,791
2015-04-27,753
2015-04-28,717
2015-04-29,717
2015-04-30,682
2015-05-01,648
2015-05-02,617
2015-05-03,617
2015-05-04,589
2015-05-05,589
2015-05-06,560
2015-05-07,560
2015-05-08,534
2015-05-09,534
2015-05-10,508
2015-05-11,508
2015-05-12,484
2015-05-13,484
2015-05-14,461
2015-05-15,461
2015-05-16,438
2015-05-17,418
2015-05-18,418
2015-05-19,398
2015-05-20,398
2015-05-21,398
2015-05-22,379
2015-05-23,379
2015-05-24,361
2015-05-25,343
2015-05-26,343
2015-05-27,327
2015-05-28,312
2015-05-29,297
2015-05-30,282
2015-05-31,282
2015-06-01,267
2015-06-02,267
2015-06-03,254
2015-06-04,242
2015-06-05,230
2015-06-06,219
2015-06-07,209
2015-06-08,209
2015-06-09,199
2015-06-10,190
2015-06-11,190
2015-06-12,181
2015-06-13,172
2015-06-14,164
2015-06-15,156
2015-06-16,149
2015-06-17,142
2015-06-18,135
2015-06-19,135
2015-06-20,128
2015-06-21,128
2015-06-22,121
2015-06-23,121
2015-06-24,114
2015-06-25,114
2015-06-26,108
2015-06-27,108
2015-06-28,102
2015-06-29,102
2015-06-30,96
2015-07-01,92
2015-07-02,92
2015-07-03,87
2015-07-04,87
2015-07-05,82
2015-07-06,82
2015-07-07,77
2015-07-08,73
2015-07-09,73
2015-07-10,69
2015-07-11,69
2015-07-12,65
2015-07-13,61
2015-07-14,57
2015-07-15,54
2015-07-16,51
2015-07-17,49
2015-07-18,49
2015-07-19,46
2015-07-20,43
2015-07-21,43
2015-07-22,40
2015-07-23,40
2015-07-24,38
2015-07-25,38
2015-07-26,36
2015-07-27,34
2015-07-28,32
2015-07-29,30
2015-07-30,30
2015-07-31,28
2015-08-01,28
2015-08-02,26
2015-08-03,26
2015-08-04,24
2015-08-05,22
2015-08-06,22
2015-08-07,20
2015-08-08,20
2015-08-09,19
2015-08-10,19
2015-08-11,18
2015-08-12,18
2015-08-13,17
2015-08-14,16
2015-08-15,16
2015-08-16,16
2015-08-17,16
2015-08-18,15
2015-08-19,15
2015-08-20,15
2015-08-21,15
2015-08-22,15
2015-08-23,15
2015-08-24,15
2015-08-25,14
2015-08-26,14
2015-08-27,13
2015-08-28,13
2015-08-29,12
2015-08-30,12
2015-08-31,12
2015-09-01,12
2015-09-02,12
2015-09-03,12
2015-09-04,12
2015-09-05,12
2015-09-06,11
2015-09-07,11
2015-09-08,11
2015-09-09,11
2015-09-10,11
2015-09-11,11
2015-09-12,11
2015-09-13,11
2015-09-14,10
2015-09-15,10
2015-09-16,10
2015-09-17,10
2015-09-18,10
2015-09-19,10
2015-09-20,10
2015-09-21,10
2015-09-22,10
2015-09-23,10
2015-09-24,10
2015-09-25,10
2015-09-27,10
2015-09-28,10
2015-09-29,10
2015-09-30,10
2015-10-05,10
2015-10-06,10
2015-10-07,11
2015-10-08,11
2015-10-09,12
2015-10-10,12
2015-10-11,13
2015-10-12,13
2015-10-13,13
2015-10-14,14
2015-10-15,14
2015-10-16,14
2015-10-17,14
2015-10-18,14
2015-10-19,13
2015-10-20,13
2015-10-22,12
2015-10-23,11
2015-10-24,11
2015-10-25,10
2015-10-26,10
2015-10-27,9
2015-10-29,9
2015-10-30,9
2015-10-31,9
2015-11-01,9
2015-11-02,9
2015-11-03,9
2015-11-04,9
2015-11-05,9
2015-11-06,9
2015-11-07,9
2015-11-08,9
2015-11-09,9
2015-11-10,9
2015-11-11,9
2015-11-12,9
2015-11-13,9
2015-11-14,10
2015-11-15,10
2015-11-16,10
2015-11-17,10
2015-11-18,10
2015-11-19,10
2015-11-20,10
2015-11-21,10
2015-11-22,11
2015-11-23,11
2015-11-24,11
2015-11-25,12
2015-11-26,12
2015-11-27,12
2015-11-28,13
2015-11-29,13
2015-11-30,14
2015-12-01,14
2015-12-02,14
2015-12-03,15
2015-12-04,15
2015-12-05,15
2015-12-06,16
2015-12-07,16
2015-12-08,16
2015-12-09,17
2015-12-10,17
2015-12-11,18
2015-12-12,18
2015-12-13,19
2015-12-14,19
2015-12-15,20
2015-12-16,20
2015-12-17,20
2015-12-18,21
2015-12-19,21
2015-12-20,22
2015-12-21,22
2015-12-22,23
2015-12-23,23
