date_obj,Steel%20boots price
2015-03-26,4874
2015-03-27,4874
2015-03-28,4637
2015-03-29,4413
2015-03-30,4199
2015-03-31,3996
2015-04-01,3811
2015-04-02,3626
2015-04-03,3448
2015-04-04,3279
2015-04-05,3119
2015-04-06,2967
2015-04-07,2823
2015-04-08,2687
2015-04-09,2557
2015-04-10,2433
2015-04-11,2314
2015-04-12,2203
2015-04-13,2095
2015-04-14,1994
2015-04-15,1898
2015-04-16,1811
2015-04-17,1723
2015-04-18,1640
2015-04-19,1561
2015-04-20,1561
2015-04-21,1485
2015-04-22,1485
2015-04-23,1415
2015-04-24,1415
2015-04-25,1347
2015-04-26,1282
2015-04-27,1220
2015-04-28,1161
2015-04-29,1161
2015-04-30,1107
2015-05-01,1057
2015-05-02,1006
2015-05-03,1006
2015-05-04,961
2015-05-05,961
2015-05-06,917
2015-05-07,917
2015-05-08,873
2015-05-09,873
2015-05-10,833
2015-05-11,833
2015-05-12,794
2015-05-13,794
2015-05-14,756
2015-05-15,756
2015-05-16,723
2015-05-17,688
2015-05-18,688
2015-05-19,656
2015-05-20,656
2015-05-21,656
2015-05-22,625
2015-05-23,625
2015-05-24,596
2015-05-25,596
2015-05-26,568
2015-05-27,568
2015-05-28,540
2015-05-29,515
2015-05-30,490
2015-05-31,490
2015-06-01,467
2015-06-02,467
2015-06-03,445
2015-06-04,445
2015-06-05,424
2015-06-06,405
2015-06-07,405
2015-06-08,387
2015-06-09,387
2015-06-10,367
2015-06-11,367
2015-06-12,367
2015-06-13,348
2015-06-14,348
2015-06-15,333
2015-06-16,333
2015-06-17,318
2015-06-18,305
2015-06-19,305
2015-06-20,291
2015-06-21,291
2015-06-22,278
2015-06-23,278
2015-06-24,265
2015-06-25,265
2015-06-26,252
2015-06-27,252
2015-06-28,241
2015-06-29,241
2015-06-30,230
2015-07-01,230
2015-07-02,220
2015-07-03,220
2015-07-04,209
2015-07-05,209
2015-07-06,200
2015-07-07,200
2015-07-08,192
2015-07-09,192
2015-07-10,183
2015-07-11,183
2015-07-12,183
2015-07-13,174
2015-07-14,174
2015-07-15,166
2015-07-16,166
2015-07-17,159
2015-07-18,159
2015-07-19,159
2015-07-20,151
2015-07-21,151
2015-07-22,144
2015-07-23,144
2015-07-24,144
2015-07-25,137
2015-07-26,137
2015-07-27,137
2015-07-28,132
2015-07-29,132
2015-07-30,126
2015-07-31,126
2015-08-01,126
2015-08-02,120
2015-08-03,120
2015-08-04,115
2015-08-05,115
2015-08-06,110
2015-08-07,110
2015-08-08,105
2015-08-09,105
2015-08-10,100
2015-08-11,100
2015-08-12,100
2015-08-13,96
2015-08-14,96
2015-08-15,93
2015-08-16,93
2015-08-17,91
2015-08-18,91
2015-08-19,88
2015-08-20,88
2015-08-21,88
2015-08-22,88
2015-08-23,88
2015-08-24,88
2015-08-25,88
2015-08-26,84
2015-08-27,84
2015-08-28,81
2015-08-29,81
2015-08-30,81
2015-08-31,78
2015-09-01,78
2015-09-02,78
2015-09-03,75
2015-09-04,75
2015-09-05,75
2015-09-06,74
2015-09-07,74
2015-09-08,74
2015-09-09,72
2015-09-10,72
2015-09-11,72
2015-09-12,71
2015-09-13,71
2015-09-14,71
2015-09-15,72
2015-09-16,72
2015-09-17,72
2015-09-18,72
2015-09-19,69
2015-09-20,69
2015-09-21,69
2015-09-22,69
2015-09-23,67
2015-09-24,67
2015-09-25,67
2015-09-27,67
2015-09-28,65
2015-09-29,65
2015-09-30,65
2015-10-05,62
2015-10-06,63
2015-10-07,63
2015-10-08,63
2015-10-09,63
2015-10-10,66
2015-10-11,66
2015-10-12,66
2015-10-13,66
2015-10-14,65
2015-10-15,65
2015-10-16,65
2015-10-17,65
2015-10-18,69
2015-10-19,69
2015-10-20,69
2015-10-22,71
2015-10-23,71
2015-10-24,71
2015-10-25,71
2015-10-26,70
2015-10-27,70
2015-10-29,70
2015-10-30,69
2015-10-31,69
2015-11-01,69
2015-11-02,69
2015-11-03,69
2015-11-04,69
2015-11-05,69
2015-11-06,69
2015-11-07,66
2015-11-08,66
2015-11-09,66
2015-11-10,66
2015-11-11,66
2015-11-12,66
2015-11-13,66
2015-11-14,66
2015-11-15,66
2015-11-16,67
2015-11-17,67
2015-11-18,67
2015-11-19,67
2015-11-20,67
2015-11-21,67
2015-11-22,67
2015-11-23,67
2015-11-24,67
2015-11-25,69
2015-11-26,69
2015-11-27,69
2015-11-28,69
2015-11-29,71
2015-11-30,71
2015-12-01,71
2015-12-02,71
2015-12-03,69
2015-12-04,69
2015-12-05,69
2015-12-06,69
2015-12-07,68
2015-12-08,68
2015-12-09,68
2015-12-10,68
2015-12-11,69
2015-12-12,69
2015-12-13,69
2015-12-14,69
2015-12-15,68
2015-12-16,68
2015-12-17,68
2015-12-18,68
2015-12-19,69
2015-12-20,69
2015-12-21,69
2015-12-22,69
2015-12-23,69
2015-12-24,69
2015-12-25,69
2015-12-26,70
2015-12-27,70
2015-12-28,70
2015-12-29,70
2015-12-30,70
2015-12-31,70
2016-01-01,70
2016-01-02,72
2016-01-03,72
2016-01-04,72
2016-01-05,71
2016-01-06,71
2016-01-07,71
2016-01-08,71
2016-01-09,71
2016-01-10,71
2016-01-11,71
2016-01-12,71
2016-01-13,71
2016-01-14,71
2016-01-15,74
2016-01-16,74
2016-01-17,74
2016-01-18,74
2016-01-19,73
2016-01-20,73
2016-01-21,73
2016-01-22,70
2016-01-23,70
2016-01-24,70
2016-01-25,67
2016-01-26,67
2016-01-27,67
2016-01-28,67
2016-01-29,71
2016-01-30,71
2016-01-31,71
2016-02-01,71
2016-02-02,73
2016-02-03,73
2016-02-04,73
2016-02-05,73
2016-02-06,73
2016-02-07,73
2016-02-08,73
2016-02-09,73
2016-02-10,74
2016-02-11,74
2016-02-12,74
2016-02-13,74
2016-02-14,73
2016-02-15,73
2016-02-16,73
2016-02-17,73
2016-02-18,72
2016-02-19,72
2016-02-20,72
2016-02-21,75
2016-02-22,75
2016-02-23,75
2016-02-24,75
2016-02-25,73
2016-02-26,73
2016-02-27,73
2016-02-28,73
2016-02-29,72
2016-03-01,72
2016-03-02,72
2016-03-03,72
2016-03-04,70
2016-03-05,70
2016-03-06,70
2016-03-07,70
2016-03-08,69
2016-03-09,69
2016-03-10,69
2016-03-11,69
2016-03-12,69
2016-03-13,69
2016-03-14,69
2016-03-15,69
2016-03-16,71
2016-03-17,71
2016-03-18,71
2016-03-19,71
2016-03-20,71
2016-03-21,71
2016-03-22,71
2016-03-23,71
2016-03-24,71
2016-03-25,71
2016-03-26,71
2016-03-27,71
2016-03-28,74
2016-03-29,74
2016-03-30,74
2016-03-31,74
2016-04-01,77
2016-04-02,77
2016-04-03,77
2016-04-04,79
2016-04-05,79
2016-04-06,79
2016-04-07,79
2016-04-08,78
2016-04-09,78
2016-04-10,78
2016-04-11,78
2016-04-12,75
2016-04-13,75
2016-04-14,75
2016-04-15,75
2016-04-16,79
2016-04-17,79
2016-04-18,79
2016-04-19,81
2016-04-20,81
