date_obj,Iron%20bolts price
2015-03-26,34
2015-03-27,34
2015-03-28,34
2015-03-29,34
2015-03-30,34
2015-03-31,34
2015-04-01,34
2015-04-02,34
2015-04-03,34
2015-04-04,34
2015-04-05,34
2015-04-06,34
2015-04-07,34
2015-04-08,34
2015-04-09,34
2015-04-10,34
2015-04-11,34
2015-04-12,34
2015-04-13,34
2015-04-14,35
2015-04-15,35
2015-04-16,35
2015-04-17,35
2015-04-18,35
2015-04-19,35
2015-04-20,34
2015-04-21,34
2015-04-22,34
2015-04-23,34
2015-04-24,34
2015-04-25,34
2015-04-26,35
2015-04-27,35
2015-04-28,35
2015-04-29,35
2015-04-30,35
2015-05-01,35
2015-05-02,35
2015-05-03,35
2015-05-04,35
2015-05-05,36
2015-05-06,36
2015-05-07,36
2015-05-08,36
2015-05-09,36
2015-05-10,36
2015-05-11,36
2015-05-12,36
2015-05-13,36
2015-05-14,36
2015-05-15,36
2015-05-16,36
2015-05-17,36
2015-05-18,36
2015-05-19,36
2015-05-20,36
2015-05-21,36
2015-05-22,36
2015-05-23,35
2015-05-24,35
2015-05-25,35
2015-05-26,35
2015-05-27,35
2015-05-28,35
2015-05-29,35
2015-05-30,35
2015-05-31,35
2015-06-01,35
2015-06-02,35
2015-06-03,35
2015-06-04,35
2015-06-05,35
2015-06-06,35
2015-06-07,35
2015-06-08,35
2015-06-09,35
2015-06-10,35
2015-06-11,36
2015-06-12,36
2015-06-13,36
2015-06-14,36
2015-06-15,36
2015-06-16,36
2015-06-17,36
2015-06-18,36
2015-06-19,36
2015-06-20,36
2015-06-21,36
2015-06-22,36
2015-06-23,37
2015-06-24,37
2015-06-25,37
2015-06-26,37
2015-06-27,37
2015-06-28,37
2015-06-29,37
2015-06-30,37
2015-07-01,37
2015-07-02,37
2015-07-03,38
2015-07-04,38
2015-07-05,38
2015-07-06,38
2015-07-07,39
2015-07-08,39
2015-07-09,39
2015-07-10,39
2015-07-11,39
2015-07-12,39
2015-07-13,39
2015-07-14,39
2015-07-15,39
2015-07-16,39
2015-07-17,39
2015-07-18,39
2015-07-19,39
2015-07-20,39
2015-07-21,39
2015-07-22,38
2015-07-23,38
2015-07-24,38
2015-07-25,38
2015-07-26,38
2015-07-27,38
2015-07-28,38
2015-07-29,38
2015-07-30,38
2015-07-31,38
2015-08-01,38
2015-08-02,38
2015-08-03,37
2015-08-04,37
2015-08-05,37
2015-08-06,37
2015-08-07,37
2015-08-08,37
2015-08-09,37
2015-08-10,37
2015-08-11,37
2015-08-12,37
2015-08-13,37
2015-08-14,37
2015-08-15,37
2015-08-16,37
2015-08-17,36
2015-08-18,36
2015-08-19,36
2015-08-20,36
2015-08-21,35
2015-08-22,35
2015-08-23,35
2015-08-24,34
2015-08-25,34
2015-08-26,34
2015-08-27,34
2015-08-28,33
2015-08-29,33
2015-08-30,33
2015-08-31,33
2015-09-01,32
2015-09-02,32
2015-09-03,32
2015-09-04,32
2015-09-05,32
2015-09-06,32
2015-09-07,32
2015-09-08,32
2015-09-09,32
2015-09-10,32
2015-09-11,32
2015-09-12,32
2015-09-13,32
2015-09-14,32
2015-09-15,32
2015-09-16,32
2015-09-17,32
2015-09-18,32
2015-09-19,32
2015-09-20,32
2015-09-21,32
2015-09-22,32
2015-09-23,33
2015-09-24,33
2015-09-25,33
2015-09-27,33
2015-09-28,33
2015-09-29,33
2015-09-30,33
2015-10-05,34
2015-10-06,34
2015-10-07,34
2015-10-08,34
2015-10-09,34
2015-10-10,35
2015-10-11,35
2015-10-12,35
2015-10-13,35
2015-10-14,36
2015-10-15,36
2015-10-16,36
2015-10-17,36
2015-10-18,37
