date_obj,Teak%20seed price
2018-08-29,256
2018-08-30,260
2018-08-31,259
2018-09-01,253
2018-09-02,241
2018-09-03,228
2018-09-04,216
2018-09-05,205
2018-09-06,196
2018-09-07,194
2018-09-08,195
2018-09-09,195
2018-09-10,196
2018-09-11,201
2018-09-12,207
2018-09-13,214
2018-09-14,216
2018-09-15,214
2018-09-16,225
2018-09-17,237
2018-09-18,249
2018-09-19,262
2018-09-20,268
2018-09-21,281
2018-09-22,280
2018-09-23,287
2018-09-24,293
2018-09-25,301
2018-09-26,300
2018-09-27,294
2018-09-28,283
2018-09-29,296
2018-09-30,300
2018-10-02,291
2018-10-03,286
2018-10-04,276
2018-10-05,290
2018-10-06,300
2018-10-07,310
2018-10-08,308
2018-10-09,301
2018-10-10,313
2018-10-11,311
2018-10-12,300
2018-10-13,301
2018-10-14,300
2018-10-15,305
2018-10-16,315
2018-10-17,320
2018-10-18,318
2018-10-19,311
2018-10-20,302
2018-10-21,313
2018-10-22,326
2018-10-23,336
2018-10-24,344
2018-10-25,343
2018-10-26,332
2018-10-27,319
2018-10-28,333
2018-10-29,348
2018-10-30,363
2018-10-31,371
2018-11-01,358
2018-11-03,377
2018-11-04,393
2018-11-05,393
2018-11-06,382
2018-11-07,379
2018-11-08,384
2018-11-09,380
2018-11-10,369
2018-11-11,361
2018-11-12,355
2018-11-13,355
2018-11-14,364
2018-11-15,364
2018-11-16,351
2018-11-17,354
2018-11-18,349
2018-11-19,333
2018-11-20,333
2018-11-21,327
2018-11-22,318
2018-11-23,324
2018-11-24,320
2018-11-25,326
2018-11-26,343
2018-11-27,359
2018-11-28,376
2018-11-29,395
2018-12-01,431
2018-12-02,441
2018-12-03,446
2018-12-05,444
2018-12-07,447
2018-12-09,466
2018-12-10,466
2018-12-11,446
2018-12-12,449
2018-12-13,436
2018-12-14,417
2018-12-15,398
2018-12-16,401
2018-12-17,396
2018-12-18,384
2018-12-19,376
2018-12-20,375
2018-12-21,373
2018-12-22,384
2018-12-23,390
2018-12-24,379
2018-12-25,386
2018-12-26,379
2018-12-27,378
2018-12-28,373
2018-12-29,371
2018-12-30,357
2018-12-31,349
2019-01-01,361
2019-01-02,377
2019-01-03,394
2019-01-04,413
2019-01-05,430
2019-01-06,452
2019-01-08,467
2019-01-10,453
2019-01-11,430
2019-01-12,408
2019-01-13,387
2019-01-14,367
2019-01-15,348
2019-01-16,330
2019-01-17,313
2019-01-18,297
2019-01-19,282
2019-01-20,269
2019-01-21,256
2019-01-22,245
2019-01-23,234
2019-01-25,215
2019-01-26,204
2019-01-28,186
2019-01-29,177
2019-01-30,170
2019-01-31,163
2019-02-01,157
2019-02-02,152
2019-02-03,146
2019-02-04,139
2019-02-05,138
2019-02-06,133
2019-02-07,127
2019-02-08,121
2019-02-09,114
2019-02-10,109
2019-02-11,104
2019-02-12,98
2019-02-13,93
2019-02-14,88
2019-02-15,83
2019-02-16,78
2019-02-17,74
2019-02-18,70
2019-02-19,66
2019-02-20,63
2019-02-21,62
2019-02-22,63
2019-02-23,63
2019-02-24,65
2019-02-25,67
2019-02-26,68
2019-02-27,68
2019-02-28,65
2019-03-01,66
2019-03-02,67
2019-03-03,68
2019-03-04,69
2019-03-05,67
2019-03-06,64
2019-03-07,62
2019-03-08,61
2019-03-09,61
2019-03-10,61
2019-03-11,63
2019-03-12,65
2019-03-13,67
2019-03-14,67
2019-03-15,66
2019-03-16,66
2019-03-17,66
2019-03-18,66
2019-03-19,64
2019-03-20,64
2019-03-21,62
2019-03-22,59
2019-03-23,57
2019-03-24,54
2019-03-25,52
2019-03-26,50
2019-03-27,48
2019-03-28,47
2019-03-29,46
2019-03-30,47
2019-03-31,47
2019-04-01,48
2019-04-02,51
2019-04-03,53
2019-04-04,54
2019-04-05,54
2019-04-06,54
2019-04-07,52
2019-04-08,53
2019-04-09,55
2019-04-10,54
2019-04-11,55
2019-04-12,55
2019-04-13,54
2019-04-14,53
2019-04-15,52
2019-04-16,53
2019-04-17,56
2019-04-18,58
2019-04-19,59
2019-04-20,61
2019-04-21,62
2019-04-22,65
2019-04-23,67
2019-04-24,71
2019-04-25,72
2019-04-26,73
2019-04-27,73
2019-04-28,73
2019-04-29,74
2019-04-30,75
2019-05-01,79
2019-05-02,78
2019-05-03,79
2019-05-04,81
2019-05-05,83
2019-05-06,87
2019-05-07,85
2019-05-08,85
2019-05-09,88
2019-05-10,89
2019-05-11,87
2019-05-12,83
2019-05-13,80
2019-05-14,81
2019-05-15,85
2019-05-16,88
2019-05-17,83
2019-05-18,82
2019-05-19,79
2019-05-20,77
2019-05-21,77
2019-05-22,81
2019-05-23,82
2019-05-24,83
2019-05-25,80
2019-05-26,84
2019-05-27,86
2019-05-28,87
2019-05-29,89
2019-05-30,90
2019-05-31,90
2019-06-01,92
2019-06-02,97
2019-06-03,102
2019-06-04,104
2019-06-05,100
2019-06-06,96
2019-06-07,95
2019-06-08,92
2019-06-09,91
2019-06-10,86
2019-06-11,83
2019-06-12,86
2019-06-13,83
2019-06-14,79
2019-06-15,79
2019-06-16,78
2019-06-17,76
2019-06-18,75
2019-06-19,73
2019-06-20,71
2019-06-21,70
2019-06-22,70
2019-06-23,70
2019-06-24,72
2019-06-25,73
2019-06-26,73
2019-06-27,75
2019-06-28,77
2019-06-29,77
2019-06-30,76
2019-07-01,74
2019-07-02,73
2019-07-03,72
2019-07-04,68
2019-07-05,68
2019-07-06,68
2019-07-07,68
2019-07-08,66
2019-07-09,65
2019-07-10,64
2019-07-11,65
2019-07-12,66
2019-07-13,66
2019-07-14,66
2019-07-15,64
2019-07-16,61
2019-07-17,60
2019-07-18,59
2019-07-19,59
2019-07-20,58
2019-07-21,56
2019-07-22,55
2019-07-23,53
2019-07-24,52
2019-07-25,51
2019-07-26,49
2019-07-27,47
2019-07-28,48
2019-07-29,50
2019-07-30,52
2019-07-31,53
2019-08-01,53
2019-08-02,53
2019-08-03,51
2019-08-04,52
2019-08-05,52
2019-08-06,53
2019-08-07,56
2019-08-08,58
2019-08-09,59
2019-08-10,59
2019-08-11,62
2019-08-12,66
2019-08-13,70
2019-08-14,74
2019-08-15,78
2019-08-16,82
2019-08-17,87
2019-08-18,90
2019-08-19,95
2019-08-20,99
2019-08-21,103
2019-08-22,104
2019-08-23,101
2019-08-24,100
2019-08-24,100
2019-08-25,97
2019-08-25,97
2019-08-26,97
2019-08-26,97
2019-08-27,93
2019-08-27,93
2019-08-28,94
2019-08-29,99
2019-08-30,99
2019-08-31,98
2019-09-01,97
2019-09-02,99
2019-09-03,99
2019-09-04,100
2019-09-05,96
2019-09-06,91
2019-09-07,91
2019-09-08,92
2019-09-09,94
2019-09-10,94
2019-09-11,91
2019-09-12,90
2019-09-13,86
2019-09-14,82
2019-09-15,80
2019-09-16,81
2019-09-17,85
2019-09-18,88
2019-09-19,86
2019-09-20,88
2019-09-21,91
2019-09-22,90
2019-09-23,90
2019-09-24,89
2019-09-25,89
2019-09-26,90
2019-09-27,94
2019-09-28,98
2019-09-29,100
2019-09-30,102
2019-10-01,101
2019-10-02,101
2019-10-03,100
2019-10-04,102
2019-10-05,100
2019-10-06,99
2019-10-07,95
2019-10-08,92
2019-10-09,92
2019-10-10,90
2019-10-11,85
2019-10-12,80
2019-10-13,77
2019-10-14,75
2019-10-15,71
2019-10-16,70
2019-10-17,74
2019-10-18,76
2019-10-19,77
2019-10-20,80
2019-10-21,80
2019-10-22,81
2019-10-23,85
2019-10-24,86
2019-10-25,89
2019-10-26,91
2019-10-27,91
2019-10-28,94
2019-10-29,97
2019-10-30,101
2019-10-31,100
2019-11-01,97
2019-11-02,96
2019-11-03,93
2019-11-04,94
2019-11-05,99
2019-11-06,98
2019-11-07,95
2019-11-08,90
2019-11-09,88
2019-11-10,88
2019-11-11,91
2019-11-12,91
2019-11-13,93
2019-11-14,94
2019-11-15,93
2019-11-16,96
2019-11-17,100
2019-11-18,99
2019-11-19,95
2019-11-20,91
2019-11-21,89
2019-11-22,88
2019-11-23,87
2019-11-24,86
2019-11-25,88
2019-11-26,87
2019-11-27,86
2019-11-28,83
2019-11-29,81
2019-11-30,79
2019-12-01,75
2019-12-02,72
2019-12-03,70
2019-12-04,66
2019-12-05,66
2019-12-06,66
2019-12-07,65
2019-12-08,62
2019-12-09,63
2019-12-10,61
2019-12-11,62
2019-12-12,63
2019-12-13,60
2019-12-14,57
2019-12-15,56
2019-12-16,56
2019-12-17,56
2019-12-18,56
2019-12-19,57
2019-12-20,57
2019-12-21,57
2019-12-22,57
2019-12-23,55
2019-12-24,55
2019-12-25,55
2019-12-26,57
2019-12-27,58
2019-12-28,60
2019-12-29,57
2019-12-30,55
2019-12-31,55
2020-01-01,55
2020-01-02,54
2020-01-03,55
2020-01-04,55
2020-01-05,56
2020-01-06,57
2020-01-07,59
2020-01-08,60
2020-01-09,61
2020-01-10,62
2020-01-11,62
2020-01-12,64
2020-01-13,65
2020-01-14,66
2020-01-15,67
2020-01-16,67
2020-01-17,67
2020-01-18,70
2020-01-19,71
2020-01-20,74
2020-01-21,76
2020-01-22,78
2020-01-23,82
2020-01-24,87
2020-01-25,91
2020-01-26,96
2020-01-27,101
2020-01-28,98
2020-01-29,93
2020-01-30,88
2020-01-31,83
2020-02-01,78
2020-02-02,74
2020-02-03,70
2020-02-04,67
2020-02-05,66
2020-02-06,64
2020-02-07,61
2020-02-08,57
2020-02-09,54
2020-02-10,51
2020-02-11,49
2020-02-12,48
2020-02-13,47
2020-02-14,45
2020-02-15,43
2020-02-16,43
2020-02-17,43
2020-02-18,43
2020-02-19,44
2020-02-20,44
2020-02-21,42
2020-02-22,39
2020-02-23,37
2020-02-24,37
2020-02-25,37
2020-02-26,36
2020-02-27,36
2020-02-28,35
2020-02-29,35
2020-03-01,34
2020-03-02,33
2020-03-03,34
2020-03-04,35
2020-03-05,35
2020-03-06,33
2020-03-07,32
2020-03-08,31
2020-03-09,31
2020-03-10,32
2020-03-11,32
2020-03-12,32
2020-03-13,34
2020-03-14,35
2020-03-15,35
2020-03-16,36
2020-03-17,36
2020-03-18,37
2020-03-19,38
2020-03-20,38
2020-03-21,39
2020-03-22,40
2020-03-23,39
2020-03-24,38
2020-03-25,40
2020-03-26,41
2020-03-27,44
2020-03-28,46
2020-03-29,47
2020-03-30,47
2020-03-31,48
2020-04-01,50
2020-04-02,53
2020-04-03,56
2020-04-04,59
2020-04-05,61
2020-04-06,61
2020-04-07,57
2020-04-08,54
2020-04-09,53
2020-04-10,52
2020-04-11,50
2020-04-12,50
2020-04-13,49
2020-04-14,49
2020-04-15,50
2020-04-16,49
2020-04-17,52
2020-04-18,54
2020-04-19,56
2020-04-20,57
2020-04-21,59
2020-04-22,61
2020-04-23,64
2020-04-24,65
2020-04-25,68
2020-04-26,71
2020-04-27,74
2020-04-28,77
2020-04-29,80
2020-04-30,82
2020-05-01,83
2020-05-02,88
2020-05-03,91
2020-05-04,96
2020-05-05,101
2020-05-06,107
2020-05-07,113
2020-05-08,116
2020-05-09,115
2020-05-10,112
2020-05-11,106
2020-05-12,100
2020-05-13,96
