date_obj,Limpwurt%20seed price
2015-03-05,1068
2015-03-06,1014
2015-03-07,963
2015-03-08,914
2015-03-09,868
2015-03-10,824
2015-03-11,782
2015-03-12,742
2015-03-13,704
2015-03-14,668
2015-03-15,634
2015-03-16,602
2015-03-17,571
2015-03-18,542
2015-03-19,514
2015-03-20,488
2015-03-21,466
2015-03-22,445
2015-03-23,422
2015-03-24,400
2015-03-25,381
2015-03-26,373
2015-03-27,373
2015-03-28,376
2015-03-29,358
2015-03-30,340
2015-03-31,328
2015-04-01,318
2015-04-02,302
2015-04-03,290
2015-04-04,276
2015-04-05,262
2015-04-06,248
2015-04-07,235
2015-04-08,223
2015-04-09,211
2015-04-10,205
2015-04-11,200
2015-04-12,193
2015-04-13,183
2015-04-14,173
2015-04-15,169
2015-04-16,165
2015-04-17,162
2015-04-18,158
2015-04-19,150
2015-04-20,146
2015-04-21,138
2015-04-22,134
2015-04-23,130
2015-04-24,130
2015-04-25,130
2015-04-26,128
2015-04-27,124
2015-04-28,127
2015-04-29,127
2015-04-30,134
2015-05-01,141
2015-05-02,149
2015-05-03,149
2015-05-04,152
2015-05-05,158
2015-05-06,162
2015-05-07,163
2015-05-08,170
2015-05-09,168
2015-05-10,166
2015-05-11,166
2015-05-12,171
2015-05-13,177
2015-05-14,183
2015-05-15,188
2015-05-16,190
2015-05-17,189
2015-05-18,187
2015-05-19,185
2015-05-20,185
2015-05-21,192
2015-05-22,197
2015-05-23,197
2015-05-24,198
2015-05-25,198
2015-05-26,204
2015-05-27,207
2015-05-28,217
2015-05-29,227
2015-05-30,235
2015-05-31,243
2015-06-01,253
2015-06-02,266
2015-06-03,278
2015-06-04,292
2015-06-05,307
2015-06-06,316
2015-06-07,330
2015-06-08,347
2015-06-09,358
2015-06-10,376
2015-06-11,391
2015-06-12,406
2015-06-13,411
2015-06-14,407
2015-06-15,402
2015-06-16,409
2015-06-17,412
2015-06-18,417
2015-06-19,438
2015-06-20,455
2015-06-21,451
2015-06-22,467
2015-06-23,490
2015-06-24,510
2015-06-25,531
2015-06-26,553
2015-06-27,581
2015-06-28,605
2015-06-29,635
2015-06-30,667
2015-07-01,701
2015-07-02,732
2015-07-03,760
2015-07-04,738
2015-07-05,713
2015-07-06,690
2015-07-07,670
2015-07-08,655
2015-07-09,648
2015-07-10,632
2015-07-11,619
2015-07-12,606
2015-07-13,593
2015-07-14,575
2015-07-15,547
2015-07-16,519
2015-07-17,494
2015-07-18,472
2015-07-19,448
2015-07-20,425
2015-07-21,403
2015-07-22,390
2015-07-23,386
2015-07-24,371
2015-07-25,360
2015-07-26,360
2015-07-27,354
2015-07-28,346
2015-07-29,342
2015-07-30,348
2015-07-31,364
2015-08-01,383
2015-08-02,397
2015-08-03,417
2015-08-04,438
2015-08-05,460
2015-08-06,483
2015-08-07,508
2015-08-08,533
2015-08-09,545
2015-08-10,562
2015-08-11,586
2015-08-12,616
2015-08-13,616
2015-08-14,631
2015-08-15,643
2015-08-16,652
2015-08-17,656
2015-08-18,687
2015-08-19,722
2015-08-20,758
2015-08-21,786
2015-08-22,803
2015-08-23,818
2015-08-24,794
2015-08-25,782
2015-08-26,802
2015-08-27,809
2015-08-28,813
2015-08-29,787
2015-08-30,756
2015-08-31,756
2015-09-02,674
2015-09-07,609
2015-09-08,609
2015-09-10,612
2015-09-14,648
2015-09-16,716
2015-09-22,962
2015-09-23,1011
2015-09-24,1062
2015-09-25,1113
2015-09-27,1226
2015-09-28,1288
2015-09-29,1351
2015-09-30,1376
2015-10-05,1511
2015-10-06,1582
2015-10-07,1649
2015-10-08,1691
2015-10-09,1699
2015-10-10,1721
2015-10-11,1705
2015-10-12,1658
2015-10-13,1597
2015-10-14,1533
2015-10-15,1475
2015-10-16,1436
2015-10-17,1404
2015-10-18,1383
2015-10-19,1373
2015-10-20,1377
2015-10-22,1377
2015-10-23,1376
2015-10-24,1362
2015-10-25,1376
2015-10-26,1377
2015-10-27,1354
2015-10-29,1405
2015-10-30,1415
2015-10-31,1424
2015-11-01,1454
2015-11-02,1490
2015-11-03,1521
2015-11-04,1581
2015-11-05,1622
2015-11-06,1659
2015-11-07,1722
2015-11-08,1792
2015-11-09,1843
2015-11-10,1899
2015-11-11,1911
2015-11-12,1951
2015-11-13,1967
2015-11-14,1959
2015-11-15,1987
2015-11-16,2016
2015-11-17,2072
2015-11-18,2086
2015-11-19,2117
2015-11-20,2090
2015-11-21,2090
2015-11-22,2087
2015-11-23,2078
2015-11-24,2034
2015-11-25,2039
2015-11-26,1974
2015-11-27,1967
2015-11-28,1954
2015-11-29,1908
2015-11-30,1908
2015-12-01,1927
2015-12-02,1947
2015-12-03,1983
2015-12-04,1959
2015-12-05,1943
2015-12-06,1938
2015-12-07,1930
2015-12-08,1935
2015-12-09,1940
2015-12-10,2019
2015-12-11,2089
2015-12-12,2106
2015-12-13,2075
2015-12-14,2033
2015-12-15,1969
2015-12-16,1905
2015-12-17,1877
2015-12-18,1843
2015-12-19,1801
2015-12-20,1767
2015-12-21,1724
2015-12-22,1691
2015-12-23,1659
2015-12-24,1670
2015-12-25,1637
2015-12-26,1591
2015-12-27,1526
2015-12-28,1460
2015-12-29,1390
2015-12-30,1323
2015-12-31,1269
2016-01-01,1246
2016-01-02,1272
2016-01-03,1257
2016-01-04,1245
2016-01-05,1283
2016-01-06,1341
2016-01-07,1385
2016-01-08,1439
2016-01-09,1457
2016-01-10,1411
2016-01-11,1386
2016-01-12,1422
2016-01-13,1454
2016-01-14,1498
2016-01-15,1525
2016-01-16,1526
2016-01-17,1502
2016-01-18,1537
2016-01-19,1585
2016-01-20,1629
2016-01-21,1658
2016-01-22,1669
2016-01-23,1657
2016-01-24,1645
2016-01-25,1647
2016-01-26,1697
2016-01-27,1749
2016-01-28,1798
2016-01-29,1822
2016-01-30,1844
2016-01-31,1871
2016-02-01,1897
2016-02-02,1925
2016-02-03,1928
2016-02-04,1907
2016-02-05,1908
2016-02-06,1905
2016-02-07,1838
2016-02-08,1872
2016-02-09,1860
2016-02-10,1907
2016-02-11,1963
2016-02-12,2062
2016-02-13,2153
2016-02-14,2176
2016-02-15,2223
2016-02-16,2246
2016-02-17,2264
2016-02-18,2187
2016-02-19,2096
2016-02-20,1999
2016-02-21,1941
2016-02-22,1912
2016-02-23,1858
2016-02-24,1884
2016-02-25,1893
2016-02-26,1926
2016-02-27,1927
2016-02-28,1920
2016-02-29,1906
2016-03-01,1962
2016-03-02,2027
2016-03-03,2094
2016-03-04,2113
2016-03-05,2093
2016-03-06,2057
2016-03-07,2017
2016-03-08,1983
2016-03-09,1981
2016-03-10,1948
2016-03-11,1935
2016-03-12,1919
2016-03-13,1915
2016-03-14,1889
2016-03-15,1910
2016-03-16,1972
2016-03-17,2000
2016-03-18,1953
2016-03-19,1925
2016-03-20,1918
2016-03-21,1918
2016-03-22,1940
2016-03-23,1982
2016-03-24,2034
2016-03-25,2064
2016-03-26,2079
2016-03-27,2033
2016-03-28,1976
2016-03-29,1953
2016-03-30,1903
2016-03-31,1837
2016-04-01,1834
2016-04-02,1798
2016-04-03,1748
2016-04-04,1747
2016-04-05,1814
2016-04-06,1848
2016-04-07,1853
2016-04-08,1863
2016-04-09,1901
2016-04-10,1906
2016-04-11,1899
2016-04-12,1935
