date_obj,Blamish%20blue%20shell%20(round) price
2015-02-25,13200
2015-02-26,13200
2015-02-27,13200
2015-02-28,13200
2015-03-01,13200
2015-03-02,13200
2015-03-03,13200
2015-03-04,13200
2015-03-05,13200
2015-03-06,13200
2015-03-07,13200
2015-03-08,13200
2015-03-09,13200
2015-03-10,13200
2015-03-11,13200
2015-03-12,13200
2015-03-13,13200
2015-03-14,13200
2015-03-15,13200
2015-03-16,13200
2015-03-17,13200
2015-03-18,13200
2015-03-19,13200
2015-03-20,13200
2015-03-21,13200
2015-03-22,13200
2015-03-23,13200
2015-03-24,13200
2015-03-25,13200
2015-03-26,13200
2015-03-27,13200
2015-03-28,13200
2015-03-29,13200
2015-03-30,13200
2015-03-31,12711
2015-04-01,12711
2015-04-02,12711
2015-04-03,12711
2015-04-04,12711
2015-04-05,12711
2015-04-06,12711
2015-04-07,12711
2015-04-08,12711
2015-04-09,12711
2015-04-10,12711
2015-04-11,12711
2015-04-12,12711
2015-04-13,12711
2015-04-14,12711
2015-04-15,12711
2015-04-16,12711
2015-04-17,12711
2015-04-18,12711
2015-04-19,12711
2015-04-20,12711
2015-04-21,12711
2015-04-22,12711
2015-04-23,12711
2015-04-24,12711
2015-04-25,12711
2015-04-26,12711
2015-04-27,12089
2015-04-28,12089
2015-04-29,12089
2015-04-30,12089
2015-05-01,12089
2015-05-02,12089
2015-05-03,12089
2015-05-04,12089
2015-05-05,12089
2015-05-06,12089
2015-05-07,12089
2015-05-08,12089
2015-05-09,12089
2015-05-10,12089
2015-05-11,12089
2015-05-12,12089
2015-05-13,12089
2015-05-14,12089
2015-05-15,12089
2015-05-16,12089
2015-05-17,12089
2015-05-18,12089
2015-05-19,12089
2015-05-20,11497
2015-05-21,11497
2015-05-22,11497
2015-05-23,11497
2015-05-24,11497
2015-05-25,11497
2015-05-26,11497
2015-05-27,11497
2015-05-28,11497
2015-05-29,11497
2015-05-30,11497
2015-05-31,11497
2015-06-01,11497
2015-06-02,11497
2015-06-03,11497
2015-06-04,11497
2015-06-05,11497
2015-06-06,11497
2015-06-07,11497
2015-06-08,11497
2015-06-09,10957
2015-06-10,10957
2015-06-11,10957
2015-06-12,10957
2015-06-13,10957
2015-06-14,10957
2015-06-15,10957
2015-06-16,10957
2015-06-17,10957
2015-06-18,10957
2015-06-19,10957
2015-06-20,10957
2015-06-21,10957
2015-06-22,10957
2015-06-23,10957
2015-06-24,10957
2015-06-25,10957
2015-06-26,10957
2015-06-27,10957
2015-06-28,10957
2015-06-29,10957
2015-06-30,10957
2015-07-01,10957
2015-07-02,10957
2015-07-03,10436
2015-07-04,10436
2015-07-05,10436
2015-07-06,10436
2015-07-07,10436
2015-07-08,10436
2015-07-09,10436
2015-07-10,10436
2015-07-11,10436
2015-07-12,10436
2015-07-13,10436
2015-07-14,10436
2015-07-15,10436
2015-07-16,10436
2015-07-17,10436
2015-07-18,10436
2015-07-19,10436
2015-07-20,10436
2015-07-21,10436
2015-07-22,10436
2015-07-23,10436
2015-07-24,10436
2015-07-25,10436
2015-07-26,10436
2015-07-27,9933
2015-07-28,9933
2015-07-29,9933
2015-07-30,9933
2015-07-31,9933
2015-08-01,9933
2015-08-02,9933
2015-08-03,9933
2015-08-04,9933
2015-08-05,9933
2015-08-06,9933
2015-08-07,9933
2015-08-08,9933
2015-08-09,9933
2015-08-10,9933
2015-08-11,9933
2015-08-12,9933
2015-08-13,9933
2015-08-14,9933
2015-08-15,9933
2015-08-16,9933
2015-08-17,9933
2015-08-18,9933
2015-08-19,9933
2015-08-20,9933
2015-08-21,9476
2015-08-22,9476
2015-08-23,9476
2015-08-24,9476
2015-08-25,9476
2015-08-26,9476
2015-08-27,9476
2015-08-28,9476
2015-08-29,9476
2015-08-30,9476
2015-08-31,9476
2015-09-01,9476
2015-09-02,9476
2015-09-03,9476
2015-09-04,9476
2015-09-05,9476
2015-09-06,9476
2015-09-07,9476
2015-09-08,9476
2015-09-09,9476
2015-09-10,9476
2015-09-11,9476
2015-09-12,9476
2015-09-13,9476
2015-09-14,9476
2015-09-15,9039
2015-09-16,9039
2015-09-17,9039
2015-09-18,9039
2015-09-19,9039
2015-09-20,9039
2015-09-21,9039
2015-09-22,9039
2015-09-23,9039
2015-09-24,9039
2015-09-25,9039
2015-09-26,9039
2015-09-27,9039
2015-09-28,9039
2015-09-29,9039
2015-09-30,9039
2015-10-01,9039
2015-10-02,9039
2015-10-03,9039
