date_obj,Raw%20cod price
2015-03-26,59
2015-03-27,59
2015-03-28,59
2015-03-29,61
2015-03-30,61
2015-03-31,65
2015-04-01,65
2015-04-02,69
2015-04-03,69
2015-04-04,66
2015-04-05,66
2015-04-06,62
2015-04-07,62
2015-04-08,58
2015-04-09,58
2015-04-10,57
2015-04-11,57
2015-04-12,55
2015-04-13,55
2015-04-14,55
2015-04-15,55
2015-04-16,58
2015-04-17,58
2015-04-18,58
2015-04-19,58
2015-04-20,58
2015-04-21,58
2015-04-22,58
2015-04-23,58
2015-04-24,58
2015-04-25,55
2015-04-26,55
2015-04-27,53
2015-04-28,53
2015-04-29,53
2015-04-30,52
2015-05-01,52
2015-05-02,49
2015-05-03,49
2015-05-04,49
2015-05-05,46
2015-05-06,46
2015-05-07,45
2015-05-08,45
2015-05-09,45
2015-05-10,45
2015-05-11,45
2015-05-12,46
2015-05-13,46
2015-05-14,48
2015-05-15,48
2015-05-16,48
2015-05-17,49
2015-05-18,49
2015-05-19,48
2015-05-20,48
2015-05-21,48
2015-05-22,46
2015-05-23,46
2015-05-24,46
2015-05-25,46
2015-05-26,44
2015-05-27,44
2015-05-28,46
2015-05-29,46
2015-05-30,46
2015-05-31,46
2015-06-01,44
2015-06-02,44
2015-06-03,45
2015-06-04,45
2015-06-05,43
2015-06-06,43
2015-06-07,42
2015-06-08,42
2015-06-09,42
2015-06-10,42
2015-06-11,43
2015-06-12,43
2015-06-13,43
2015-06-14,43
2015-06-15,41
2015-06-16,41
2015-06-17,40
2015-06-18,40
2015-06-19,40
2015-06-20,40
2015-06-21,41
2015-06-22,41
2015-06-23,44
2015-06-24,44
2015-06-25,44
2015-06-26,43
2015-06-27,43
2015-06-28,43
2015-06-29,43
2015-06-30,42
2015-07-01,42
2015-07-02,41
2015-07-03,41
2015-07-04,41
2015-07-05,41
2015-07-06,44
2015-07-07,44
2015-07-08,47
2015-07-09,47
2015-07-10,50
2015-07-11,50
2015-07-12,53
2015-07-13,53
2015-07-14,56
2015-07-15,56
2015-07-16,57
2015-07-17,59
2015-07-18,59
2015-07-19,58
2015-07-20,58
2015-07-21,59
2015-07-22,58
2015-07-23,58
2015-07-24,58
2015-07-25,58
2015-07-26,58
