date_obj,Pink%20skirt price
2015-03-26,300
2015-03-27,300
2015-03-28,302
2015-03-29,302
2015-03-30,301
2015-03-31,301
2015-04-01,285
2015-04-02,285
2015-04-03,275
2015-04-04,275
2015-04-05,270
2015-04-06,270
2015-04-07,275
2015-04-08,275
2015-04-09,275
2015-04-10,262
2015-04-11,262
2015-04-12,249
2015-04-13,249
2015-04-14,249
2015-04-15,240
2015-04-16,240
2015-04-17,231
2015-04-18,231
2015-04-19,222
2015-04-20,222
2015-04-21,222
2015-04-22,219
2015-04-23,219
2015-04-24,218
2015-04-25,218
2015-04-26,220
2015-04-27,220
2015-04-28,209
2015-04-29,209
2015-04-30,209
2015-05-01,198
2015-05-02,198
2015-05-03,198
2015-05-04,190
2015-05-05,190
2015-05-06,189
2015-05-07,189
2015-05-08,185
2015-05-09,185
2015-05-10,181
2015-05-11,181
2015-05-12,173
2015-05-13,173
2015-05-14,168
2015-05-15,168
2015-05-16,168
2015-05-17,163
2015-05-18,163
2015-05-19,163
2015-05-20,156
2015-05-21,156
2015-05-22,156
2015-05-23,150
2015-05-24,150
2015-05-25,144
2015-05-26,144
2015-05-27,144
2015-05-28,141
2015-05-29,141
2015-05-30,141
2015-05-31,141
2015-06-01,141
2015-06-02,141
2015-06-03,141
2015-06-04,143
2015-06-05,143
2015-06-06,144
2015-06-07,144
2015-06-08,145
2015-06-09,145
2015-06-10,142
2015-06-11,142
2015-06-12,142
2015-06-13,140
2015-06-14,140
2015-06-15,138
2015-06-16,138
2015-06-17,137
2015-06-18,137
2015-06-19,139
2015-06-20,139
2015-06-21,142
2015-06-22,142
2015-06-23,147
2015-06-24,147
2015-06-25,149
2015-06-26,149
2015-06-27,150
2015-06-28,150
2015-06-29,151
2015-06-30,151
2015-07-01,151
2015-07-02,151
2015-07-03,149
2015-07-04,149
2015-07-05,148
2015-07-06,148
2015-07-07,148
2015-07-08,148
2015-07-09,148
2015-07-10,145
2015-07-11,145
2015-07-12,145
2015-07-13,143
2015-07-14,143
2015-07-15,145
2015-07-16,145
2015-07-17,139
2015-07-18,139
2015-07-19,139
2015-07-20,132
2015-07-21,132
2015-07-22,126
2015-07-23,126
2015-07-24,119
2015-07-25,119
2015-07-26,119
2015-07-27,113
2015-07-28,113
2015-07-29,107
2015-07-30,107
2015-07-31,107
2015-08-01,101
